# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6430001025872,株式会社メディカルシステムネットワーク,メディカルシステムネットワーク,北海道,札幌市中央区,北海道札幌市中央区北十条西２４丁目３番地,it,care|it,2015-10-05,false,527,2128000000,代表取締役社長　田　尻　稲　雄,http://www.msnw-wis.jp,0134-34-1722,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9430003001084,株式会社北海道ケアシステム,ホッカイドウケアシステム,北海道,札幌市東区,北海道札幌市東区北三十二条東１７丁目１番２０号,it,care|it,2015-10-05,false,,,,,011-787-5555,,,国税庁 法人番号公表サイト,2023-05-17
1430005004596,特定非営利活動法人札幌市民生活支援ネット,,北海道,札幌市南区,北海道札幌市南区石山一条１丁目７番１５号,it,care,2015-10-05,false,,,,,011-594-2113,,,国税庁 法人番号公表サイト,2015-10-30
6440002007118,エムシーネット株式会社,エムシーネット,北海道,函館市,北海道函館市豊川町１番５号,it,care,2015-10-05,false,28,,,http://www3.ncv.ne.jp/~mcnet/,0138-87-0170,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1440001007156,株式会社シンワテック,シンワテック,北海道,函館市,北海道函館市富岡町１丁目２１番１４号,it,care|it,2015-10-05,false,,,,,0138-83-7173,,,国税庁 法人番号公表サイト,2021-10-22
6430003003257,合同会社小樽ケアシステム,オタルケアシステム,北海道,小樽市,北海道小樽市入船４丁目１０番２号,it,care|it,2015-10-05,false,,,,,0134-23-6775,,,国税庁 法人番号公表サイト,2019-04-05
6460101000450,株式会社アルムシステム,アルムシステム,北海道,帯広市,北海道帯広市清流西２丁目１９番地４,it,care|it,2015-10-05,false,,,,,0155-56-6810,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6430005010607,特定非営利活動法人プラネット,プラネット,北海道,札幌市白石区,北海道札幌市白石区中央二条７丁目４番１３号ワンキャッスルヴィレッジ白石中央２Ｆ,it,care,2015-10-05,false,,,,https://www.planet-care.jp/,011-374-5304,,https://www.planet-care.jp/contact-us/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2430001049116,株式会社ひなたネットワーク,ヒナタネットワーク,北海道,滝川市,北海道滝川市江部乙町西１１丁目３番１２号,it,care,2015-10-05,false,,,,,0125-74-4103,,,国税庁 法人番号公表サイト,2020-12-09
7430002028444,ＣＦＧケアシステム株式会社,シーエフジーケアシステム,北海道,札幌市中央区,北海道札幌市中央区南一条東２丁目３番地２,it,care|it,2015-10-05,false,,,,http://azaleakan.net/,011-372-2388,,https://azaleakan.net/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3450001010157,株式会社ケアシステム,ケアシステム,北海道,上川郡愛別町,北海道上川郡愛別町字本町１５０番地,it,care|it,2015-10-05,false,,,,,01658-6-6615,,,国税庁 法人番号公表サイト,2019-03-07
5400002004400,有限会社サンケアネット盛岡,サンケアネットモリオカ,岩手県,盛岡市,岩手県盛岡市神明町６番１６号,it,care,2015-10-05,false,,,,,019-606-0202,,,国税庁 法人番号公表サイト,2018-05-22
1400002005030,有限会社ケアネットあじさい,,岩手県,盛岡市,岩手県盛岡市上堂３丁目１５番７号,it,care,2015-10-05,false,42,,,,019-604-8871,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7400001009332,横田ケアシステム株式会社,ヨコタケアシステム,岩手県,紫波郡紫波町,岩手県紫波郡紫波町桜町字三本木１８番地,it,care|it,2015-10-05,false,104,,,https://www.peaceheart.jp/,019-613-6402,,https://www.peaceheart.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
