# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7010001008844,株式会社日立製作所,ヒタチセイサクショ,東京都,千代田区,東京都千代田区丸の内１丁目６番６号,manufacturing,care|manufacturing,1920-02-01,false,35631,466666000000,執行役社長兼CEO　德永　俊昭,http://www.hitachi.co.jp,0294-23-7952,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7030001073572,株式会社安藤製作所,アンドウセイサクショ,埼玉県,川口市,埼玉県川口市原町３番３４号,manufacturing,care|manufacturing,2015-10-05,false,,,,,048-253-3033,,,国税庁 法人番号公表サイト,2020-10-19
9200002011660,株式会社健康理化学センター,ケンコウリカガクセンター,岐阜県,羽島郡岐南町,岐阜県羽島郡岐南町八剣２丁目２７番地,manufacturing,care,2015-10-05,false,160,,,http://sunrise-station.jp,0582487221,,http://sunrise-station.jp/#footer,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3190001027863,株式会社未来予想図製作所,ミライヨソウズセイサクショ,三重県,四日市市,三重県四日市市高角町２５８２番地,manufacturing,care|manufacturing,2020-12-04,false,,,,https://mirai-seisaku.co.jp/,0599-20-0658,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3120902018752,有限会社鈴木製作所,スズキセイサクショ,大阪府,豊中市,大阪府豊中市小曽根１丁目４番１０－１０５号,manufacturing,care|manufacturing,2015-10-05,false,,,,http://buumekun.com,0663199585,,http://buumekun.com/#area08,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4120001152295,株式会社シンコー製作所,,大阪府,枚方市,大阪府枚方市船橋本町２丁目５８番１号,manufacturing,care|manufacturing,2015-10-05,false,,,,,072-808-8774,,,国税庁 法人番号公表サイト,2015-11-20
5120102024509,有限会社中野スプリング製作所,ナカノスプリングセイサクショ,大阪府,泉佐野市,大阪府泉佐野市葵町２丁目２番４４号,manufacturing,care|manufacturing,2015-10-05,false,,,,,072-463-5827,,,国税庁 法人番号公表サイト,2021-03-22
2170001003693,株式会社和歌山医化学研究所,ワカヤマイカガクケンキュウショ,和歌山県,和歌山市,和歌山県和歌山市岩橋１２７１番地の１風土記の丘診療所１階,manufacturing,care,1983-10-21,false,,,代表取締役　綛田　博紀,https://www.kifuen.net/,073-499-7812,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4011702003723,有限会社久留米製作所,,東京都,江戸川区,東京都江戸川区平井７丁目８番１３号,manufacturing,care|manufacturing,2015-10-05,false,,,,,03-3613-3525,,,国税庁 法人番号公表サイト,2015-10-28
1250002004675,有限会社小串機械製作所,,山口県,宇部市,山口県宇部市大字東須恵３８９４番地の１０,manufacturing,care|manufacturing,2015-10-05,false,,,,,0836-37-0233,,,国税庁 法人番号公表サイト,2015-11-20
