# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1430002036139,有限会社ホームケアサプライ,ホームケアサプライ,北海道,札幌市東区,北海道札幌市東区北四十九条東５丁目１番１７号,realestate,care|realestate,2015-10-05,false,,,,http://www.homecare-s.co.jp/,0117483550,,https://www.homecare-s.co.jp/form/homecare-s-new/toiawase,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9430003001159,株式会社アットホームケアサービス,アットホームケアサービス,北海道,札幌市東区,北海道札幌市東区北三十四条東７丁目２番１号,realestate,care|realestate,2015-10-05,false,,,,,011-742-4787,,,国税庁 法人番号公表サイト,2019-04-24
4430001003913,株式会社カナディアンホーム,,北海道,札幌市西区,北海道札幌市西区山の手七条７丁目１番１２号,realestate,care|realestate,2015-10-05,false,,,,https://gv.ch-g.co.jp/,011-787-1301,,https://gv.ch-g.co.jp/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7430001063418,株式会社ホームケアリーディング,ホームケアリーディング,北海道,札幌市豊平区,北海道札幌市豊平区月寒中央通３丁目１番８－４０１号,realestate,care|realestate,2015-10-05,false,,,,,080-3268-3679,,,国税庁 法人番号公表サイト,2021-04-22
7430001045176,株式会社芸術の森シルトピアホームケアサービス,ゲイジュツノモリシルトピアホームケアサービス,北海道,札幌市南区,北海道札幌市南区石山東７丁目１番１号,realestate,care|realestate,2015-10-05,false,,,,,011-591-9501,,,国税庁 法人番号公表サイト,2018-05-24
7430005003394,特定非営利活動法人在宅生活支援サービスホーム花凪,,北海道,札幌市西区,北海道札幌市西区平和一条２丁目６番１８号,realestate,care|realestate,2015-10-05,false,,,,http://wispy-imari-3363.kikirara.jp/,011-666-1565,,http://wispy-imari-3363.kikirara.jp/#information,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8430005003253,特定非営利活動法人ホームヘルパーノア,ホームヘルパーノア,北海道,札幌市厚別区,北海道札幌市厚別区青葉町８丁目１番１７号,realestate,care|realestate,2015-10-05,false,,,,http://www.hnoah.jp/,011-893-5222,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6440002006144,有限会社ワンズホーム,ワンズホーム,北海道,函館市,北海道函館市本通４丁目１８番１０号,realestate,care|realestate,2015-10-05,false,,,,,0138-62-5070,,,国税庁 法人番号公表サイト,2018-09-28
1450002005950,有限会社ユートピア・アットホーム旭川,ユートピアアットホームアサヒカワ,北海道,旭川市,北海道旭川市大町一条９丁目１８１番地９５,realestate,care|realestate,2015-10-05,false,,,,http://www.eny-si.jp/publics/index/18/,0166-54-3522,,http://www.eny-si.jp/publics/index/5/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5450002006292,有限会社旭川高齢者グループホーム,,北海道,旭川市,北海道旭川市花咲町７丁目４０５６番地の５,realestate,care|realestate,2015-10-05,false,,,,,0166-76-5881,,,国税庁 法人番号公表サイト,2015-10-30
5450001010155,ピュアハウス株式会社,ピュアハウス,北海道,旭川市,北海道旭川市忠和六条３丁目１番１９号,realestate,care|realestate,2015-10-05,false,,,,,0166-61-1731,,,国税庁 法人番号公表サイト,2019-02-22
2460102004066,有限会社ホームケアサポート木もれび,ホームケアサポートコモレビ,北海道,帯広市,北海道帯広市西十七条北２丁目３７番８号,realestate,care|realestate,2015-10-05,false,,,,,0155-38-2213,,,国税庁 法人番号公表サイト,2023-09-07
7430001047016,クリーンハウス株式会社,クリーンハウス,北海道,岩見沢市,北海道岩見沢市四条西７丁目３番地３,realestate,care|realestate,2015-10-05,false,333,,,www.ｃIｈ-ｋｋ.ｃom/ikoinosato/,0126-35-5091,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8450001010268,株式会社エステートジョイ,エステートジョイ,北海道,旭川市,北海道旭川市東光八条３丁目１番１号,realestate,care|beauty|realestate,2015-10-05,false,,,,https://limekan.net/,0166-82-6555,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2450001010232,シルバーハウス株式会社,シルバーハウス,北海道,上川郡美瑛町,北海道上川郡美瑛町大町２丁目５番２８号,realestate,care|realestate,2015-10-05,false,,,,http://printemps.bfweb.jp/nursinghome/,0166-92-7700,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2460001003961,株式会社ホームヘルプステーションおはなさん,ホームヘルプステーションオハナサン,北海道,厚岸郡厚岸町,北海道厚岸郡厚岸町光栄１４３番地,realestate,care|realestate,2015-10-05,false,,,,,0153-53-2200,,,国税庁 法人番号公表サイト,2022-11-08
5420002005165,有限会社ケアホームふれあいの里,,青森県,青森市,青森県青森市富田３丁目１７番５号,realestate,care|realestate,2015-10-05,false,,,,,017-781-6344,,,国税庁 法人番号公表サイト,2017-05-25
