# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1430005015511,一般社団法人ＢＩＺＳＴＡ．ＪＡＰＡＮ,ビズスタジャパン,北海道,札幌市東区,北海道札幌市東区北三十九条東７丁目２－１８第３フジグループビル４Ｆ,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
1450001014993,株式会社照井,テルイ,北海道,留萌市,北海道留萌市東雲町２丁目６３番地,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
2430003019109,合同会社メープルプランインターナショナル,メープルプランインターナショナル,北海道,札幌市北区,北海道札幌市北区北七条西５丁目６番１号５０４,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
2430003019117,合同会社南国ＣＸ,ナンゴクシーエックス,北海道,江別市,北海道江別市新栄台７５番地の１９,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
3430001097196,株式会社ニューサイクル,ニューサイクル,北海道,石狩市,北海道石狩市緑苑台東三条３丁目２５３,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
4430001097195,株式会社ヒダカオフィス,ヒダカオフィス,北海道,北広島市,北海道北広島市大曲緑ヶ丘１丁目１２番地１,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
5430001097186,圓山パートナー株式会社,マルヤマパートナー,北海道,札幌市中央区,北海道札幌市中央区北六条西２５丁目３番３５－２０４号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
5430003019114,合同会社ケアライフサポート,ケアライフサポート,北海道,札幌市白石区,北海道札幌市白石区菊水五条２丁目４番８－４０２号,medical,care,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
5430005015499,一般社団法人ｉｓｓｏ,イッソ,北海道,苫小牧市,北海道苫小牧市元中野町４丁目１４番１３号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
5460101007884,株式会社藏谷商店,クラタニショウテン,北海道,帯広市,北海道帯広市西十一条南４丁目１番地６,retail,retail,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
6430005015507,特定非営利活動法人てとて,テトテ,北海道,札幌市西区,北海道札幌市西区福井５丁目１８－４１エトワール福井１階右,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
6460001006110,株式会社雄立電気,ユウリツデンキ,北海道,釧路市,北海道釧路市昭和町３丁目１６番１３号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
7430001097192,株式会社フジサキ,フジサキ,北海道,札幌市白石区,北海道札幌市白石区川北三条１丁目７番６号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
8440001009848,株式会社ＴＭＫ,ティーエムケー,北海道,亀田郡七飯町,北海道亀田郡七飯町大中山１丁目１２番８号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
7400003003738,合同会社みらい,ミライ,岩手県,一関市,岩手県一関市花泉町涌津字二ツ檀６１番地７１,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
8370003007642,合同会社Ｍ．Ａｘｉｓ,エムドットアクシス,宮城県,仙台市太白区,宮城県仙台市太白区長町４丁目１番１６－２号リアーレ長町四丁目１０１,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
9370003007666,合同会社三島,ミシマ,宮城県,登米市,宮城県登米市迫町北方字東新土手１３１,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
6410001014530,株式会社スカイロケッツ秋田,スカイロケッツアキタ,秋田県,横手市,秋田県横手市朝日が丘３丁目１７番２号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
1380003006377,合同会社リードパス,リードパス,福島県,須賀川市,福島県須賀川市森宿字ウツロ田１－３６,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
2380003006376,合同会社ネクストノート,ネクストノート,福島県,大沼郡三島町,福島県大沼郡三島町大字宮下字水尻１６６番地,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
5380003006373,合同会社Ｊ‐ＴＥｃｈｎｉｃａ,ジェイテクニカ,福島県,いわき市,福島県いわき市常磐関船町屋津３７番地の４４,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
6380001036165,ぶんぷく株式会社,ブンプク,福島県,南相馬市,福島県南相馬市原町区北町３４１番地の３６,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
9380001036162,株式会社Ｇｌｏｗｔｈ,グロース,福島県,郡山市,福島県郡山市富田町字坦ノ腰４５番地の１,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
9380003006378,合同会社ＴＡＢＢＹ　ＢＲＥＷＩＮＧ,タビーブリューイング,福島県,喜多方市,福島県喜多方市字三丁目４７７４,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
2050001058601,鹿行クリーン株式会社,,茨城県,鹿嶋市,茨城県鹿嶋市大字平井２２６３,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
3050001058600,株式会社東横,,茨城県,東茨城郡茨城町,茨城県東茨城郡茨城町大字駒場１８７－６,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
3050003010229,合同会社ＢＡＴＨＹＸ,バティックス,茨城県,つくばみらい市,茨城県つくばみらい市富士見ヶ丘１丁目２７番地６０,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
5050003010227,合同会社ＧＬＯＢＡＬ　ＦＡＲＭ,グローバルファーム,茨城県,土浦市,茨城県土浦市荒川沖東２丁目１６番２０号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
8050001058579,株式会社終活福祉の会ほっとすたんど,シュウカツフクシノカイホットスタンド,茨城県,水戸市,茨城県水戸市吉沢町６３３番地１,medical,care,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
9050001058586,株式会社東樹,トウキ,茨城県,土浦市,茨城県土浦市桜町３丁目１４番２６号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
3060001039392,株式会社ＥｌｄｅｒＢｏｏｍ,エルダーブーム,栃木県,宇都宮市,栃木県宇都宮市清原台１丁目１５番３１号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
4060001039400,株式会社参友,サンユウ,栃木県,宇都宮市,栃木県宇都宮市竹林町３９８番地３ポケトオフィス竹林町Ⅲ１０２,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
7060001039397,株式会社Ｓｍｉｌｅ　Ａｌｗａｙｓ,スマイルオールウェイズ,栃木県,栃木市,栃木県栃木市神田町１２－２,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
9060001039395,ヘルスケアマネジメント株式会社,ヘルスケアマネジメント,栃木県,宇都宮市,栃木県宇都宮市中今泉３丁目２２番１７号,medical,care,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
2070005010507,一般社団法人Ｂａｂｙ　Ｓｔｅｐ　Ｇｕｎｍａ,,群馬県,桐生市,群馬県桐生市新里町鶴ヶ谷１８６番地１６,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
1030001173080,株式会社Ｍｉｒｕｅ,ミルエ,埼玉県,桶川市,埼玉県桶川市東２丁目１２番１９号,other,,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
1030001173106,株式会社日本国際共生と教育研究ＬＡＢ,ニホンコクサイキョウセイトキョウイクケンキュウラボ,埼玉県,川口市,埼玉県川口市川口４丁目３番２２－６０１号,service,education,2026-06-30,true,,,,,,,,国税庁 法人番号公表サイト,2026-06-30
