# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1190005011989,医療法人徳新会,トクシンカイ,三重県,四日市市,三重県四日市市久保田２丁目１番２号,medical,care|clinic,2024-10-07,false,,,,http://sanpoku-hp.or.jp,0254605555,,https://sanpoku-hp.or.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1190001012479,株式会社センチュリークリエイティブ,センチュリークリエイティブ,三重県,桑名市,三重県桑名市松ノ木１丁目１０番地の４,other,care|advertising,2015-10-05,false,356,,,http://www.amigo-net.jp/,0587-96-9393,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2180001135494,株式会社ケアサポートアトラ,ケアサポートアトラ,三重県,松阪市,三重県松阪市伊勢寺町４８１番地６,medical,care,2019-02-19,false,,,,,0592534361,,,国税庁 法人番号公表サイト,2026-02-05
2190003004787,ＯｃｔｏｐｕｓＶｉｌｌａｇｅ合同会社,オクトパスヴィレッジ,三重県,桑名市,三重県桑名市新地１０４番地,other,care,2024-09-05,false,,,,,052-990-4832,,,国税庁 法人番号公表サイト,2024-09-05
4190001024348,ｏｐｓｏｌ株式会社,オプソル,三重県,伊勢市,三重県伊勢市小俣町元町６２３番１,other,care,2017-01-31,false,,,,,072-697-8070,,,国税庁 法人番号公表サイト,2022-09-21
6190002016202,有限会社マル正,マルショウ,三重県,津市,三重県津市高茶屋６丁目１０番１４号,other,care,2015-10-05,false,,,,,059-253-3363,,,国税庁 法人番号公表サイト,2019-02-26
6190001003738,株式会社アイアム,アイアム,三重県,津市,三重県津市末広町２番５号,other,care,2015-10-05,false,,,,,059-253-6541,,,国税庁 法人番号公表サイト,2020-06-23
3190003003887,合同会社ＩＭＰＡＣＴグループ,インパクトグループ,三重県,津市,三重県津市豊が丘５丁目１９番２号,other,care,2022-01-27,false,,,,,059-291-6669,,,国税庁 法人番号公表サイト,2023-04-25
8190001028683,沼口幸福祉株式会社,ヌマグチシアワセフクシ,三重県,津市,三重県津市長岡町８００番地１４４,medical,care,2021-09-14,false,,,,,059-273-6030,,,国税庁 法人番号公表サイト,2021-09-14
1190001027188,株式会社ＨＥＲＯ,ヒーロー,三重県,津市,三重県津市河芸町上野５７０番地１５,other,care,2020-03-16,false,,,,https://hero-offcial.com/,059-253-4636,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
