# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6130001049209,株式会社グランユニライフケアサービス,グランユニライフケアサービス,京都府,京都市伏見区,京都府京都市伏見区羽束師菱川町６２８－５,medical,care,2015-10-05,false,300,,,,075-283-2167,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6130001044812,株式会社Ｔ．Ｓ．Ｉ,ティーエスアイ,京都府,京都市西京区,京都府京都市西京区桂南巽町７５番地４,other,care,2015-10-05,false,382,378178000,代表取締役社長　　北山　忠雄,http://www.t-s-i.jp/,042-673-7107,info@t-s-i.jp,http://www.t-s-i.jp/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8130001007098,株式会社バンイースウエスト,バンイースウエスト,京都府,京都市下京区,京都府京都市下京区四条通新町東入月鉾町４７番地３,other,care,2015-10-05,false,,,,,045-412-5225,,,国税庁 法人番号公表サイト,2021-01-26
4130001041547,株式会社ミストラルサービス,ミストラルサービス,京都府,綾部市,京都府綾部市栗町土居ノ内３１,service,care,2015-10-05,false,332,,,https://step-kaigo.net,0773-40-2310,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7130001058530,株式会社ＡＤＶＡＮＣＥ　ＦＲＥＥ,アドバンスフリー,京都府,京都市伏見区,京都府京都市伏見区東大文字町１０６６番地７,other,care,2016-10-25,false,,,,,0595-48-6986,,,国税庁 法人番号公表サイト,2019-12-06
5130001012209,京都ユーメディクス株式会社,キョウトユーメディクス,京都府,京都市南区,京都府京都市南区西九条蔵王町２８番地,other,care,2015-10-05,false,,,,,0562-38-6517,,,国税庁 法人番号公表サイト,2018-06-14
3130003006680,合同会社リノセント,リノセント,京都府,京都市伏見区,京都府京都市伏見区醍醐北端山２５番地４０,other,care,2020-07-30,false,,,,https://carestation-sorairo.business.site/,077-535-9190,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2130005004188,医療法人社団洛和会,ラクワカイ,京都府,京都市中京区,京都府京都市中京区西ノ京車坂町９番地,medical,care|clinic,1973-07-02,false,2424,,理事長　矢野　裕典,http://www.rakuwa.or.jp,0758010351,,http://www.rakuwa.or.jp/overview/information/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2130001045112,株式会社ラ・ケア,ラケア,京都府,京都市右京区,京都府京都市右京区西京極中町３７番地１,medical,care,2015-10-05,false,,,,http://www.la-care.jp,0753262212,,https://www.la-care.jp/info,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1130005003835,医療法人啓信会,ケイシンカイ,京都府,城陽市,京都府城陽市平川西六反２６番地１,medical,care|clinic,2015-10-05,false,,,,http://www.kyoto-keishinkai.or.jp/,0774-43-2688,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3130001023661,株式会社トランスポート,トランスポート,京都府,京都市中京区,京都府京都市中京区西ノ京車坂町９番地,other,care,2015-10-05,false,170,,,www.rakuwa.or.jp,075-575-3763,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7130001040240,スマイルケア株式会社,スマイルケア,京都府,京都市山科区,京都府京都市山科区東野森野町２３番地の９３,medical,care,2015-10-05,false,,,,https://smilelife-biwako.com/,0775255775,&#115;&#109;&#105;&#108;&#101;&#99;&#97;&#114;&#101;&#64;&#109;&#97;&#106;&#111;&#114;&#46;&#111;&#99;&#110;&#46;&#110;&#101;&#46;&#106;&#112;,mailto:&#115;&#109;&#105;&#108;&#101;&#99;&#97;&#114;&#101;&#64;&#109;&#97;&#106;&#111;&#114;&#46;&#111;&#99;&#110;&#46;&#110;&#101;&#46;&#106;&#112;,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2130001005082,株式会社田中建工,タナカケンコウ,京都府,京都市南区,京都府京都市南区上鳥羽清井町２７７番地,other,care,2015-10-05,false,,,,http:youkinosato.com,0775774550,,tel:0775774550,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9130001018978,株式会社ミドリヤ,ミドリヤ,京都府,京都市下京区,京都府京都市下京区四條通寺町東入御旅町１７番地,other,care,2015-10-05,false,,,,https://www.kyoto-midoriya.co.jp/,077‐576‐8652,fujii@kyoto-midoriya.co.jp,https://www.kyoto-midoriya.co.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1120001077339,綾羽株式会社,アヤハ,京都府,京都市下京区,京都府京都市下京区烏丸通四条下る水銀屋町６１２番地,other,care,2015-10-05,false,143,,,http://www.ayaha.co.jp/,077-566-6273,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4130001045291,株式会社はぴねすさぽーと,ハピネスサポート,京都府,京都市中京区,京都府京都市中京区東洞院通錦小路下る阪東屋町６５８番地都証券ビル３階,other,care,2015-10-05,false,210,,,WWW.REGAROA.NET,0979-23-8710,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9130002004580,日本ケアサポート株式会社,ニホンケアサポート,京都府,京都市北区,京都府京都市北区大北山原谷乾町１９９番地２,medical,care,2015-10-05,false,,,,http://www.,075-496-8861,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9130001045980,株式会社都精舎,ミヤコショウジャ,京都府,京都市北区,京都府京都市北区紫野西御所田町３０番地明治館北大路２０２,other,care,2015-10-05,false,,,,,075-492-7772,,,国税庁 法人番号公表サイト,2026-03-17
9130001053785,株式会社サクセスフルエイジング,サクセスフルエイジング,京都府,京都市北区,京都府京都市北区紫竹東高縄町５１番地４,other,care,2015-10-05,false,33,,,http://www.successful-aging.care,075-284-0370,,https://successful-aging.care/public-information,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2130005013791,京都高齢者生活協同組合くらしコープ,キョウトコウレイシャクラシコープ,京都府,京都市北区,京都府京都市北区紫野東野町１番地５,other,care,2015-10-05,false,,,,,075-415-7111,,,国税庁 法人番号公表サイト,2018-07-30
7130001071021,株式会社コロン,コロン,京都府,京都市北区,京都府京都市北区紫野下柏野町２２番地１３８,other,care,2022-02-08,false,,,,,075-334-5646,,,国税庁 法人番号公表サイト,2025-03-31
3130003008776,合同会社とよ,トヨ,京都府,京都市北区,京都府京都市北区紫野上石龍町１６番地,other,care,2023-06-08,false,,,,,075-492-0633,,,国税庁 法人番号公表サイト,2023-06-08
8130001070749,株式会社Ｃｉｒｃｌｅ,サークル,京都府,京都市北区,京都府京都市北区紫野門前町４４番地９１,other,care,2021-12-20,false,,,,circle-inc.jp,075-748-0658,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4130001051216,株式会社都季,トキ,京都府,京都市北区,京都府京都市北区大宮中林町４０番地,other,care,2015-10-05,false,,,,,075-201-0019,,,国税庁 法人番号公表サイト,2023-07-12
3130001065150,株式会社銭形,ゼニガタ,京都府,京都市下京区,京都府京都市下京区黒門通五条下る柿本町５９４番地１３,other,care,2019-08-27,false,84,,,https://zenigata-group.jp/,075-353-4899,info-mail@zenigata-kyoto.com,https://zenigata-group.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5130005004383,社会福祉法人七野会,ナナノカイ,京都府,京都市北区,京都府京都市北区大北山長谷町５番地３６,medical,care,2015-10-05,false,580,,,http://www.nananokai.com/,0754665095,,http://www.nananokai.com/contact/?form=1,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
