# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3300005003956,特定非営利活動法人ふれあい,フレアイ,佐賀県,武雄市,佐賀県武雄市武雄町大字武雄５５４２番地１８６,other,care,2015-10-05,false,,,,,0144-78-2800,,,国税庁 法人番号公表サイト,2019-04-26
6300005004571,社会福祉法人寿楽園,ジュラクエン,佐賀県,三養基郡基山町,佐賀県三養基郡基山町大字園部２３０７番地,medical,care,2015-10-05,false,812,,,https://jurakuen.jp,0942-92-2626,,https://jurakuen.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8300001008442,株式会社パラディ,パラディ,佐賀県,佐賀市,佐賀県佐賀市北川副町大字光法９４３番地３,other,care,2015-10-05,false,144,,,http://paradis-care.jp/smarts/index/2/,0952-20-1010,,http://paradis-care.jp/pages/3/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
4300003001928,合同会社ボルドー,ボルドー,佐賀県,鳥栖市,佐賀県鳥栖市秋葉町３丁目８番地１東峰マンション鳥栖９０７,other,care,2023-01-25,false,,,,,0942-50-5583,,,国税庁 法人番号公表サイト,2023-01-25
8300001006074,株式会社ジョウジマ,ジョウジマ,佐賀県,伊万里市,佐賀県伊万里市黒川町大黒川２２８５番地,other,care|realestate,2015-10-05,false,100,,,http://itonosato.jp/,092-330-7061,,https://itonosato.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6300003001174,合同会社絆,キズナ,佐賀県,佐賀市,佐賀県佐賀市西田代１丁目５－１０ファミーユＭ２０１号,other,care,2016-03-25,false,,,,,0952-65-1806,,,国税庁 法人番号公表サイト,2023-07-07
8300002005240,有限会社あしたば,アシタバ,佐賀県,佐賀市,佐賀県佐賀市大和町大字久池井１０２０番地７,other,care,2015-10-05,false,,,,,０９５２－６４－９４６０,,,国税庁 法人番号公表サイト,2024-11-11
1300001004142,あいサポートこころ株式会社,アイサポートココロ,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字八戸溝１２６５番地３１,other,care,2015-10-05,false,,,,,0952605332,,,国税庁 法人番号公表サイト,2025-02-27
6300001008130,株式会社ケアハウスすみれ,ケアハウススミレ,佐賀県,佐賀市,佐賀県佐賀市金立町大字千布２３１２番地１,realestate,care|realestate,2015-10-05,false,,,,,0952-98-1399,,,国税庁 法人番号公表サイト,2019-08-19
2300005000368,医療法人長生会,,佐賀県,佐賀市,佐賀県佐賀市嘉瀬町大字中原１９７３番地１,medical,care|clinic,2015-10-05,false,,,,http://www.shimada.or.jp/,0952-23-5805,,http://www.shimada.or.jp/fuku/index.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4300005002742,社会福祉法人佐賀キリスト教事業団,サガキリストキョウジギョウダン,佐賀県,佐賀市,佐賀県佐賀市大和町大字久留間３８６５番地１,medical,care,2015-10-05,false,225,,,https://www.zion.or.jp,0952-41-5101,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
