# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1170001017422,株式会社ＫＡＴＡＣＨＩ,カタチ,和歌山県,田辺市,和歌山県田辺市上万呂４８８番地の５,other,care,2022-12-23,false,,,,,03-5344-9799,,,国税庁 法人番号公表サイト,2022-12-23
9140001106633,株式会社ＬＩＴＡ,リタ,和歌山県,岩出市,和歌山県岩出市桜台１１９番地,other,care,2017-06-20,false,,,,https://lita-family.com/,0736-67-7097,box_lg_icon@2x.png,https://lita-family.com/#contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6170001010827,株式会社はるす,ハルス,和歌山県,橋本市,和歌山県橋本市岸上５６３番地の１,other,care,2015-10-05,false,,,,http://hals-hals.co.jp/sakai,0736393026,,https://hals-hals.co.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5170001000077,株式会社あかりホーム,アカリホーム,和歌山県,和歌山市,和歌山県和歌山市橋向丁３２番地,realestate,care|realestate,2015-10-05,false,,,,https://www.akarihome-kaigo-job.com/kaigo/all/nTl_1_1000_AOID%2CID/CLfacility_l.htm,073-402-0555,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2170001000369,永伸総合警備株式会社,,和歌山県,和歌山市,和歌山県和歌山市弘西４１０番地の１,other,care,2015-10-05,false,,,,,072-943-3300,,,国税庁 法人番号公表サイト,2015-11-20
1170001008256,株式会社ソワン,ソワン,和歌山県,岩出市,和歌山県岩出市西国分７９３番１,other,care,2015-10-05,false,200,,,https://www.sowan-lien.net/,0736-67-8802,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8170002002020,有限会社新和交通,シンワコウツウ,和歌山県,和歌山市,和歌山県和歌山市神前字宮出１４８番地２,other,care,2015-10-05,false,,,,https://www.hohoemikaigo.net/,073-471-3511,,https://www.hohoemikaigo.net/contact.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5170001006966,株式会社八福,ハチフク,和歌山県,和歌山市,和歌山県和歌山市栄谷４０２番地３,other,care,2015-10-05,false,,,,,073-456-0602,,,国税庁 法人番号公表サイト,2024-10-31
8170002005774,有限会社テラダ,テラダ,和歌山県,和歌山市,和歌山県和歌山市福島５５０番地の６,other,care,2015-10-05,false,,,,,073-451-7636,,,国税庁 法人番号公表サイト,2021-05-21
1170001013743,株式会社湊屋,ミナトヤ,和歌山県,和歌山市,和歌山県和歌山市黒田２９７番地１７,other,care,2015-10-05,false,,,,,073-488-8025,,,国税庁 法人番号公表サイト,2018-10-19
3170003000721,ジュピター合同会社,ジュピター,和歌山県,和歌山市,和歌山県和歌山市冬野１３３２番地の３,other,care,2015-10-05,false,,,,,073-463-0360,,,国税庁 法人番号公表サイト,2025-07-25
8170005001795,社会福祉法人東和歌山福祉会,ヒガシワカヤマフクシカイ,和歌山県,和歌山市,和歌山県和歌山市東田中字山角３０７番地,medical,care,2015-10-05,false,,,,,073-465-4165,,,国税庁 法人番号公表サイト,2018-06-04
3120103004387,合同会社とりたん,トリタン,和歌山県,和歌山市,和歌山県和歌山市園部１１４２番地３シアラｐｌｕｓ園部４、２６号,other,care,2021-10-11,false,,,,,0734518817,,,国税庁 法人番号公表サイト,2025-07-08
9170001006938,株式会社タンデム,タンデム,和歌山県,和歌山市,和歌山県和歌山市小野町３丁目１５番地,other,care,2015-10-05,false,,,,,(073)433-7200,,,国税庁 法人番号公表サイト,2021-06-15
5170002006081,有限会社ＶｉＶｉｆａｌａ島ゆかこ,,和歌山県,和歌山市,和歌山県和歌山市杉ノ馬場４丁目１番地,other,care,2015-10-05,false,31,,,http://www.vivifala-yukako.co.jp/,073-424-1533,yukako.s@vivifala-yukako.co.jp,http://www.joy.hi-ho.ne.jp/ichigoma/form-to-mail.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6170001014613,サンライトケア株式会社,,和歌山県,和歌山市,和歌山県和歌山市西庄１０５６番地２５７,medical,care,2017-02-14,false,,,,,073-488-2015,,,国税庁 法人番号公表サイト,2017-02-17
