# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4030005010979,東洋ローア・キリスト伝道教会,トウヨウローアキリストデンドウキョウカイ,埼玉県,入間郡毛呂山町,埼玉県入間郡毛呂山町大字市場１１３２番地１,other,care,2015-10-05,false,,,,,0166-74-4914,,,国税庁 法人番号公表サイト,2020-06-03
3030005017034,一般社団法人ＨＫ,エイチケー,埼玉県,所沢市,埼玉県所沢市松葉町１２番３号アーガスヒルズ５８－１階,other,care,2015-10-05,false,,,,,095-842-0643,,,国税庁 法人番号公表サイト,2020-03-06
1030001028862,株式会社翼,ツバサ,埼玉県,所沢市,埼玉県所沢市大字山口５００８番地の５,other,care,2015-10-05,false,,,,,0193-77-3328,,,国税庁 法人番号公表サイト,2020-10-21
3030001000968,ＡＬＳＯＫ介護株式会社,アルソックカイゴ,埼玉県,さいたま市大宮区,埼玉県さいたま市大宮区三橋２丁目７９５番地,medical,care,2015-10-05,false,4154,,,https://kaigo.alsok.co.jp/,042-767-3826,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3030001041921,株式会社ビジュアルビジョン,ビジュアルビジョン,埼玉県,上尾市,埼玉県上尾市上町１丁目１番１４号,other,care,2015-10-05,false,2000,,,,048-765-5611,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2030005009734,社会福祉法人元気村,ゲンキムラ,埼玉県,鴻巣市,埼玉県鴻巣市東１丁目１番２５号,medical,care,2015-10-05,false,1108,,,http://www.genkimuragroup.jp,0486310070,,http://www.matsuzono.jp/first_hp_information.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1030005014487,医療法人善心会,ゼンシンカイ,埼玉県,熊谷市,埼玉県熊谷市柿沼３３４番地１,medical,care|clinic,2015-10-05,false,,,,,048-501-5733,,,国税庁 法人番号公表サイト,2018-05-24
6030001068334,株式会社アリア,,埼玉県,越谷市,埼玉県越谷市川柳町４丁目２４５番地１－３１１,other,care,2015-10-05,false,56,,,http://ariacare.jp,0295-76-8550,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3021001070523,株式会社サニースタッフ,サニースタッフ,埼玉県,久喜市,埼玉県久喜市栗橋東４丁目１０番３０号アポロハイツⅡ１０１号,other,care|hr,2020-08-05,false,,,,https://www.sunny-staff.com,0480-53-6961,sunny.s.2020k@gmail.com,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9120001177676,株式会社ワイグッドケア,ワイグッドケア,埼玉県,本庄市,埼玉県本庄市寿１丁目２５番１３号,medical,care,2015-10-05,false,480,,,https://ygood.jp/,03-5336-1503,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
