# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6320002018515,株式会社ケーシーシー,ケーシーシー,大分県,豊後大野市,大分県豊後大野市三重町市場１８７番地２,other,care,2015-10-05,false,146,,,http://www.kcc-fukushi.co.jp/company/,0974-24-0033,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8320003002078,合同会社ネオ,ネオ,大分県,日田市,大分県日田市上城内町１番２５号,other,care,2015-10-05,false,51,,,,0973-23-4866,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2320003000401,合資会社のぞみ介護センター,,大分県,大分市,大分県大分市大字毛井４９３番地,medical,care,2015-10-05,false,,,,,097-520-3906,,,国税庁 法人番号公表サイト,2017-08-22
5320002009267,有限会社大分ウェルケア,,大分県,大分市,大分県大分市南鶴崎２丁目５番４号,medical,care,2015-10-05,false,,,,,０９７－５２４－０５１７,,,国税庁 法人番号公表サイト,2015-11-27
9320002005964,有限会社双葉看護婦家政婦紹介所,フタバカンゴフカセイフショウカイジョ,大分県,大分市,大分県大分市新川町２丁目６番２４号,other,care,2015-10-05,false,,,,,097-532-7562,,,国税庁 法人番号公表サイト,2024-07-12
7320005002457,一般社団法人風の会,,大分県,大分市,大分県大分市坂ノ市南３丁目１７番２６－１号,other,care,2015-10-05,false,,,,,090-9475-6976,,,国税庁 法人番号公表サイト,2015-11-27
1320002009469,有限会社ドゥーイット,ドゥーイット,大分県,大分市,大分県大分市東野台１丁目１２番地の１,other,care,2015-10-05,false,,,,http://www.doi1671.com,097-529-5212,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6320002010001,有限会社高城介護サービス,,大分県,大分市,大分県大分市萩原２丁目１０番２８号,medical,care,2015-10-05,false,,,,,097-573-2222,,,国税庁 法人番号公表サイト,2015-11-27
9320001002161,日本電装工業株式会社,ニホンデンソウコウギョウ,大分県,大分市,大分県大分市今津留３丁目１３番２１号,construction,care,2015-10-05,false,,,,,097-551-6770,,,国税庁 法人番号公表サイト,2020-05-08
5320003000332,合資会社こころ介護センター,,大分県,大分市,大分県大分市錦町３丁目７番８号,medical,care,2015-10-05,false,,,,,０９７－５３４－１７５５,,,国税庁 法人番号公表サイト,2015-11-27
