# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4350001015025,株式会社ルデア,ルデア,宮崎県,宮崎市,宮崎県宮崎市佐土原町上田島４０９１番地２,other,care,2017-11-14,false,,,,,0985-74-2202,,,国税庁 法人番号公表サイト,2020-05-26
9350005004572,医療法人友愛会,ユウアイカイ,宮崎県,小林市,宮崎県小林市野尻町東麓１１７０番地,medical,care|clinic,2015-10-05,false,235,,,,055－928－5887,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3350005005667,一般社団法人天翔福祉会,テンショウフクシカイ,宮崎県,宮崎市,宮崎県宮崎市上野町４番４号,medical,care,2017-03-23,false,,,,,0985-65-3311,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3350001007386,株式会社サン・ルーム,サンルーム,宮崎県,延岡市,宮崎県延岡市平田町２３４７番地,other,care,2015-10-05,false,132,,,http://care-net.biz/45/sr-8180/,0982-73-4611,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5350001007161,株式会社九州千雅,キュウシュウチガ,宮崎県,延岡市,宮崎県延岡市瀬之口町１丁目３番地１０,other,care,2015-10-05,false,380,,,,0982-22-0777,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5350003003431,合同会社Ｃｏ．ｃｒｅａｔｉｏｎ,コクリエイション,宮崎県,宮崎市,宮崎県宮崎市大字鏡洲２６３番地１,other,care,2019-10-07,false,,,,,090－1362－9326,,,国税庁 法人番号公表サイト,2021-05-17
1350002007899,有限会社ケアセンターあい,ケアセンターアイ,宮崎県,宮崎市,宮崎県宮崎市大字熊野５２７９番地３,medical,care,2015-10-05,false,,,,,0985-55-3054,,,国税庁 法人番号公表サイト,2023-09-04
7350001018371,株式会社ＡＲＣＡＴＨ,アルカス,宮崎県,宮崎市,宮崎県宮崎市永楽町１２６番地６レーベンハイム２０２号,other,care,2023-05-26,false,,,,https://arcath-miyazaki.com,0985-72-5990,mail.info@arcath-miyazaki.com,https://arcath-miyazaki.com/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6350003004387,合同会社Ｎｅｗｂｉｅ,ニュービー,宮崎県,宮崎市,宮崎県宮崎市大字浮田１００９番地５,other,care,2023-06-26,false,,,,,080-4655-4144,,,国税庁 法人番号公表サイト,2023-06-26
1350002017477,株式会社ＮｅｗＣｒｅａｔｅ,ニュークリエイト,宮崎県,宮崎市,宮崎県宮崎市花ケ島町入道２２３０番地４,other,care,2015-10-05,false,30,,,https://www.new-create.jp/,0985-26-1396,,https://www.new-create.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5350005004790,特定非営利活動法人一会,イチエ,宮崎県,宮崎市,宮崎県宮崎市中西町４２番地ステラコート２Ａ,other,care,2015-10-05,false,,,,,0985-62-0084,,,国税庁 法人番号公表サイト,2019-09-18
4350005000493,医療法人清涼会,セイリョウカイ,宮崎県,宮崎市,宮崎県宮崎市大字浮田３０９９番地１,medical,care|clinic,2015-10-05,false,,,,http://www.seiryo-t.or.jp,0985-48-2500,,https://ikime-daichou.com/clinic/#information,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
4350001011461,株式会社心々美,ココミ,宮崎県,宮崎市,宮崎県宮崎市田野町甲６３５７番地７,other,care,2015-10-05,false,9,,,,090-6420-8937,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6350001004752,株式会社ＹＵＭＥ,ユメ,宮崎県,宮崎市,宮崎県宮崎市大字小松２６０番地,other,care,2006-07-06,false,27,,代表取締役　久松　昌子,,0985-88-1683,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2350001004863,株式会社介護サポート宮崎,,宮崎県,宮崎市,宮崎県宮崎市大字新名爪３２３番地２,medical,care,2015-10-05,false,27,,,,0985-39-7006,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4350002002807,有限会社ケアセンター高野,,宮崎県,宮崎市,宮崎県宮崎市大橋２丁目２６番地,medical,care,2015-10-05,false,,,,http://www.care-takano.com,0120-113-622,,http://www.care-takano.com/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5350001006485,株式会社陽ホーム,ヨウホーム,宮崎県,宮崎市,宮崎県宮崎市曽師町１７１番地２,realestate,care|realestate,2015-10-05,false,,,,,0985-65-5139,,,国税庁 法人番号公表サイト,2018-07-18
1350001007594,株式会社こもれび,コモレビ,宮崎県,宮崎市,宮崎県宮崎市大島町前田３３８番１,other,care,2015-10-05,false,28,,,,0985-22-8833,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6350001004851,株式会社はまゆう,ハマユウ,宮崎県,宮崎市,宮崎県宮崎市大字赤江字飛江田１４０６番地２,other,care,2015-10-05,false,,,,http://www.nagominosato.in/,0985-75-0088,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5350001010999,株式会社春,ハル,宮崎県,宮崎市,宮崎県宮崎市下北方町塚原５７１１番地１,other,care,2015-10-05,false,,,,https://haru-miyazaki.jp/,0985-74-7574,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7350002007919,有限会社地域コンサルティング,チイキコンサルティング,宮崎県,宮崎市,宮崎県宮崎市北川内町円光明６３６６番地１,consulting,care|pro-services,2015-10-05,false,,,,,0985-65-5171,,,国税庁 法人番号公表サイト,2018-04-03
1350002008220,有限会社チェリーブロッサム,チェリーブロッサム,宮崎県,宮崎市,宮崎県宮崎市大字本郷北方２９９４番地,other,care,2015-10-05,false,,,,http://www.sakurasanchi.com/,0985-52-3700,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9350005001652,株式会社ほほのき,ホホノキ,宮崎県,宮崎市,宮崎県宮崎市永楽町１５４番地,other,care,2015-10-05,false,,,,,0985-29-3866,,,国税庁 法人番号公表サイト,2024-07-17
8350001007712,籠の里株式会社,カゴノサト,宮崎県,宮崎市,宮崎県宮崎市大字恒久１０３９番地,other,care,2015-10-05,false,,,,,0985-51-9307,,,国税庁 法人番号公表サイト,2022-06-02
7350001011649,株式会社福太郎みやざき,フクタロウミヤザキ,宮崎県,宮崎市,宮崎県宮崎市太田３丁目８番３０号,other,care,2015-10-05,false,,,,,0985-51-9151,,,国税庁 法人番号公表サイト,2021-12-08
4350001010686,株式会社愛あい荘,アイアイソウ,宮崎県,宮崎市,宮崎県宮崎市佐土原町上田島４０４９番地３,other,care,2015-10-05,false,,,,,0985-30-5468,,,国税庁 法人番号公表サイト,2019-01-22
7340003003323,合同会社笑,エミ,宮崎県,宮崎市,宮崎県宮崎市波島１丁目４１－４８,other,care,2021-02-26,false,,,,,0985-38-5008,,,国税庁 法人番号公表サイト,2021-08-16
2350003000654,合同会社あおぞら介護・家政婦センター,アオゾラカイゴカセイフセンター,宮崎県,宮崎市,宮崎県宮崎市花ケ島町南赤江町２１１９番地,medical,care,2015-10-05,false,,,,http://aozorallc.web.fc2.com/,0985-41-8717,aozorakaka@yahoo.co.jp,http://aozorallc.web.fc2.com/6/index.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6350002008810,有限会社タジマ,タジマ,宮崎県,宮崎市,宮崎県宮崎市矢の先町７８番地１,other,care,2015-10-05,false,,,,,0985-26-2020,,,国税庁 法人番号公表サイト,2019-09-09
4350001005372,スローライフこぞの株式会社,,宮崎県,宮崎市,宮崎県宮崎市大淀１丁目１番３号,other,care,2015-10-05,false,32,,,,0985-71-3114,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6350003001946,絆合同会社,,宮崎県,宮崎市,宮崎県宮崎市大字富吉字水流５２３２番２,other,care,2015-10-05,false,,,,,0985-48-0124,,,国税庁 法人番号公表サイト,2015-11-27
3350001001455,株式会社ビブレアール宮崎,ビブレアールミヤザキ,宮崎県,宮崎市,宮崎県宮崎市生目台西３丁目２番地２,other,care,2015-10-05,false,,,,http://www.mottokitto.co.jp/,0985-51-3870,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3350002008490,有限会社ケアサービスまごころ,ケアサービスマゴコロ,宮崎県,宮崎市,宮崎県宮崎市北川内町乱橋３５８３番地２２,medical,care,2015-10-05,false,,,,,0985-63-0556,,,国税庁 法人番号公表サイト,2018-06-27
8350001016622,株式会社ＶＡＬＯ,バロ,宮崎県,宮崎市,宮崎県宮崎市大島町笹原１９９９番地,other,care,2020-09-07,false,,,,https：//valo-hikari.com,0985－34－9420,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6350002001567,有限会社ケアサービス田之上,ケアサービスタノウエ,宮崎県,宮崎市,宮崎県宮崎市船塚２丁目１８２番地１,medical,care,2015-10-05,false,,,,http://tanoue-kaigo.jimdosite.com/,0985-48-8000,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2350001004772,株式会社アンジェの庭,アンジェノニワ,宮崎県,宮崎市,宮崎県宮崎市大字細江３８９８番地１,other,care,2015-10-05,false,,,,,0985-48-8160,,,国税庁 法人番号公表サイト,2023-08-29
7350005000615,社会福祉法人凌雲堂,リョウウンドウ,宮崎県,宮崎市,宮崎県宮崎市大字跡江字長割２３６６番地,medical,care,2015-10-05,false,,,,http://www.ryoundo.or.jp/,0985475377,,https://ryoundo.or.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6350005001341,社会福祉法人慶明会,ケイメイカイ,宮崎県,東諸県郡国富町,宮崎県東諸県郡国富町大字岩知野字明久３５７番地,medical,care,2015-10-05,false,300,,,https://www.keimeisw.or.jp/,0985-36-6464,,https://www.keimeisw.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3350001011958,株式会社スマイル,スマイル,宮崎県,宮崎市,宮崎県宮崎市田野町字前田甲３８２７番地５,other,care,2015-10-05,false,,,,,０９８５－６４－９８５４,,,国税庁 法人番号公表サイト,2023-04-20
2350001013022,株式会社ＫＥＩＪＩ,ケイジ,宮崎県,宮崎市,宮崎県宮崎市恒久５丁目１５番地６,other,care,2015-10-05,false,,,,http://www.fuwa-home.com/,０９８５－５６－００２８,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2350001013229,株式会社りんごの里,リンゴノサト,宮崎県,宮崎市,宮崎県宮崎市吉村町西田甲６４７番地１７,other,care,2015-10-05,false,,,,http://www.ringo-nosato.com/,0985-74-5015,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5350005000492,医療法人社団誠友会,セイユウカイ,宮崎県,宮崎市,宮崎県宮崎市大字恒久８９１番地１４,medical,care|clinic,2015-10-05,false,,,,http://nanbunomori.com/,0985-67-6503,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8350005005646,特定非営利活動法人生き活き塾,イキイキジュク,宮崎県,宮崎市,宮崎県宮崎市清水２丁目６番３７号上田ビル２階,other,care,2016-12-05,false,,,,,0985-24-1165,,,国税庁 法人番号公表サイト,2018-04-24
1350001004483,株式会社　ミディエイド,,宮崎県,宮崎市,宮崎県宮崎市佐土原町下田島7824-7,medical,care,,false,,,,,0985-62-7455,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
5350001010611,株式会社サン・シティ宮崎,サンシティミヤザキ,宮崎県,宮崎市,宮崎県宮崎市大塚町窪田３３６７番地１,other,care,2015-10-05,false,,,,,0985-48-3308,,,国税庁 法人番号公表サイト,2023-01-10
4350005000106,一般財団法人潤和リハビリテーション振興財団,ジュンワリハビリテーションシンコウザイダン,宮崎県,宮崎市,宮崎県宮崎市大字小松１１１９番地,other,care,2015-10-05,false,,,,http://www.junwakai.com,0570004755,,http://www.junwakai.com/use_info/users_top/users_08.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8350005001513,特定非営利活動法人ＰＡみやざき,ピーエーミヤザキ,宮崎県,宮崎市,宮崎県宮崎市青葉町５２番地１,other,care,2015-10-05,false,,,,https://yah-do.com/category/pa/,0985314800,,https://yah-do.com/inquiry/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8350005000597,社会福祉法人宮崎県社会福祉事業団,ミヤザキケンシャカイフクシジギョウダン,宮崎県,宮崎市,宮崎県宮崎市原町２番２２号,medical,care,2015-10-05,false,,,,http://www.m-sj.or.jp/miyazaki/,0985-77-5711,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3350001001835,宮﨑タクシー株式会社,ミヤザキタクシー,宮崎県,宮崎市,宮崎県宮崎市鶴島３丁目２４番地,other,care,2015-10-05,false,83,,,http://www.30-gr.co.jp,0985-23-5480,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6350001011682,株式会社ライナディ,ライナデイ,宮崎県,宮崎市,宮崎県宮崎市淀川２丁目７番３２号,other,care,2015-10-05,false,,,,,0985-89-3136,,,国税庁 法人番号公表サイト,2025-04-04
2350003002816,合同会社うみさち,,宮崎県,宮崎市,宮崎県宮崎市青島４丁目５番２７号,other,care,2016-12-28,false,,,,,0985－65－0441,,,国税庁 法人番号公表サイト,2017-01-06
