# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4090001004657,株式会社フレアス,フレアス,山梨県,中巨摩郡昭和町,山梨県中巨摩郡昭和町西条１５１４番地,other,care,2015-10-05,false,601,50000000,代表取締役社長ＣＥＯ　澤登　拓,http://fureasu.jp/,046-210-4360,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4090001003320,株式会社やさしい手甲府,ヤサシイテコウフ,山梨県,甲府市,山梨県甲府市上石田１丁目７番１４号,other,care,2015-10-05,false,927,,,,0553-44-4116,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4090001014053,株式会社ラ・クーラ,,山梨県,甲府市,山梨県甲府市上阿原町１２６番地１０,other,care,2015-10-05,false,,,,http://www.lacura-mavie.jp/,055-215-0842,telework@lacura-mavie.jp,http://www.lacura-mavie.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6090001016089,株式会社ケアフォレスト,ケアフォレスト,山梨県,甲府市,山梨県甲府市横根町１１７１番地２,medical,care,2019-07-02,false,,,,,055-242-7140,,,国税庁 法人番号公表サイト,2022-06-10
3090001013824,プラスユー株式会社,プラスユー,山梨県,甲府市,山梨県甲府市上阿原町１０５５番地１,other,care,2015-10-05,false,,,,http://sora.plus-you.jp,055－267-5632,,http://sora.plus-you.jp/contactus/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4090003001693,合同会社笑美,エミ,山梨県,甲府市,山梨県甲府市川田町４８１番地４,other,care,2020-06-09,false,,,,,055-215-4630,,,国税庁 法人番号公表サイト,2020-06-09
3090005006221,社会福祉法人四葉会,ヨツバカイ,山梨県,甲府市,山梨県甲府市東下条町１０７番地,medical,care,2015-10-05,false,90,,,,055－243－4800,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3090005000323,社会福祉法人大寿会,,山梨県,甲府市,山梨県甲府市大津町３３３番地,medical,care,2015-10-05,false,34,,,https://daijukai-y.or.jp/,055-243-3939,,https://daijukai-y.or.jp/pages/7/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1090005007007,社会福祉法人たくみ会,,山梨県,甲府市,山梨県甲府市青沼２丁目２２番１４号,medical,care,2016-09-21,false,,,,https://www.takumi.sc/welfare,055-236-0037,info@takumi.sc,https://forms.gle/m8JkSnPGQGrfp4pv6,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3090002004888,有限会社アルファー・キッド,アルファーキッド,山梨県,甲府市,山梨県甲府市武田２丁目１３番１８号,other,care,2015-10-05,false,50,,,,055-254-7557,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
