# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7360003006241,合同会社みるくゆ,ミルクユ,沖縄県,那覇市,沖縄県那覇市牧志３丁目６番１２号,other,care,2015-10-05,false,,,,,042-580-3522,,,国税庁 法人番号公表サイト,2024-05-01
7360001008644,沖縄綿久寝具株式会社,オキナワワタキュウシング,沖縄県,宜野湾市,沖縄県宜野湾市赤道１丁目８番５号,other,care,1971-04-27,false,700,,代表取締役　久保　初男,,098-917-4511,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6360002001905,有限会社佐野正福祉開発,,沖縄県,那覇市,沖縄県那覇市字真地４２６番地の１２１,medical,care,2015-10-05,false,,,,,（０９８）８５３－０７９０,,,国税庁 法人番号公表サイト,2015-11-27
8360001022818,介善株式会社,カイゼン,沖縄県,那覇市,沖縄県那覇市字銘苅３０３番地３階,other,care,2017-08-28,false,,,,,098-856-6500,,,国税庁 法人番号公表サイト,2019-08-08
5360001005057,株式会社かがやき,カガヤキ,沖縄県,豊見城市,沖縄県豊見城市字高嶺３２１番地の１,other,care,2015-10-05,false,25,,,yukarigimumu@gmail.com,098-850-2345,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5360002008546,有限会社ヘルパーステーションわかさ,ヘルパーステーションワカサ,沖縄県,浦添市,沖縄県浦添市字経塚６６７番地,other,care,2015-10-05,false,,,,,098-868-1348,,,国税庁 法人番号公表サイト,2024-10-18
3360002009678,有限会社訪問介護こくら,ホウモンカイゴコクラ,沖縄県,那覇市,沖縄県那覇市古波蔵４丁目１３番１２号,medical,care,2015-10-05,false,,,,http://www.h-kokura.com/,098-831-6982,,http://www.h-kokura.com/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
2360001017063,株式会社デザインワークス・ｅ,デザインワークスイー,沖縄県,那覇市,沖縄県那覇市首里石嶺町２丁目２４９番地,other,care|advertising,2015-10-05,false,,,,,098-882-1290,,,国税庁 法人番号公表サイト,2018-11-21
2360002001735,株式会社偕生ケアサービス,カイセイケアサービス,沖縄県,那覇市,沖縄県那覇市小禄１丁目１１番１号,medical,care,2015-10-05,false,,,,,098-858-4422,,,国税庁 法人番号公表サイト,2018-06-05
4360001014471,株式会社Ｌｉｂ,リブ,沖縄県,那覇市,沖縄県那覇市辻２丁目２４番１２号,other,care,2015-10-05,false,,,,,098-911-9428,,,国税庁 法人番号公表サイト,2021-10-15
5360001018075,株式会社Ｌｉｅｎ,リアン,沖縄県,浦添市,沖縄県浦添市勢理客３丁目２番１９－３０１号ラッキーマンション,other,care,2015-10-05,false,,,,https://lien-okinawa.com/,098-917-4457,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8360003011769,合同会社匠,タクミ,沖縄県,那覇市,沖縄県那覇市字小禄６９８番地スゥイートライム３０２,other,care,2022-02-01,false,,,,,098-851-3294,,,国税庁 法人番号公表サイト,2022-02-01
7360001015715,株式会社ライフデザイン,ライフデザイン,沖縄県,宜野湾市,沖縄県宜野湾市志真志３丁目９－１０－２Ｆオアシス若葉,other,care|advertising,2015-10-05,false,168,,,https://aloha-kaigo.net/,098-894-9226,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
