# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6330001008136,株式会社桜十字,サクラジュウジ,熊本県,熊本市南区,熊本県熊本市南区御幸木部１丁目１番１号,other,care,2015-10-05,false,1250,,,https://www.hospitalment.co.jp/hachimanyama/,097-535-7305,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9330001008067,セントケア九州株式会社,セントケアキュウシュウ,熊本県,熊本市中央区,熊本県熊本市中央区十禅寺１丁目３番１号,medical,care,2015-10-05,false,1057,,,http://www.saint-care.com/,0982-23-1005,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5330003006989,合同会社笑みリンク,エミリンク,熊本県,水俣市,熊本県水俣市深川３２－２,other,care,2017-02-03,false,,,,https://www.emi-link.net,092-611-7388,info@emi-link.com,https://www.emi-link.net/contact.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8290001007644,株式会社サンコーライフサポート,サンコーライフサポート,熊本県,合志市,熊本県合志市須屋２５０番地１,other,care,2015-10-05,false,,,,http://www.sankolife.co.jp/,0964-22-6926,,https://sankolife.co.jp/inquiry/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
4330005004190,社会福祉法人博愛福祉会,ハクアイフクシカイ,熊本県,荒尾市,熊本県荒尾市下井手字外平１１９９番１２,medical,care,2015-10-05,false,,,,,0944-58-1186,,,国税庁 法人番号公表サイト,2020-11-18
2330001026686,株式会社グッドライフ,グッドライフ,熊本県,合志市,熊本県合志市福原２２００番地３,other,care,2019-08-29,false,,,,,0944-32-8135,,,国税庁 法人番号公表サイト,2019-09-03
5330005001476,社会福祉法人駿光会,シュンコウカイ,熊本県,熊本市中央区,熊本県熊本市中央区本荘５丁目１０番２３号,medical,care,2015-10-05,false,,,,https：//shunkokai.jp,096-359-3399,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3330003001711,合資会社天野屋,,熊本県,熊本市中央区,熊本県熊本市中央区大江１丁目２７番１６号,other,care,2015-10-05,false,,,,,096-371-3661,,,国税庁 法人番号公表サイト,2015-11-27
7330001017169,株式会社きらる,キラル,熊本県,熊本市中央区,熊本県熊本市中央区大江３丁目４番４８－１０１号,other,care,2015-10-05,false,,,,http://chiral.jimdo.com/,096-366-5155,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3330005001890,特定非営利活動法人自立生活センターヒューマンネットワーク熊本,ジリツセイカツセンターヒューマンネットワーククマモト,熊本県,熊本市中央区,熊本県熊本市中央区白山２丁目１番１７号,it,care,2015-10-05,false,,,,http://cilhumannetworkkumamoto.web.fc2.com/index.htm,096-366-3329,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
