# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2380005004312,社会福祉法人湖星会,コセイカイ,福島県,二本松市,福島県二本松市木幡字東和代６５番１,medical,care,2015-10-05,false,1087,,,https://koseikai-star.com/,0133-77-6623,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3380001008134,株式会社ＰＣＬ,ピーシーエル,福島県,郡山市,福島県郡山市喜久田町卸３丁目２４番地,other,care,2015-10-05,false,,,,http://www.momotarousan.com/,023-665-0960,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380001001986,株式会社エアコレクト,エアコレクト,福島県,福島市,福島県福島市西中央５丁目２２番地の４,other,care,2015-10-05,false,,,,,024-572-7182,,,国税庁 法人番号公表サイト,2019-06-17
9380001028614,Ｂｅｅ工房株式会社,,福島県,福島市,福島県福島市飯野町明治字東喜平蔵内５２番地の３,other,care,2017-11-08,false,,,,http://hp.kaipoke.biz/hxx/,024-572-5525,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4380002001640,有限会社サンケアネット慈恵,,福島県,福島市,福島県福島市松木町１４番７号,it,care,2015-10-05,false,,,,akira:Jikeikai＠gmail.com,024-534-2649,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2380005001020,特定非営利活動法人生活支援ワーカーズネットコミュ,セイカツシエンワーカーズネットコミュ,福島県,福島市,福島県福島市南矢野目字向原４番地２,it,care,2015-10-05,false,,,,,024-552-5430,,,国税庁 法人番号公表サイト,2018-06-04
9380005000239,医療法人回生堂,カイセイドウ,福島県,福島市,福島県福島市大森字高畑３１番地の１,medical,care|clinic,2015-10-05,false,,,,http://e.oishasan.ne.jp/tajimaseikei,024-533-6652,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380005012030,一般社団法人こらぼ,コラボ,福島県,福島市,福島県福島市鳥谷野字舘４７番地の１,other,care,2018-05-09,false,,,,,024-502-5184,,,国税庁 法人番号公表サイト,2020-11-25
3380003005162,合同会社福福事務所,フクフクジムショ,福島県,福島市,福島県福島市天神町２番２８号,other,care,2022-04-21,false,,,,https://hukuhukuoffice.com/,024-572-3596,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4380005000499,きらり健康生活協同組合,キラリケンコウセイカツ,福島県,福島市,福島県福島市野田町１丁目１５番１２号,other,care,2015-10-05,false,370,,,https://www.kirari-hcoop.com/corporate/action-plan.html#sec02,024-555-2626,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9380002005364,有限会社きさらぎ,キサラギ,福島県,福島市,福島県福島市渡利字小舟５２番地の１,other,care,2015-10-05,false,,,,,024-526-4631,,,国税庁 法人番号公表サイト,2020-09-28
3380005000459,社会福祉法人すこやか福祉会,スコヤカフクシカイ,福島県,福島市,福島県福島市沖高字中島１４番地の１,medical,care,2015-10-05,false,215,,,http://www.sukoyakanosato.jp,0245521377,,https://sukoyakanosato.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6380002000401,有限会社イタクラ,イタクラ,福島県,福島市,福島県福島市郷野目字東９番地の１,other,care,1995-05-19,false,,,代表取締役　高橋　真一,,024-573-0200,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7380001017040,株式会社スタイル・ハート,スタイルハート,福島県,福島市,福島県福島市宮町２番２０号,other,care,2015-10-05,false,,,,,024-573-7600,,,国税庁 法人番号公表サイト,2018-09-21
2380001000380,株式会社北福島タクシー,,福島県,福島市,福島県福島市南矢野目字桜内３６番地の１,other,care,2015-10-05,false,,,,http://www.kftaxi.com,024-557-2501,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8380001024630,株式会社ウィズ,ウィズ,福島県,福島市,福島県福島市松川町下川崎字佐久間前山１７番地６,other,care,2015-10-05,false,,,,,024-572-7817,,,国税庁 法人番号公表サイト,2019-09-18
5380005012270,一般社団法人ワンハート・ユニティー,ワンハートユニティー,福島県,福島市,福島県福島市桜木町１番６号,other,care,2020-03-06,false,29,,,https://one-heart-unity.webnode.jp/,024-563-1095,oneheartunity2020@gmail.com,https://one-heart-unity.webnode.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4380001033668,株式会社ももの実,モモノミ,福島県,福島市,福島県福島市方木田字葉ノ木立２９番地の４４,other,care,2023-05-11,false,,,,,024-572-6763,,,国税庁 法人番号公表サイト,2024-11-28
3380005012041,一般社団法人ｆｕｋｕｃｉｅｒ,フクシェル,福島県,会津若松市,福島県会津若松市中央１丁目５番２９号Ｂ．Ｓｔｅｐ３０４号室,other,care,2018-05-29,false,,,,https://fukucier.com/houmon/,024-573-9707,,https://fukucier.com/houmon/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8380001023450,株式会社ライトウェイ,ライトウェイ,福島県,伊達市,福島県伊達市保原町字城ノ内１－３清野ビルテナント２０１,other,care,2015-10-05,false,,,,,070-5327-5584,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8380005002384,特定非営利活動法人青いそら,,福島県,福島市,福島県福島市飯野町大久保字西戸３２番地の２,other,care,2015-10-05,false,,,,http://aoisora-iino.net/,024-503-0177,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8380001033838,株式会社りえぞん,リエゾン,福島県,福島市,福島県福島市笹木野字大金谷６０番地の１ベルコーポ吾妻Ｂ２０１,other,care,2023-07-07,false,,,,,024-573-5780,,,国税庁 法人番号公表サイト,2023-08-14
7380002006934,有限会社愛和,アイワ,福島県,福島市,福島県福島市北原４４番地の１１,other,care,2015-10-05,false,,,,,024-534-6938,,,国税庁 法人番号公表サイト,2018-05-16
9380001023193,株式会社しみずの里,シミズノサト,福島県,福島市,福島県福島市泉字清水内３番地,other,care,2015-10-05,false,,,,,024-563-1695,,,国税庁 法人番号公表サイト,2021-07-01
4380005000466,社会福祉法人福島福祉会,フクシマフクシカイ,福島県,福島市,福島県福島市飯坂町湯野字簗尻１番の１,medical,care,2015-10-05,false,,,,http://care-net.biz/07/ryokukouen/,024-542-8822,,https://care-net.biz/07/ryokukouen/form.php?ref=https://care-net.biz/07/ryokukouen/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2380005000022,社会福祉法人わたり福祉会,ワタリフクシカイ,福島県,福島市,福島県福島市飯坂町平野字小深田１番地５号,medical,care,2015-10-05,false,466,,,http://www.watari-fukushikai.jp/,024-542-8755,,https://watari-fukushikai.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7380005000471,社会福祉法人ライフ・タイム・福島,ライフタイムフクシマ,福島県,福島市,福島県福島市松川町字産子内１番地の１,medical,care,2015-10-05,false,138,,,http://www.life-time-fukushima.jp/,024-567-5800,,https://www.life-time-fukushima.jp/form/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2380005000451,社会福祉法人創世福祉事業団,ソウセイフクシジギョウダン,福島県,福島市,福島県福島市旭町９番７号,medical,care,2015-10-05,false,706,,,http://sosei.org/publics/index/86/,024-536-5000,olive@ca.wakwak.com,http://sosei.org/publics/index/63/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6380002007289,有限会社ケアフル会津,,福島県,福島市,福島県福島市渡利字中角２７番地の７,medical,care,2015-10-05,false,,,,,024-522-0030,,,国税庁 法人番号公表サイト,2015-10-30
6380005001017,ＮＰＯ法人ＩＬセンター福島,アイエルセンターフクシマ,福島県,福島市,福島県福島市渡利字椚町１番１,other,care,2015-10-05,false,,,,,024－522－9500,,,国税庁 法人番号公表サイト,2018-07-05
9380002006949,有限会社ハートネット,ハートネット,福島県,福島市,福島県福島市笹谷字中田１番地の８,it,care,2015-10-05,false,,,,,024-555-1035,,,国税庁 法人番号公表サイト,2022-12-26
7380002006967,有限会社スマイルコーポレーション,,福島県,福島市,福島県福島市北中央１丁目６５番地の３,other,care,2015-10-05,false,,,,http://smile-korporation.ci-ho.jp,０２４－５２５－１４７５,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380005000472,社会福祉法人北信福祉会,ホクシンフクシカイ,福島県,福島市,福島県福島市南矢野目字才ノ後６番２,medical,care,2015-10-05,false,520,,,http:/www.happyisland.org,0245522466,,https://www.happyisland.org/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3380005000467,社会福祉法人福島福祉施設協会,フクシマフクシシセツキョウカイ,福島県,福島市,福島県福島市仁井田字龍神前２番地の１,medical,care,2015-10-05,false,265,,,https://www.ffsk.jp,024-545-3221,,https://www.ffsk.jp/form/contact.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6380001003751,株式会社はるかぜグループ,ハルカゼグループ,福島県,福島市,福島県福島市本内字西下釜６０番地の１モカロールＣ２０３,other,care,2015-10-05,false,,,,,024-572-5615,,,国税庁 法人番号公表サイト,2020-11-27
5380002006903,有限会社ちちんぷいぷい,チチンプイプイ,福島県,福島市,福島県福島市清明町１番１０号,other,care,2015-10-05,false,,,,http://care-net.biz/07/puipui/,024-521-9225,,https://care-net.biz/07/puipui/form.php?ref=https://care-net.biz/07/puipui/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7380005000249,医療法人五光会,ゴコウカイ,福島県,福島市,福島県福島市北町１番４０号,medical,care|clinic,2015-10-05,false,130,,,http://hmcg.jp/fjh/,024-521-1370,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3380001020056,株式会社ハンドレール,,福島県,福島市,福島県福島市北沢又字中清水４番地の３４,other,care,2015-10-05,false,,,,,024-573-8282,,,国税庁 法人番号公表サイト,2015-10-30
2380001004225,株式会社まるきた,マルキタ,福島県,福島市,福島県福島市森合字台７番地,other,care,2015-10-05,false,140,,,http://www.maru-kita.co.jp,0245323011,,http://www.maru-kita.co.jp/contact/index.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9380005000016,社会福祉法人福島市社会福祉協議会,フクシマシシャカイフクシキョウギカイ,福島県,福島市,福島県福島市森合町１０番１号,medical,care,2015-10-05,false,110,,,http://www.f-shishakyo.or.jp,024-533-8877,,http://www.f-shishakyo.or.jp/publics/index/5/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8380005000495,福島医療生活協同組合,フクシマイリョウ,福島県,福島市,福島県福島市渡利字中江町６６番地,medical,care|clinic,2015-10-05,false,550,,,,024-563-5762,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6380005011032,特定非営利活動法人やすらぎの郷いいの,ヤスラギノサトイイノ,福島県,福島市,福島県福島市飯野町字前川１６番地,other,care,2015-10-05,false,,,,yasuraginosatoiino.jp,024-563-4804,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380005000282,医療法人生愛会,セイアイカイ,福島県,福島市,福島県福島市大笹生字向平１３番地の１,medical,care|clinic,2015-10-05,false,,,,http://www.seiaikai.jp/,0245552244,logo@2x.webp,http://www.seiaikai.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2380005011151,特定非営利活動法人結びの家くるみ,ムスビノイエクルミ,福島県,福島市,福島県福島市御山町７番１１号,other,care,2015-10-05,false,,,,,024-572-4153,,,国税庁 法人番号公表サイト,2020-05-12
6380001020334,株式会社ウインスリーひかり,ウインスリーヒカリ,福島県,福島市,福島県福島市北五老内町３番８号,other,care,2015-10-05,false,,,,//www.win3hikari.com,024-572-7062,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9380005011814,社会福祉法人さくら福祉会,サクラフクシカイ,福島県,福島市,福島県福島市上鳥渡字樋ノ口北５２番地,medical,care,2017-03-23,false,188,,,http://www.sakura-fukushikai.jp/,024-593-0505,,http://www.sakura-fukushikai.jp/inquiry/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2380005000261,医療法人社団敬愛会,ケイアイカイ,福島県,福島市,福島県福島市東中央３丁目１５番地,medical,care|clinic,1986-12-13,false,,,理事長　菊池　悟,www.keiai-kai.com,024-563-1160,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6380001030317,株式会社リンクス,リンクス,福島県,福島市,福島県福島市瀬上町字寺前１２番地の１３ホワイトコーポラスＯＮＯ１０１号室,other,care,2019-09-19,false,,,,https://www.linkhoumonkaigo8893.com/?siteRevision=150,024-597-8893,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.linkhoumonkaigo8893.com/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1380005000502,ふくしま未来農業協同組合,,福島県,福島市,福島県福島市北矢野目字原田東１番地の１,agriculture,care|agriculture,2015-10-05,false,1676,,,,024-565-3200,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6380005012682,一般社団法人グッドライフ,グッドライフ,福島県,福島市,福島県福島市宮代字段ノ腰１３０番２号,other,care,2023-03-03,false,,,,860goodlife@gmail.com,024-563-5205,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1380005000452,社会福祉法人けやきの村,ケヤキノムラ,福島県,福島市,福島県福島市飯坂町中野字高田前２番地７,medical,care,2015-10-05,false,118,,,keyakinomura.jp,024-573-6078,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5380005000993,特定非営利活動法人まごころサービス福島センター,マゴコロサービスフクシマセンター,福島県,福島市,福島県福島市在庭坂字南林６０番地の２,service,care,2015-10-05,false,,,,,024-591-1950,,,国税庁 法人番号公表サイト,2018-06-19
3380005002224,特定非営利活動法人エルタ,エルタ,福島県,福島市,福島県福島市東浜町１０番１６号,other,care,2015-10-05,false,,,,https://f-elta.net/,024-535-1665,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7380001019747,株式会社しあわせ介護,シアワセカイゴ,福島県,福島市,福島県福島市瀬上町字町尻５７－１,medical,care,2015-10-05,false,70,,,,024-573-1290,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4380002005245,有限会社まめ,,福島県,福島市,福島県福島市上野寺字西原４２番地の３,other,care,2015-10-05,false,,,,http://kaigo-mame.com,0245914250,info@kaigo-mame.com,http://kaigo-mame.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2380001000802,大和自動車交通株式会社,ダイワジドウシャコウツウ,福島県,福島市,福島県福島市入江町１３番２２号,other,care|auto,2015-10-05,false,,,,http://f-daiwa.com,024-534-6181,,http://f-daiwa.com/pages/3/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9380005002342,社会福祉法人雄峰福祉会,ユウホウフクシカイ,福島県,福島市,福島県福島市仁井田字下川原１７番地,medical,care,2015-10-05,false,,,,http://sinobunosato-welfare.jp/,024-546-2727,,https://sinobunosato-welfare.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1010702013289,マイクスコーポレーション有限会社,マイクスコーポレーション,福島県,福島市,福島県福島市野田町字八郎内５５番地の１,other,care,2015-10-05,false,,,,,024-563-3131,,,国税庁 法人番号公表サイト,2025-02-20
7380002003106,有限会社日本アシスト,ニホンアシスト,福島県,福島市,福島県福島市南町６０６番地,other,care,2015-10-05,false,,,,http://www.n-assist.wixsite.com/assist,024-544-0235,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5380005002387,株式会社飯野の里,イイノノサト,福島県,福島市,福島県福島市飯野町字原田１１番地の１,other,care,2015-10-05,false,30,,,https://iinonosato.net,024-562-4244,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1380005000997,社会福祉法人ジェイエイ新ふくしま福祉会,ジェイエイシンフクシマフクシカイ,福島県,福島市,福島県福島市笹木野字水口下１３番１,medical,care,2015-10-05,false,,,,http://www.aguri-home.com/,024-555-3503,,https://www.aguri-home.com/?page_id=1754,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380002006893,株式会社おひさま,オヒサマ,福島県,福島市,福島県福島市丸子字富塚１８番地の４,other,care,2015-10-05,false,,,,http://ohisama-kaigo.com,024-552-1230,,https://ohisama-kaigo.com/inquiry/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380002033426,有限会社夢と共生の二十一グループ,ユメトキョウセイノニジュウイチグループ,福島県,会津若松市,福島県会津若松市明和町５番５号,other,care,2015-10-05,false,,,,http://yume21.no.land.to/,0242-23-8927,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1380001006701,民間救急警備株式会社,ミンカンキュウキュウケイビ,福島県,郡山市,福島県郡山市開成６丁目２１２番地の１,other,care,2015-10-05,false,,,,http://minkyu-k.com/,0249324199,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6380001021175,株式会社シンパシー,,福島県,会津若松市,福島県会津若松市神指町高瀬８番地,other,care,2015-10-05,false,,,,,0242-85-7417,,,国税庁 法人番号公表サイト,2015-10-30
1380002033397,有限会社希星,,福島県,会津若松市,福島県会津若松市宮町５番４７号,other,care,2015-10-05,false,,,,com-club@outlook.jp,0242-22-0200,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9380003003359,合同会社フューチャー,フューチャー,福島県,会津若松市,福島県会津若松市門田町大字日吉字丑渕１５２番地の７,other,care,2015-10-05,false,,,,,0242‐85‐7860,,,国税庁 法人番号公表サイト,2018-08-07
6380005007880,社会福祉法人会津長寿園,アイヅチョウジュエン,福島県,会津若松市,福島県会津若松市門田町大字黒岩字五百山丙４５９番地の３,medical,care,2015-10-05,false,,,,www.choujuen.or.jp/,0242-38-4720,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8380005006625,特定非営利活動法人いわき自立生活センター,イワキジリツセイカツセンター,福島県,いわき市,福島県いわき市中央台高久２丁目２６－４,other,care,2015-10-05,false,94,,,https://www.cil-iwaki.or.jp/,0246688925,,https://www.cil-iwaki.or.jp/#contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8380002033952,株式会社しなのき,シナノキ,福島県,会津若松市,福島県会津若松市新横町４番６号,other,care,2015-10-05,false,,,,https://www.sinanoki.co.jp/,0242-85-6703,,https://www.sinanoki.co.jp/pages/3/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2380003001807,合同会社陽だまり,ヒダマリ,福島県,会津若松市,福島県会津若松市東年貢１丁目３番２０号,other,care,2015-10-05,false,,,,http://care-net.biz/07/hidamarioie/,0242-28-5380,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1380001024926,株式会社糖励会メディカルガーデン,トウレイカイメディカルガーデン,福島県,会津若松市,福島県会津若松市町北町大字上荒久田字畑村東５２番地の１,other,care,2015-10-05,false,,,,http://toureikai.net,0242-36-7201,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4380001018297,ライフケア和株式会社,ライフケアナゴミ,福島県,会津若松市,福島県会津若松市山見２丁目５番地の１２,medical,care,2015-10-05,false,,,,,0242-22-3330,,,国税庁 法人番号公表サイト,2024-02-05
9380003003631,合同会社たいよう,タイヨウ,福島県,会津若松市,福島県会津若松市堤町１３－６,other,care,2016-05-18,false,,,,http://aizu-kaigotaxi-taiyo.com/,0242-77-4762,mail@aizu-kaigotaxi-taiyo.com,http://aizu-kaigotaxi-taiyo.com/mail#yoyakutoiawase,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5380002033922,有限会社ネットケアープランニング,ネットケアープランニング,福島県,会津若松市,福島県会津若松市建福寺前６番２９号,it,care,2015-10-05,false,,,,https://www.netcareplanning.co.jp/,0242-93-6370,info@netcareplanning.co.jp,https://www.netcareplanning.co.jp/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7380002033722,有限会社シルバー支援総業,シルバーシエンソウギョウ,福島県,会津若松市,福島県会津若松市門田町大字徳久字竹之元８７３番地１号,other,care,2015-10-05,false,,,,www13.plala.or.jp/magokoro-h/index.html,0242-36-6311,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
