# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3270002011024,有限会社さかのケアサービス,サカノケアサービス,鳥取県,倉吉市,鳥取県倉吉市八屋２０３番地７,medical,care,2015-10-05,false,44,,,http://www.sakano-cs.jp/,0333258676,,http://www.sakano-cs.jp/mailform.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5270005003454,社会福祉法人こうほうえん,コウホウエン,鳥取県,境港市,鳥取県境港市誠道町２０８３番地,medical,care,2015-10-05,false,2320,,,http://www.kohoen.jp/,0859-37-3355,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1270001007066,株式会社エルスリー,エルスリー,鳥取県,鳥取市,鳥取県鳥取市湖山町東４丁目６１番地,other,care,2016-09-29,false,,,,,0857-30-7573,,,国税庁 法人番号公表サイト,2019-12-12
9270001007439,株式会社ＧＳｐａｃｅ,ジースペース,鳥取県,鳥取市,鳥取県鳥取市鹿野町今市６４５番地２,other,care,2018-01-15,false,,,,,0857-51-0061,,,国税庁 法人番号公表サイト,2021-04-05
7270001006467,愛真ケア株式会社,,鳥取県,鳥取市,鳥取県鳥取市岩倉２５０番地１２,medical,care,2015-10-05,false,,,,,0857-23-3941,,,国税庁 法人番号公表サイト,2015-11-20
5270003000874,合同会社ライフケアーズ,,鳥取県,鳥取市,鳥取県鳥取市南安長１丁目１５番２１号,medical,care,2015-10-05,false,,,,httpps://lifecares.jimdofree.com,0857-30-5100,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8270005000110,医療法人社団三樹会,サンジュカイ,鳥取県,鳥取市,鳥取県鳥取市扇町１７６番地,medical,care|clinic,2015-10-05,false,93,,,http://stationclinic.com,0857-21-8825,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5270001002468,株式会社メディコープとっとり,メディコープトットリ,鳥取県,鳥取市,鳥取県鳥取市末広温泉町２０３番地,other,care,2015-10-05,false,,,,http://mcp.mcoop-tottori.jp/services/tampopo.html,0858-71-0273,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3270001000168,株式会社サポートライフ,,鳥取県,鳥取市,鳥取県鳥取市東今在家３２１番地２６,other,care,2015-10-05,false,,,,www.support-life.jp,0857-29-3455,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5270001005990,株式会社シェアグレイス商栄,シェアグレイスショウエイ,鳥取県,鳥取市,鳥取県鳥取市商栄町２７１番地５,other,care,2015-10-05,false,25,,,,0857-32-5151,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5270005000039,社会福祉法人あすなろ会,アスナロカイ,鳥取県,鳥取市,鳥取県鳥取市川端４丁目１１５番地,medical,care,2015-10-05,false,985,,,http://t-asunaro.or.jp,0857-21-2711,,https://t-asunaro.jp/inquiry/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2270005004769,一般社団法人イナバ総合福祉会,イナバソウゴウフクシカイ,鳥取県,鳥取市,鳥取県鳥取市湯所町２丁目２５６番地,medical,care,2015-10-05,false,,,,,0857-51-1388,,,国税庁 法人番号公表サイト,2022-03-15
4270003001485,合同会社ＡＴＳＵＩ,アツイ,鳥取県,岩美郡岩美町,鳥取県岩美郡岩美町大字岩本１１６６番地１,other,care,2023-02-03,false,,,,,0857-30-4025,,,国税庁 法人番号公表サイト,2023-02-03
1270001006596,株式会社サードライフモア,サードライフモア,鳥取県,米子市,鳥取県米子市安倍２００番地１,other,care,2015-10-05,false,,,,http://www.medicalcare.jp/,0853-31-8223,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3270001004557,株式会社ハピネライフケア鳥取,ハピネライフケアトットリ,鳥取県,米子市,鳥取県米子市目久美町３４番地１２,medical,care,2015-10-05,false,,,,,0857-38-8666,,,国税庁 法人番号公表サイト,2022-05-18
8270001005534,株式会社サン企画,,鳥取県,鳥取市,鳥取県鳥取市商栄町１９２番地,service,care|advertising,2015-10-05,false,,,,,0857-50-0088,,,国税庁 法人番号公表サイト,2015-11-20
4270005000048,社会福祉法人だんのさと,ダンノサト,鳥取県,鳥取市,鳥取県鳥取市瓦町５６８番地,medical,care,2015-10-05,false,,,,http://www.dannosato.jp/,0857-57-0150,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3270002005018,静和会しらゆき有限会社,セイワカイシラユキ,鳥取県,鳥取市,鳥取県鳥取市千代水４丁目４３番地,other,care,2015-10-05,false,,,,,0857-30-5700,,,国税庁 法人番号公表サイト,2021-04-22
5270005000105,医療法人アスピオス,アスピオス,鳥取県,鳥取市,鳥取県鳥取市吉方温泉１丁目６５３番地,medical,care|clinic,2015-10-05,false,363,,,masatami.hs@asupiosu.or.jp,0857-53-0800,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4270001000563,株式会社エヌケーシー,エヌケーシー,鳥取県,鳥取市,鳥取県鳥取市戎町４７１番地,other,care,1965-08-02,false,159,,代表取締役　佐武　紀明,http://www.web-nkc.com/,0857-27-6111,,http://www.web-nkc.com/otoiawase/index.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7270005000037,社会福祉法人鳥取福祉会,トットリフクシカイ,鳥取県,鳥取市,鳥取県鳥取市的場２丁目１番地,medical,care,2015-10-05,false,676,,,http://www.tottorifukushikai.jp,0857-51-7272,,https://www.tottorifukushikai.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6270001008010,株式会社協の輪,トモノワ,鳥取県,鳥取市,鳥取県鳥取市大杙２２９番地１６,other,care,2020-05-25,false,,,,tomonowa‐tottori.com,0857-30-5595,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4270001008656,株式会社ＹＯＵプラス,ユープラス,鳥取県,鳥取市,鳥取県鳥取市滝山４４２番地３４,other,care,2022-11-07,false,,,,https://you-plus.jp/,0857-50-1515,,https://you-plus.jp/information/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3270001002503,株式会社Ｔｒｕｅ,,鳥取県,鳥取市,鳥取県鳥取市湖山町東４丁目１１６番地,other,care,2015-10-05,false,,,,,0857-30-3200,,,国税庁 法人番号公表サイト,2015-11-20
7270001000643,久大建材株式会社,キュウダイケンザイ,鳥取県,鳥取市,鳥取県鳥取市叶１１０番地１,other,care,2015-10-05,false,,,,"kyudai,co.jp",0857-25-4301,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4270001006949,株式会社松山,,鳥取県,鳥取市,鳥取県鳥取市国府町宮下１１０７番地８,other,care,2016-04-25,false,,,,,0857-30-6486,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
