# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010405015681,一般社団法人スローフードインターナショナル日本オフィス,スローフードインターナショナルニホンオフィス,三重県,多気郡多気町,三重県多気郡多気町丹生１７３３番地１,food,,2017-04-24,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-15
1190001003148,株式会社ブリオカフェカンパニー,ブリオカフェカンパニー,三重県,津市,三重県津市大門１番２７号川井ビル２Ｄ,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-18
1190001006893,日本レストランプロダクツ株式会社,ニホンレストランプロダクツ,三重県,度会郡玉城町,三重県度会郡玉城町佐田６２６番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-18
1190001006910,橋本屋食堂株式会社,,三重県,伊勢市,三重県伊勢市一之木２丁目１０番１９号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-04
1190001018550,株式会社いちばんフードサービス,イチバンフードサービス,三重県,四日市市,三重県四日市市諏訪栄町３番４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190001032510,ネクストフードサービス株式会社,ネクストフードサービス,三重県,度会郡玉城町,三重県度会郡玉城町妙法寺３９８番地の１,food,restaurant,2025-09-08,true,,,,,,,,国税庁 法人番号公表サイト,2025-09-08
1190002002479,有限会社岡金フードサービス,オカキンフードサービス,三重県,津市,三重県津市久居中町２６８番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190002007321,有限会社レストラン瀬乃崎,,三重県,鈴鹿市,三重県鈴鹿市算所１丁目８番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190002010564,有限会社茶屋フードサービス,チャヤフードサービス,三重県,鳥羽市,三重県鳥羽市鳥羽３丁目４番３２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-29
1190002016017,有限会社ユニバーサルフード,ユニバーサルフード,三重県,松阪市,三重県松阪市下村町７８６番地６,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-11
