# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6190003002795,ソフトケア中部株式会社,ソフトケアチュウブ,三重県,伊勢市,三重県伊勢市小俣町明野４０９番２号サンライフ明野２０３号室,it,care|it,2017-11-02,false,,,,,0596-72-8301,,,国税庁 法人番号公表サイト,2022-12-28
6190001021681,株式会社Ｄ’ｓネットワーク,ディーズネットワーク,三重県,桑名市,三重県桑名市藤が丘７丁目３１５番地,it,care,2015-10-05,false,,,,,0594－24－0350,,,国税庁 法人番号公表サイト,2021-10-06
2190005010528,一般社団法人福祉医療事業ネットワーク,フクシイリョウジギョウネットワーク,三重県,鈴鹿市,三重県鈴鹿市算所３丁目２１番２３号,it,care|clinic,2015-10-05,false,,,,https://furusatonoie.jimdosite.com/,０５９－３８９－６５６５,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
4190005003934,特定非営利活動法人居宅支援システムまごの手,キョタクシエンシステムマゴノテ,三重県,尾鷲市,三重県尾鷲市栄町２番２号,it,care|it,2015-10-05,false,,,,,0597-23-3020,,,国税庁 法人番号公表サイト,2018-05-15
1190001003445,たすけあい三重ネット株式会社,タスケアイミエネット,三重県,亀山市,三重県亀山市みどり町６番地の９,it,care,2015-10-05,false,,,,,0595-84-2255,,,国税庁 法人番号公表サイト,2020-03-23
2190002010349,有限会社ＡＬＬ地域リハネットワーク,,三重県,伊勢市,三重県伊勢市小俣町宮前１９７番地,it,care,2015-10-05,false,,,,http://allchiiki.com/,0596-25-0378,,https://allchiiki.com/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3190001019571,株式会社ライフケアシステムオレンジ,ライフケアシステムオレンジ,三重県,四日市市,三重県四日市市大字西阿倉川８２３番地１,it,care|it,2015-10-05,false,,,,,059-330-6800,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6190001015881,日本ケアシステム株式会社,ニホンケアシステム,三重県,四日市市,三重県四日市市ときわ２丁目１２番２３号,it,care|it,2015-10-05,false,104,,,http://www.jcs-jcs.com,059-361-0800,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3190002001561,有限会社三重健康管理システム,,三重県,津市,三重県津市緑が丘１丁目１４番地の１０,it,care|realestate|it,2015-10-05,false,,,,http://www.mkks.co.jp,059-237-3595,,,国税庁 法人番号公表サイト,2015-11-13
4190001024769,株式会社Ａ．Ｍ．Ｋ．システム,,三重県,鈴鹿市,三重県鈴鹿市東磯山１丁目２番３４号,it,care|it,2017-06-30,false,,,,,050-1316-0769,,,国税庁 法人番号公表サイト,2017-07-05
6190001009198,株式会社インテック三重,,三重県,伊賀市,三重県伊賀市真泥２６９５番地４,it,care|it,2015-10-05,false,,,,www.intecjap.co.jp,0595-45-1501,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3190002005769,有限会社ウェルネット２１,,三重県,北牟婁郡紀北町,三重県北牟婁郡紀北町東長島６９番地の１３,it,care,2015-10-05,false,,,,https://wel-net-21.jimdosite.com,0597-46-2220,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6190005007594,特定非営利活動法人介護支援ネットワーク,,三重県,松阪市,三重県松阪市飯南町向粥見２４９番地,it,care,2015-10-05,false,,,,https://kaigoshiennetwork.com,0598-32-7100,,,国税庁 法人番号公表サイト,2015-11-13
1190002001902,有限会社ボンコネット,ボンコネット,三重県,津市,三重県津市久居桜が丘町１９００－６８,it,care,2015-10-05,false,,,,http://tsu-dayservice-sakuranosato.info,059-271-6258,,,国税庁 法人番号公表サイト,2020-04-30
1011101076687,株式会社ウェブ改善・分析企画開発リサーチ,ウェブカイゼンブンセキキカクカイハツリサーチ,三重県,鳥羽市,三重県鳥羽市石鏡町５０７－６４,it,it|advertising,2016-04-19,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-17
1190001000021,株式会社アートテックエンジニア,アートテックエンジニア,三重県,津市,三重県津市島崎町１３５番地６,it,it,2015-10-05,false,30,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190001000418,株式会社サンワソフト,サンワソフト,三重県,津市,三重県津市栗真中山町１８２番地の１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-17
1190001000450,株式会社システム・ワン,,三重県,津市,三重県津市観音寺町４３３番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-21
