# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8190002022859,デジコ運輸有限会社,デジコウンユ,三重県,四日市市,三重県四日市市日永東２丁目３番８号,logistics,care|logistics,2015-10-05,false,,,,,059-350-5657,,,国税庁 法人番号公表サイト,2024-07-18
1120901009481,シンキ配送株式会社,シンキハイソウ,三重県,名張市,三重県名張市西田原２０８０番地,logistics,logistics,2015-10-05,false,50,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190001000203,小川運送株式会社,オガワウンソウ,三重県,津市,三重県津市高茶屋小森町２８７７番地の４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-06
1190001001515,河芸運輸株式会社,カワゲウンユ,三重県,津市,三重県津市河芸町東千里字大橋２１７番地の２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-24
1190001003073,株式会社ロジスティックスメイハン,ロジスティックスメイハン,三重県,津市,三重県津市戸木町４８５７－１３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-12
1190001003107,株式会社ネイチャーランドテクノロジー,,三重県,津市,三重県津市緑が丘２丁目２番地１１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190001003552,株式会社ＫＤＬテクノロジー,ケイディーエルテクノロジー,三重県,津市,三重県津市本町２９番１７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-12
1190001005425,三重西濃運輸株式会社,ミエセイノウウンユ,三重県,鈴鹿市,三重県鈴鹿市白子４丁目８番１２号,logistics,logistics,2015-10-05,false,261,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190001006836,中北運輸株式会社,ナカキタウンユ,三重県,伊勢市,三重県伊勢市村松町１３５３番地４７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-27
1190001007801,株式会社西港陸運,,三重県,度会郡度会町,三重県度会郡度会町栗原６１１番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190001008741,安永運輸株式会社,ヤスナガウンユ,三重県,伊賀市,三重県伊賀市西明寺２２８４番地の１７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-13
1190001009277,株式会社丸一運輸倉庫,マルイチウンユ,三重県,伊賀市,三重県伊賀市緑ケ丘南町４０３６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-15
1190001011258,株式会社大信運送,ダイシンウンソウ,三重県,松阪市,三重県松阪市西黒部町字新規３７１４番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-04
