# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3190001027863,株式会社未来予想図製作所,ミライヨソウズセイサクショ,三重県,四日市市,三重県四日市市高角町２５８２番地,manufacturing,care|manufacturing,2020-12-04,false,,,,https://mirai-seisaku.co.jp/,0599-20-0658,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1190001003040,株式会社三重義肢製作所,ミエギシセイサクショ,三重県,津市,三重県津市高茶屋小森町野田１７５６番地５,manufacturing,care|manufacturing,2015-10-05,false,,,,http://www.miegishi.co.jp,059-234-3171,,,国税庁 法人番号公表サイト,2023-04-14
1060002011245,有限会社北條製作所,ホウジョウセイサクジョ,三重県,伊勢市,三重県伊勢市吹上２丁目９番３２号丸二マンション１‐４０６号室,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-05
1190001000319,株式会社小菅練壁工場,,三重県,津市,三重県津市一身田町９６番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190001001589,株式会社内藤製作所,ナイトウセイサクショ,三重県,津市,三重県津市安濃町安濃２１０９番地５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-21
1190001007058,美和金属株式会社,ミワキンゾク,三重県,伊勢市,三重県伊勢市小俣町湯田９６番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-17
1190001008774,山田化学株式会社,ヤマダカガク,三重県,伊賀市,三重県伊賀市大内岩根６６２番１,manufacturing,,2015-10-05,false,89,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190001010185,北村食品株式会社,キタムラショクヒン,三重県,松阪市,三重県松阪市大黒田町３０８番地の６,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-13
1190001010326,タカラ食品株式会社,,三重県,松阪市,三重県松阪市松崎浦町１７３番地の２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190001012090,株式会社小川製作所,,三重県,桑名市,三重県桑名市畷町６２８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1190001012215,株式会社斎藤金型製作所,サイトウカナガタセイサクショ,三重県,桑名市,三重県桑名市多度町御衣野字天ノ子４４１７番地の３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-07
1190001012405,株式会社續橋製作所,ツギハシセイサクショ,三重県,桑名市,三重県桑名市大字桑部７５９番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-26
1190001013205,株式会社吉田製作所,ヨシダセイサクショ,三重県,桑名市,三重県桑名市大字福地１５６番地の３,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-11
1190001013337,株式会社ＮＴＮ三重製作所,エヌティエヌミエセイサクショ,三重県,桑名市,三重県桑名市多度町御衣野３６０１番地２５,manufacturing,manufacturing,2015-10-05,false,739,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1190001014723,株式会社草薙製作所,クサナギセイサクショ,三重県,四日市市,三重県四日市市伊坂町１６３３番地の１０,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-07
1190001014905,株式会社後藤製作所,ゴトウセイサクショ,三重県,三重郡朝日町,三重県三重郡朝日町大字柿１２２番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-30
1190001014962,桜井食品株式会社,サクライショクヒン,三重県,四日市市,三重県四日市市松寺１丁目４番１２号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-13
1190001016505,株式会社ミツル製作所,ミツルセイサクショ,三重県,四日市市,三重県四日市市楠町南五味塚４６３番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-23
1190001016645,株式会社山武食品,ヤマタケショクヒン,三重県,三重郡川越町,三重県三重郡川越町大字高松１３８番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-01
1190001016703,四日市こだま食品株式会社,ヨッカイチコダマショクヒン,三重県,四日市市,三重県四日市市諏訪栄町１７番４号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-28
1190001020127,株式会社竹中製作所,タケナカセイサクジョ,三重県,桑名市,三重県桑名市大字江場１６５７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-05
1190001023567,株式会社キタヨシ製作所,,三重県,伊勢市,三重県伊勢市村松町１３７０番地６,manufacturing,manufacturing,2016-04-07,false,,,,,,,,国税庁 法人番号公表サイト,2016-04-13
1190001025472,株式会社大田金属,オオダキンゾク,三重県,四日市市,三重県四日市市河原田町１０５８番地１,manufacturing,manufacturing,2018-04-17,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-14
1190001030282,株式会社田中製作所,タナカセイサクジョ,三重県,いなべ市,三重県いなべ市員弁町畑新田５１０番地,manufacturing,manufacturing,2023-04-04,false,,,,,,,,国税庁 法人番号公表サイト,2023-09-25
