# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1190001012479,株式会社センチュリークリエイティブ,センチュリークリエイティブ,三重県,桑名市,三重県桑名市松ノ木１丁目１０番地の４,other,care|advertising,2015-10-05,false,356,,,http://www.amigo-net.jp/,0587-96-9393,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2190003004787,ＯｃｔｏｐｕｓＶｉｌｌａｇｅ合同会社,オクトパスヴィレッジ,三重県,桑名市,三重県桑名市新地１０４番地,other,care,2024-09-05,false,,,,,052-990-4832,,,国税庁 法人番号公表サイト,2024-09-05
4190001024348,ｏｐｓｏｌ株式会社,オプソル,三重県,伊勢市,三重県伊勢市小俣町元町６２３番１,other,care,2017-01-31,false,,,,,072-697-8070,,,国税庁 法人番号公表サイト,2022-09-21
6190002016202,有限会社マル正,マルショウ,三重県,津市,三重県津市高茶屋６丁目１０番１４号,other,care,2015-10-05,false,,,,,059-253-3363,,,国税庁 法人番号公表サイト,2019-02-26
6190001003738,株式会社アイアム,アイアム,三重県,津市,三重県津市末広町２番５号,other,care,2015-10-05,false,,,,,059-253-6541,,,国税庁 法人番号公表サイト,2020-06-23
3190003003887,合同会社ＩＭＰＡＣＴグループ,インパクトグループ,三重県,津市,三重県津市豊が丘５丁目１９番２号,other,care,2022-01-27,false,,,,,059-291-6669,,,国税庁 法人番号公表サイト,2023-04-25
1190001027188,株式会社ＨＥＲＯ,ヒーロー,三重県,津市,三重県津市河芸町上野５７０番地１５,other,care,2020-03-16,false,,,,https://hero-offcial.com/,059-253-4636,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3190005003019,特定非営利活動法人スマイルハート,スマイルハート,三重県,津市,三重県津市広明町２５３番地,other,care,2015-10-05,false,,,,http://smileheart.org,059-227-1133,,http://smileheart.org/info/index.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9190001021258,株式会社ヤマギワ,ヤマギワ,三重県,松阪市,三重県松阪市下村町１１６８番地１,other,care,2015-10-05,false,,,,,059-261-1954,,,国税庁 法人番号公表サイト,2018-06-01
9190002002645,有限会社クレイン,クレイン,三重県,津市,三重県津市久居東鷹跡町２６８番地１,other,care,2015-10-05,false,38,,,http://crainplaza.com/,０５９－２５６－２２５０,,http://crainplaza.com/%e3%81%8a%e5%95%8f%e5%90%88%e3%81%9b/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3190001019308,株式会社おひさま,オヒサマ,三重県,津市,三重県津市高茶屋２丁目３５番４号,other,care,2015-10-05,false,,,,,059-202-3805,,,国税庁 法人番号公表サイト,2018-04-13
1190005010917,特定非営利活動法人世界ＳＨＩＥＮこども学校のびすく,セカイシエンコドモガッコウノビスク,三重県,津市,三重県津市乙部４番１７号,other,care,2016-03-30,false,,,,,059-253-8872,,,国税庁 法人番号公表サイト,2022-02-08
7190001025946,ＯＨＡＮＡ株式会社,オハナ,三重県,津市,三重県津市末広町９９４番地,other,care,2018-10-23,false,,,,,059-253-1265,,,国税庁 法人番号公表サイト,2019-07-05
8190001000907,株式会社ヒラマツ,ヒラマツ,三重県,津市,三重県津市雲出長常町１３４９番地９３,other,care,2015-10-05,false,96,,,http://hiramaz.com/,059-264-7131,,https://hiramaz.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3190001022708,株式会社よ木よ,ヨギヨ,三重県,津市,三重県津市八幡町津２５２６番地４,other,care,2015-10-05,false,,,,,059-246-5546,,,国税庁 法人番号公表サイト,2018-07-27
