# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1130002030485,有限会社宮原建設,,京都府,八幡市,京都府八幡市八幡園内４３番地の４２,construction,care|construction,2015-10-05,false,,,,,072-855-4821,,,国税庁 法人番号公表サイト,2015-11-13
7130002018814,有限会社幸タイル工業,ユキタイルコウギョウ,京都府,京都市山科区,京都府京都市山科区上野御所ノ内町９－１２アメニティ山科駅前１０１,construction,care,2015-10-05,false,,,,http://hp.kaipoke.biz/cs8/,０７７－５３４－５６５６,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
1120001123729,株式会社パブリック建設,パブリックケンセツ,京都府,京都市下京区,京都府京都市下京区大宮通松原下る西門前町４０７番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-14
1120001129841,酒井工業株式会社,サカイコウギョウ,京都府,京都市南区,京都府京都市南区東九条中御霊町５３番地４,construction,,2015-10-05,false,35,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001217984,神戸建設株式会社,コウベケンセツ,京都府,京都市中京区,京都府京都市中京区西ノ京小堀町２番地５８,construction,construction,2018-12-26,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-11
1120002048181,功起建設株式会社,コウキケンセツ,京都府,京都市中京区,京都府京都市中京区東洞院通御池下る笹屋町４４５,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-18
1130001000225,今北自動車工業株式会社,イマキタジドウシャコウギョウ,京都府,京都市右京区,京都府京都市右京区西院月双町７６番地,construction,auto,1965-02-20,false,,,代表取締役　今北　治作,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001000398,株式会社オクシゲ工務店,オクシゲコウムテン,京都府,京都市右京区,京都府京都市右京区梅ケ畑薮ノ下町２番地の２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-04
1130001000415,株式会社小野電子工業,オノデンシコウギョウ,京都府,京都市右京区,京都府京都市右京区太秦中筋町１２番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-04
1130001000522,北村工業株式会社,キタムラコウギョウ,京都府,京都市右京区,京都府京都市右京区嵯峨朝日町２２番地の５４,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-10
1130001000530,衣笠工業株式会社,キヌガサコウギョウ,京都府,京都市右京区,京都府京都市右京区鳴滝音戸山町６番地の７１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-30
1130001000877,三喜工業株式会社,サンキコウギョウ,京都府,京都市右京区,京都府京都市右京区西院平町６番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-18
1130001000976,春栄工業株式会社,シュンエイコウギョウ,京都府,京都市右京区,京都府京都市右京区西院春栄町１８番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-10
1130001001009,伸栄建設株式会社,シンエイケンセツ,京都府,京都市右京区,京都府京都市右京区梅津堤上町３番地２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-30
1130001001041,シライ電子工業株式会社,シライデンシコウギョウ,京都府,京都市南区,京都府京都市南区久世東土川町３６４番地１,construction,,2015-10-05,false,387,366000000,代表取締役社長　　五　藤　　学,https://www.shiraidenshi.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001001306,株式会社谷垣金属工業所,,京都府,京都市右京区,京都府京都市右京区西院西寿町２８番地,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001001438,富田自動車工業株式会社,,京都府,京都市右京区,京都府京都市右京区西院金槌町１１番地,construction,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-21
1130001001735,株式会社ヒロキ工務店,ヒロキコウムテン,京都府,京都市右京区,京都府京都市右京区山ノ内赤山町１０番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-17
1130001001768,富士塗装工業株式会社,,京都府,京都市右京区,京都府京都市右京区梅津中倉町３４番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001001834,豊基建設株式会社,ホウキケンセツ,京都府,京都市右京区,京都府京都市右京区嵯峨野西ノ藤町２番地の１１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-08
1130001001850,細見工業株式会社,ホソミコウギョウ,京都府,京都市右京区,京都府京都市右京区梅津大縄場町２１番地の１０,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-19
1130001001966,みずわ工業株式会社,ミズワコウギョウ,京都府,京都市右京区,京都府京都市右京区西院北矢掛町１０番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-22
1130001002188,吉村木工業株式会社,ヨシムラモッコウギョウ,京都府,京都市右京区,京都府京都市右京区西京極北庄境町７２番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-10
1130001002196,洛西建設工業株式会社,ラクサイケンセツコウギョウ,京都府,京都市右京区,京都府京都市右京区花園内畑町１番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-16
1130001002865,株式会社近畿レントゲン工業社,キンキレントゲンコウギョウシャ,京都府,京都市上京区,京都府京都市上京区室町通上立売上る室町頭町２５９番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-28
1130001003450,株式会社富建設,,京都府,京都市上京区,京都府京都市上京区七本松通一条上る西入末之口町９９８番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1130001003608,株式会社橋添工務店,ハシゾエコウムテン,京都府,京都市上京区,京都府京都市上京区土屋町通丸太町下る主税町１０６５番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-01
1130001004267,旭ネクタイ工業株式会社,アサヒネクタイコウギョウ,京都府,京都市北区,京都府京都市北区紫野西野町５１番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-08
1130001004572,株式会社カトー建築工房,カトーケンチクコウボウ,京都府,京都市北区,京都府京都市北区紫野上野町１４４番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-27
1130001004993,株式会社総合設備アオキ,ソウゴウセツビアオキ,京都府,京都市北区,京都府京都市北区紫野上御輿町１６番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-22
1130001005083,株式会社田中建設工務,タナカケンセツコウム,京都府,京都市北区,京都府京都市北区大宮北椿原町１１番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-23
1130001005091,株式会社谷口工務店,タニグチコウムテン,京都府,京都市北区,京都府京都市北区西賀茂榿ノ木町３４－３番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-27
1130001005100,株式会社團建築設計事務所,ダンケンチクセッケイジムショ,京都府,京都市左京区,京都府京都市左京区岩倉幡枝町６４１番地２０,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-09
1130001005133,株式会社ツヅヤ建設,,京都府,京都市北区,京都府京都市北区小山南上総町７５番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001005158,東亜管工業株式会社,トウアカンコウギョウ,京都府,京都市北区,京都府京都市北区大将軍川端町３３番地３,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-02
