# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5130001051099,株式会社ジャパンベストコンサルティング,ジャパンベストコンサルティング,京都府,京都市下京区,京都府京都市下京区北門前町７５１番地,consulting,care|pro-services,2015-10-05,false,,,,info@hs-hm.net,075-874-5381,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1010001195366,ＡＴアセットコンサルティング株式会社,エーティーアセットコンサルティング,京都府,京都市左京区,京都府京都市左京区岩倉南河原町２１４番地,consulting,pro-services,2018-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-20
1010101015028,株式会社西川戦略コンサルティング,ニシカワセンリャクコンサルティング,京都府,京都市左京区,京都府京都市左京区北白川西平井町２４番地２,consulting,pro-services,2022-01-18,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-31
1011103012649,ＮＹコンサルティング合同会社,エヌワイコンサルティング,京都府,京都市下京区,京都府京都市下京区大黒町２２７番地第２キョートビル４０２,consulting,pro-services,2023-01-31,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-03
1120001163618,株式会社Ｔ＆Ｃコンサルティング,,京都府,京都市上京区,京都府京都市上京区主税町８２７番地３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1120001229278,株式会社ＷＩＥパートナーズ,ウィイパートナーズ,京都府,京都市中京区,京都府京都市中京区御池通高倉西入高宮町２１６番地グランフォルム御池２階,consulting,pro-services,2020-05-26,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-28
1120002082354,有限会社パートナーズコンサルティング,パートナーズコンサルティング,京都府,京都市左京区,京都府京都市左京区岩倉忠在地町１３６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-18
1120901015109,クールコンサルティング株式会社,クールコンサルティング,京都府,京都市下京区,京都府京都市下京区堀川通五条上る柿本町５７１番地ファミール京都グランアクシス２０１,consulting,pro-services,2015-10-05,false,1,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001004317,株式会社シーピーコンサルタント,シーピーコンサルタント,京都府,京都市北区,京都府京都市北区出雲路松ノ下町１０番地の２１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-28
1130001006321,株式会社クリエイティブマネジメントコンサルティング,,京都府,京都市左京区,京都府京都市左京区下鴨蓼倉町８１番地の６,consulting,pro-services|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-24
1130001013292,アイマーク・マネジメント・コンサルティング株式会社,,京都府,京都市山科区,京都府京都市山科区勧修寺平田町２番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001017780,新公益支援コンサルタンツ株式会社,シンコウエキシエンコンサルタンツ,京都府,京都市中京区,京都府京都市中京区烏丸通二条下る秋野々町５２９番地ヒロセビル,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-27
1130001021312,セントラルビジネスコンサルティング株式会社,セントラルビジネスコンサルティング,京都府,京都市中京区,京都府京都市中京区東洞院通蛸薬師下る元竹田町６３１－３エステートビル四条烏丸５０２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-10
1130001022277,ヒロセアカウンティング・コンサルタンツ株式会社,ヒロセアカウンティングコンサルタンツ,京都府,京都市中京区,京都府京都市中京区両替町通押小路上る金吹町４６５番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-10
1130001024414,株式会社近畿同胞企業再生コンサルティング,,京都府,京都市中京区,京都府京都市中京区錦大宮町１１５番地３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1130001026666,ひかりウェルスパートナーズ株式会社,ヒカリウェルスパートナーズ,京都府,京都市中京区,京都府京都市中京区東洞院通竹屋町下る三本木５丁目４７５,consulting,beauty|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-07
1130001027788,ＪＹコンサルタンツ株式会社,,京都府,京都市右京区,京都府京都市右京区太秦下角田町１２番地１－１０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001027986,株式会社ヒロ・パートナーズ,,京都府,宇治市,京都府宇治市宇治壱番１２０番１宇治共栄ビル３０１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001030874,株式会社オトクニコンサルティング,,京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町字大山崎小字鏡田１８番地の３８,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1130001031121,株式会社葵リスクコンサルティング,アオイリスクコンサルティング,京都府,京都市中京区,京都府京都市中京区新椹木町通竹屋町下る西革堂町１９６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-13
1130001031674,株式会社キャリア総研,キャリアソウケン,京都府,京都市中京区,京都府京都市中京区東洞院通御池下る笹屋町４３６番地,consulting,hr|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-11
1130001033076,株式会社マルミチ設計コンサルタント,マルミチセッケイコンサルタント,京都府,宇治市,京都府宇治市明星町４丁目７番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-07
1130001040262,株式会社ビビッドパートナーズ,ビビッドパートナーズ,京都府,京都市北区,京都府京都市北区衣笠大祓町１５番地１イーグルコート衣笠平野道６０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-09
1130001042424,株式会社ＪＴコンサルタント,,京都府,京都市右京区,京都府京都市右京区龍安寺衣笠下町３２番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001042523,株式会社ＧＣアプリシエイト＆コンサルティング,ジーシーアプリシエイトアンドコンサルティング,京都府,木津川市,京都府木津川市木津南垣外１番地１,consulting,it|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-20
1130001044255,株式会社ＩＰ総研,アイピーソウケン,京都府,京都市中京区,京都府京都市中京区河原町通二条下る２丁目下丸屋町４０３番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-17
1130001046631,株式会社ジェネラルコンサルティング,ジェネラルコンサルティング,京都府,京都市左京区,京都府京都市左京区一乗寺燈籠本町２０番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-24
1130001047539,株式会社レア・パートナーズ,レアパートナーズ,京都府,京都市下京区,京都府京都市下京区高辻通堀川西入富永町６７２番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-13
1130001048009,株式会社アイタイコンサルティング,アイタイコンサルティング,京都府,京都市下京区,京都府京都市下京区柿本町６１８,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001048512,ニューワンズ・コンサルティング株式会社,ニューワンズコンサルティング,京都府,京都市山科区,京都府京都市山科区椥辻草海道町３６番地１１パデシオン山科椥辻３０９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-08
1130001049948,株式会社真心コンサルティングホールディングス,マゴコロコンサルティングホールディングス,京都府,京都市南区,京都府京都市南区西九条大国町３５番地の８,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-17
1130001051664,株式会社キャリア総研テストセンター,キャリアソウケンテストセンター,京都府,京都市中京区,京都府京都市中京区東洞院通御池下る笹屋町４３６番地,consulting,hr|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-11
1130001054758,ａｉ会計株式会社,アイカイケイ,京都府,京都市南区,京都府京都市南区久世大藪町８番地４９,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-06
1130001055384,株式会社ドリームヒルコンサルティングジャパン,ドリームヒルコンサルティングジャパン,京都府,京田辺市,京都府京田辺市山手東２丁目２番地７,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-28
1130001055814,株式会社アシストパートナーズ,,京都府,京都市下京区,京都府京都市下京区西新屋敷中堂寺町５６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001056267,株式会社フォレストコンサルティング,フォレストコンサルティング,京都府,京都市中京区,京都府京都市中京区御池通高倉西入高宮町２００番地千代田生命京都御池ビル２階,consulting,pro-services,2015-10-29,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-19
1130001057042,株式会社ホウジョウパートナーズ,ホウジョウパートナーズ,京都府,京都市上京区,京都府京都市上京区衣棚通一条上る一松町６６２番地６,consulting,pro-services,2016-03-10,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-30
1130001058379,株式会社ＲＩＶＥＲＳＩＤＥコンサルティング,リバーサイドコンサルティング,京都府,京都市中京区,京都府京都市中京区木屋町通三条上る上大阪町５３２番地,consulting,pro-services,2016-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-13
1130001061424,株式会社ＹＳＫライフコンサルタンツ,ワイエスケーライフコンサルタンツ,京都府,京都市中京区,京都府京都市中京区槌屋町８４番地２－４０２,consulting,pro-services,2018-01-31,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001062034,株式会社関西ライフコンサルティング,カンサイライフコンサルティング,京都府,京都市中京区,京都府京都市中京区壬生東高田町４３番地６,consulting,pro-services,2018-05-08,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-11
1130001062967,株式会社中自総研,ナカジソウケン,京都府,長岡京市,京都府長岡京市勝竜寺店ノ前１番地,consulting,pro-services,2018-09-25,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-28
1130001064864,オオエ国際コンサルタントサービス株式会社,オオエコクサイコンサルタントサービス,京都府,京丹後市,京都府京丹後市峰山町内記２６４番地,consulting,pro-services,2019-07-19,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-04
1130001064872,株式会社ＴＯＭＯコンサルティング,トモコンサルティング,京都府,京都市左京区,京都府京都市左京区下鴨北園町６３番地１－１０４号,consulting,pro-services,2019-07-11,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-20
1130001065813,喫茶去コンサルティング株式会社,キッサココンサルティング,京都府,京都市中京区,京都府京都市中京区室町通御池上る御池之町３２３番地,consulting,restaurant|pro-services,2019-12-03,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-05
1130001068485,カムラコンサルティング株式会社,カムラコンサルティング,京都府,京都市西京区,京都府京都市西京区下津林佃５番地１６４,consulting,pro-services,2021-01-22,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-22
1130001074418,株式会社オーケーコンサル,オーケーコンサル,京都府,木津川市,京都府木津川市兜台４丁目１４番地８,consulting,pro-services,2023-05-31,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-31
1130001074715,株式会社ＫＡコンサルティング,ケーエーコンサルティング,京都府,京都市北区,京都府京都市北区大宮東小野堀町５１番地２,consulting,pro-services,2023-07-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-24
1130001075853,株式会社ＴＫＯコンサルティング,ティーケーオーコンサルティング,京都府,京都市下京区,京都府京都市下京区深草町５８６－１ＡＤＣＯＭビル４階,consulting,pro-services,2023-12-19,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-19
1130001076959,株式会社きょうどうコンサルティング,キョウドウコンサルティング,京都府,京都市中京区,京都府京都市中京区榎木町９１－２二条スカイビル７０１,consulting,pro-services,2024-05-02,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-09
1130001077387,株式会社日野ＩＴコンサルティング,ヒノアイティーコンサルティング,京都府,京都市西京区,京都府京都市西京区桂坤町５０番地３７,consulting,pro-services,2024-07-04,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-04
1130001078831,ＭｉｇａｋＵコンサルティングオフィス株式会社,ミガクコンサルティングオフィス,京都府,向日市,京都府向日市寺戸町北野１番地の１０,consulting,pro-services,2025-01-21,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-21
1130001080572,株式会社クリエイトコンサルティング,クリエイトコンサルティング,京都府,京都市中京区,京都府京都市中京区一之船入町５３７番２０号ＦＩＳ御池ビル９階,consulting,pro-services,2025-09-26,true,,,,,,,,国税庁 法人番号公表サイト,2025-09-26
1130001080639,航科国際投資コンサルティング株式会社,コウカコクサイトウシコンサルティング,京都府,京都市右京区,京都府京都市右京区西院東今田町３７－４ラトゥール西院５０１,consulting,pro-services,2025-10-01,true,,,,,,,,国税庁 法人番号公表サイト,2025-10-01
1130001081265,灯星コンサルティング株式会社,トウセイコンサルティング,京都府,京都市上京区,京都府京都市上京区烏丸通上御霊前下る相国寺門前町６７０番地８,consulting,pro-services,2025-12-25,true,,,,,,,,国税庁 法人番号公表サイト,2025-12-25
1130001081505,株式会社カラビナコンサルティング,カラビナコンサルティング,京都府,京都市中京区,京都府京都市中京区三条通油小路東入塩屋町５４番地母の木ビル２階,consulting,pro-services,2026-01-29,true,,,,,,,,国税庁 法人番号公表サイト,2026-01-29
1130002002765,有限会社野村会計,ノムラカイケイ,京都府,京都市上京区,京都府京都市上京区上御霊前通烏丸東入上御霊前町３９４番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-18
1130002006114,有限会社ポート総研,,京都府,京都市左京区,京都府京都市左京区岩倉幡枝町２７８２番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002008275,有限会社日本法律専門学院,,京都府,京都市下京区,京都府京都市下京区四条通室町東入函谷鉾町８９番地函谷鉾ビル３階,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002008341,有限会社メンタルコンサルテーション＆アセスメント,,京都府,京都市西京区,京都府京都市西京区大枝北沓掛町６丁目８番地の４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002012319,有限会社新栄開発コンサルタント,,京都府,京都市山科区,京都府京都市山科区西野大鳥井町５５番地の２１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002023596,ユタカコンサルタント有限会社,,京都府,京都市下京区,京都府京都市下京区西洞院高辻下ル（モア西洞院３０１）,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002024644,有限会社アバブ・コンサル,,京都府,長岡京市,京都府長岡京市こがねが丘８番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002028389,有限会社吉田会計計算センター,ヨシダカイケイケイサンセンター,京都府,南丹市,京都府南丹市園部町若松町５８番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-02
1130002029916,有限会社ウィルコンサルタント,ウィルコンサルタント,京都府,相楽郡精華町,京都府相楽郡精華町光台３丁目２番地５,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130002031203,有限会社京都中小企業総合コンサルタント,,京都府,八幡市,京都府八幡市八幡垣内山１１番地の１サンライトシティ石清水３０５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-21
1130003005957,合同会社みらい会計研究所,ミライカイケイケンキュウショ,京都府,木津川市,京都府木津川市相楽台９丁目８番１５,consulting,pro-services,2019-04-16,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-01
1130003008662,合同会社ＬＳＶＩコンサルティング,エルエスブイアイコンサルティング,京都府,京都市上京区,京都府京都市上京区椹木町通油小路東入東魚屋町３５５番地１,consulting,pro-services,2023-04-18,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-18
1130003010148,ＲａｂｂｉｔＲｏａｄコンサル合同会社,ラビットロードコンサル,京都府,宇治市,京都府宇治市六地蔵柿ノ木町１７番地１プレアール京都六地蔵２０６号室,consulting,pro-services,2025-01-21,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-21
