# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010001156079,みやこキャピタル株式会社,ミヤコキャピタル,京都府,京都市左京区,京都府京都市左京区吉田本町３６番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1011001122418,ＡＫキャピタル株式会社,エーケーキャピタル,京都府,京都市上京区,京都府京都市上京区今出川通寺町西入大原口町２０８番地,finance,,2018-05-30,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-23
1120001202499,フリースタイルディスプレイ株式会社,フリースタイルディスプレイ,京都府,綴喜郡井手町,京都府綴喜郡井手町大字井手小字梅ノ木原３５番地の１,finance,,2016-12-15,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-22
1130001004614,株式会社キャピタル東洋亭本店,キャピタルトウヨウテイホンテン,京都府,京都市北区,京都府京都市北区上賀茂岩ケ垣内町２８番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001007682,株式会社関西ベンチャー・キャピタル,,京都府,京都市左京区,京都府京都市左京区松ケ崎東町３０番地３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001010364,京銀リース株式会社,キョウギンリース,京都府,京都市下京区,京都府京都市下京区烏丸通七条下る東塩小路町７３１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-08
1130001011528,株式会社ひまわり保険企画,ヒマワリホケンキカク,京都府,京都市南区,京都府京都市南区東九条南烏丸町１番地３,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-04
1130001012063,株式会社キャピタルロニート,,京都府,京都市南区,京都府京都市南区八条通大宮西入八条町４４７番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001021618,地域信用保証株式会社,チイキシンヨウホショウ,京都府,京都市下京区,京都府京都市下京区四条通柳馬場東入立売東町７番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-04
1130001021650,株式会社中央損害保険センター,チュウオウソンガイホケンセンター,京都府,京都市西京区,京都府京都市西京区上桂前川町１１５番地ノーブルハウス１０１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-02
