# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010001207195,ＤＰＩＰフード＆ホスピタリティ株式会社,ディーピーアイピーフードアンドホスピタリティ,京都府,亀岡市,京都府亀岡市本梅町平松泥ケ渕１番地１,food,,2020-01-31,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-10
1010401091818,株式会社ＪＰダイニング,ジェイピーダイニング,京都府,京都市右京区,京都府京都市右京区山ノ内苗町２７番地２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-25
1130001025552,フードバザール株式会社,フードバザール,京都府,京都市山科区,京都府京都市山科区大宅古海道町７１番地２,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-25
1130001026154,株式会社真心レストランズ,マゴコロレストランズ,京都府,京都市南区,京都府京都市南区西九条大国町３５番地８,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-12
1130001031162,株式会社関西フードサービス,,京都府,京都市右京区,京都府京都市右京区西京極北大入町１２番地グランデ葛野６０２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001032111,レイモモフード株式会社,,京都府,京都市中京区,京都府京都市中京区壬生西土居ノ内町２０番地６嵯峨野西院ビル,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001046953,株式会社フードクリエイター,フードクリエイター,京都府,京都市南区,京都府京都市南区東九条西山町６番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-28
1130001056928,株式会社八進フードセンター,ハッシンフードセンター,京都府,南丹市,京都府南丹市八木町大藪芋根９番地１,food,,2016-02-29,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001057785,ジャパンフードエンターテイメント株式会社,ジャパンフードエンターテイメント,京都府,京都市中京区,京都府京都市中京区西ノ京東中合町４６番地フィルパーク西大路御池駅前２階,food,,2016-06-23,false,53,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001058676,株式会社ジーフード,,京都府,京都市中京区,京都府京都市中京区錦大宮町１３０メゾンドール四条大宮１Ｆ,food,,2016-11-16,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001064781,ベストフード株式会社,ベストフード,京都府,京都市南区,京都府京都市南区唐橋赤金町６２番地３１,food,,2019-07-08,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-11
1130001070680,株式会社こころキッチンＪＰ,ココロキッチンジェーピー,京都府,京都市北区,京都府京都市北区上賀茂岩ケ垣内町３１,food,restaurant,2021-12-10,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001076851,ＣＥＰフードサービス株式会社,シーイーピーフードサービス,京都府,京都市下京区,京都府京都市下京区中堂寺坊城町２８－７,food,restaurant,2024-04-17,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-17
1130001080944,ジャパン・フード・パートナーズ株式会社,ジャパンフードパートナーズ,京都府,京都市下京区,京都府京都市下京区貞安前之町６０９番地飯田屋ビル４Ｆ,food,pro-services,2025-11-11,true,,,,,,,,国税庁 法人番号公表サイト,2025-11-11
1130002002204,有限会社カフェシノワ・菜菜,,京都府,京都市上京区,京都府京都市上京区中立売通堀川西入役人町２６０番地パレロイヤル西陣佐わらび７０３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002010776,有限会社金四郎食堂,,京都府,京都市南区,京都府京都市南区吉祥院前田町１９番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002021947,有限会社木庭フードサービス,,京都府,京都市中京区,京都府京都市中京区東洞院通御池下る笹屋町４４５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002023010,有限会社和風レストランけいほく,,京都府,京都市右京区,京都府京都市右京区京北下中町町田１５番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002029115,有限会社フードアミティー,,京都府,亀岡市,京都府亀岡市古世町大垣内５番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002033141,有限会社キッチンとまと,,京都府,福知山市,京都府福知山市篠尾新町２丁目１番地の１リバーサイドヒル３０５号室,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130002034569,有限会社フクハラフードサービス,,京都府,舞鶴市,京都府舞鶴市字円満寺１４７番地の１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130003000644,合資会社桝屋食堂,,京都府,京都市左京区,京都府京都市左京区夷川通川端東入大文字町１７４番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130003008150,Ｒ３フードコンサルティング合同会社,アールスリーフードコンサルティング,京都府,京都市北区,京都府京都市北区紫竹上長目町１番地１メゾン紫竹１０２,food,pro-services,2022-08-29,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-29
1130003009818,合同会社食堂おがわ,ショクドウオガワ,京都府,京都市下京区,京都府京都市下京区船頭町２０４番地,food,restaurant,2024-08-30,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-30
1130003010338,合同会社ともカフェ,トモカフェ,京都府,京都市右京区,京都府京都市右京区西京極南大入町５２番１号カーサパレルモ１０３,food,restaurant,2025-04-03,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-25
1130003011311,合同会社レストランマネジメント,レストランマネジメント,京都府,京田辺市,京都府京田辺市三山木川端１－１,food,restaurant,2026-04-27,true,,,,,,,,国税庁 法人番号公表サイト,2026-04-27
1130005012274,一般社団法人フードマネジメントスクール,フードマネジメントスクール,京都府,京都市南区,京都府京都市南区東九条明田町１３番地２新烏丸日光ハイツ１１１,food,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-04
2011101087824,今村食堂株式会社,イマムラショクドウ,京都府,京都市左京区,京都府京都市左京区岩倉北平岡町１０番地,food,restaurant,2019-05-27,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-18
2130001007814,株式会社アポロフードプロダクツ,,京都府,京都市西京区,京都府京都市西京区松室吾田神町２７番地ケイーシティ桂川１番館２１２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
2130001011106,株式会社タカラファーストフード,,京都府,京都市南区,京都府京都市南区東九条南烏丸町３４番地の２５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
2130001025238,株式会社リーボンフードサービス,リーボンフードサービス,京都府,京都市左京区,京都府京都市左京区北白川西瀬ノ内町７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-22
2130001044048,株式会社発酵食堂カモシカ,,京都府,京都市右京区,京都府京都市右京区嵯峨天龍寺若宮町１７－１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-11-24
2130001047793,株式会社ガッツ・ダイニング,ガッツダイニング,京都府,京都市右京区,京都府京都市右京区花園伊町４８番地ウエストコート花園５０１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-27
2130001058072,マイティフード株式会社,,京都府,京都市西京区,京都府京都市西京区大枝北沓掛町３丁目９番地６,food,,2016-08-10,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-16
2130001058386,株式会社京都アニマルフード,,京都府,船井郡京丹波町,京都府船井郡京丹波町下山丸山１４６番地１４,food,,2016-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-11
2130001061167,株式会社ダイニングエンターテイメント,,京都府,京都市東山区,京都府京都市東山区大和大路三条通下ル弁財天町８番地１号祇園一番館ビル３階２６号,food,restaurant,2017-12-19,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-21
2130001061844,城南フード株式会社,ジョウナンフード,京都府,南丹市,京都府南丹市園部町城南町上サメ川１２番地１あんしんサポートハウス光華苑内,food,,2018-04-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-27
2130001062801,株式会社ジェイ・エス・ビー・フードサービス,ジェイエスビーフードサービス,京都府,京都市下京区,京都府京都市下京区因幡堂町６５５番地,food,restaurant,2018-08-27,false,290,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
