# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010901034482,株式会社アビリティプロジェクト,アビリティプロジェクト,京都府,京都市上京区,京都府京都市上京区室町新町の間武者小路下る一松町６６２番地６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-23
1030001069163,オムロンプレシジョンテクノロジー株式会社,オムロンプレシジョンテクノロジー,京都府,京都市下京区,京都府京都市下京区塩小路通堀川東入南不動堂町８０１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-02
1120001177428,株式会社ＡＦＩテクノロジー,エーエフアイテクノロジー,京都府,京都市左京区,京都府京都市左京区聖護院川原町５３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001233593,株式会社ロジックツリー,ロジックツリー,京都府,京都市中京区,京都府京都市中京区錦小路通室町西入天神山町２８０－４Ｆ,logistics,logistics,2020-12-03,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-02
1120005011756,新三田運送株式会社,シンサンダウンソウ,京都府,京都市伏見区,京都府京都市伏見区羽束師菱川町２８７番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-04
1120901037615,株式会社ロジック,ロジック,京都府,京都市南区,京都府京都市南区東九条中御霊町５３番地４Ｊｏｈｎｓｏｎビル３階,logistics,logistics,2016-10-31,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-18
1130001002106,山下運送株式会社,ヤマシタウンソウ,京都府,京都市右京区,京都府京都市右京区嵯峨中又町１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-10
1130001005406,株式会社プロジェクト・ワン,プロジェクトワン,京都府,京都市下京区,京都府京都市下京区御影堂町１６－２１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-26
1130001005769,株式会社アース・プロジェクト,アースプロジェクト,京都府,京都市左京区,京都府京都市左京区浄土寺下南田町３７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-28
1130001008747,三宅運輸株式会社,ミヤケウンユ,京都府,京都市西京区,京都府京都市西京区大枝東長町１番地の４５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-17
1130001008904,株式会社舞妓ロジスティクス,,京都府,京都市伏見区,京都府京都市伏見区竹田田中殿町７０番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001009646,株式会社プロジェ,,京都府,京都市中京区,京都府京都市中京区河原町通竹屋町東入末丸町２７０－１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001010455,京新運輸株式会社,ケイシンウンユ,京都府,京都市南区,京都府京都市南区上鳥羽北岩ノ本町４１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-01
1130001010728,三京陸運株式会社,サンキョウリクウン,京都府,京都市南区,京都府京都市南区上鳥羽塔ノ森下河原１６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-23
1130001010868,祥豊運輸株式会社,ショウホウウンユ,京都府,京都市南区,京都府京都市南区吉祥院中河原里西町４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-08
1130001010975,全京運輸株式会社,ゼンキョウウンユ,京都府,八幡市,京都府八幡市川口別所５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-17
1130001011123,立花運送株式会社,タチバナウンソウ,京都府,京都市南区,京都府京都市南区吉祥院蒔絵町２番地１ダイアパレス京都蒔絵町７０７号室,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-13
1130001011866,株式会社桃山運輸,モモヤマウンユ,京都府,京都市南区,京都府京都市南区上鳥羽南鉾立町３４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-18
1130001011924,株式会社山田運輸,ヤマダウンユ,京都府,京都市南区,京都府京都市南区上鳥羽勧進橋町２６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-01
