# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4130001041547,株式会社ミストラルサービス,ミストラルサービス,京都府,綾部市,京都府綾部市栗町土居ノ内３１,service,care,2015-10-05,false,332,,,https://step-kaigo.net,0773-40-2310,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9130001071218,株式会社浅野企画,アサノキカク,京都府,京都市北区,京都府京都市北区紫野南舟岡町５番地６１,service,care|advertising,2022-02-28,false,,,,,075-334-6605,,,国税庁 法人番号公表サイト,2022-02-28
8130002002833,ヒューマンライフサービス有限会社,ヒューマンライフサービス,京都府,京都市上京区,京都府京都市上京区笹屋町通大宮西入桝屋町５８３番地,service,care,2015-10-05,false,23,,,http://www.human-life-service-.net/,075－451－0280,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9130001029728,株式会社和道文化サービス,ワドウブンカサービス,京都府,京都市中京区,京都府京都市中京区烏丸通四条上る笋町６８８番地第１５長谷ビル９階,service,care,2015-10-05,false,,,,,075-634-9090,,,国税庁 法人番号公表サイト,2021-08-02
8130005005825,特定非営利活動法人ほっと・サービス,ホットサービス,京都府,京都市右京区,京都府京都市右京区太秦面影町１４番地２４,service,care,2015-10-05,false,19,,,,075-864-5066,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4130001028775,株式会社ライフサポートサービスつぐみ,ライフサポートサービスツグミ,京都府,京都市右京区,京都府京都市右京区太秦森ケ西町９－１,service,care,2015-10-05,false,50,,,,075-200-2338,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4130001071395,株式会社ＳＵＮ　ＦＬＯＷＥＲサービス,サンフラワーサービス,京都府,京都市伏見区,京都府京都市伏見区村上町３９４番地グラン・コート伏見桃山大手筋Ⅱ２０９号,service,care,2022-03-24,false,,,,,075-574-7416,,,国税庁 法人番号公表サイト,2022-03-24
3130001044864,株式会社デイサービスセンター元気館,デイサービスセンターゲンキカン,京都府,京都市西京区,京都府京都市西京区御陵溝浦町２１－１ムーンヒルズ蘭１階,service,care,2015-10-05,false,25,,,http://genkikan.webcrow.jp/,0753938015,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5130001046999,株式会社栄光サービスセンター,エイコウサービスセンター,京都府,福知山市,京都府福知山市字内記４８番地の７,service,care,2015-10-05,false,34,,,https://eikou-service.com/,0773-22-1272,eikou1272g@grace.ocn.ne.jp,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
4130001060183,株式会社つぼみ企画,ツボミキカク,京都府,亀岡市,京都府亀岡市千代川町小川１丁目７番８号,service,care|advertising,2017-07-21,false,,,,,0771-20-8754,,,国税庁 法人番号公表サイト,2018-04-10
0002673000127,三菱電機ライフサービス株式会社,,京都府,長岡京市,京都府奥海印寺多貝垣外17-1,service,care,,false,,,,http://www.mdlife.co.jp,０７５－９５８－６５８１,,,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-04
5130005007683,特定非営利活動法人クローバー・サービス,クローバーサービス,京都府,船井郡京丹波町,京都府船井郡京丹波町橋爪桧山５３番地,service,care,2015-10-05,false,,,,http://www.cloverservice.or.jp,0771-88-0138,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2130002016649,株式会社銭形企画,ゼニガタキカク,京都府,京都市下京区,京都府京都市下京区黒門通五条下る柿本町５９４番地３３,service,care|advertising,2015-10-05,false,30,,,https://zenigata-group.jp/,075-353-4899,info-mail@zenigata-kyoto.com,https://zenigata-group.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3130001029304,株式会社ＹＫＴ企画,,京都府,京都市右京区,京都府京都市右京区西院四条畑町２番地,service,care|advertising,2015-10-05,false,,,,http://www.foyer4.jp,０７５－３１２－７２２０,,,国税庁 法人番号公表サイト,2015-11-13
5130002033154,有限会社清水の園サービス,シミズノソノサービス,京都府,福知山市,京都府福知山市東羽合１２７番地２,service,care,2015-10-05,false,,,,http://shimizunosonoday-service.jimdo.com/,0773-25-4460,,,国税庁 法人番号公表サイト,2020-08-31
8130001075120,株式会社デイサービスセンターあさひ,デイサービスセンターアサヒ,京都府,亀岡市,京都府亀岡市篠町柏原久保垣内１番地３オプトカワモトビル１Ｆ,service,care,2023-09-08,false,,,,http://deiasahi01.hp.peraichi.com,0771-22-5004,,,国税庁 法人番号公表サイト,2024-01-24
2130002008877,有限会社スガワメディカルサービス,スガワメディカルサービス,京都府,京都市右京区,京都府京都市右京区梅津南上田町５番地３,service,care,2015-10-05,false,4,,,http://www.sugawa-kyoto.net/,075-881-3954,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
0002693000081,三菱電機ライフサービス株式会社京都支店,,京都府,長岡京市,京都府今里畔町21-1,service,care,,false,,,,http://www.mdlife.co.jp,075-954-3664,,,介護サービス情報公表システム（厚生労働省）|（自社クロール検証）,2026-07-05
9130001011041,株式会社石原接骨院デイサービスセンター,イシハラセッコツインデイサービスセンター,京都府,京都市南区,京都府京都市南区西九条東島町１６番地１,service,care,2015-10-05,false,,,,,075-681-2294,,,国税庁 法人番号公表サイト,2018-07-25
6130003004863,合同会社せいじつ企画,セイジツキカク,京都府,京都市西京区,京都府京都市西京区大枝塚原町１番地６１,service,care|advertising,2016-12-13,false,2,,,https://www.seijitsukikaku.com,075-204-1789,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6130002031974,有限会社浪花企画,,京都府,京田辺市,京都府京田辺市草内法福寺１２番地の６,service,care|advertising,2015-10-05,false,,,,,0774-27-7188,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2130001047348,けいはんなソーシャルサービス株式会社,ケイハンナソーシャルサービス,京都府,京都市東山区,京都府京都市東山区東大路松原上る４丁目毘沙門町３０番地２イーストビル３階３０３,service,care,2015-10-05,false,,,,,0742-94-4057,,,国税庁 法人番号公表サイト,2021-09-30
2130001070754,株式会社デイサービスセンター千寿館,デイサービスセンターセンジュカン,京都府,京都市北区,京都府京都市北区平野宮本町４番地２ｇｏｏｄ８ｍｉｒａｉ１Ｆ,service,care,2021-12-21,false,,,,http://hp.kaipoke.biz/6w8/index.html,(075)463-2620,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9130003003862,合同会社りゅうせんコミュニティサービス,リュウセンコミュニティサービス,京都府,京都市右京区,京都府京都市右京区谷口垣ノ内町９－６,service,care,2015-10-05,false,,,,,０７５－４６４－９２８９,,,国税庁 法人番号公表サイト,2019-04-15
6130003003873,デイサービスえがお合同会社,デイサービスエガオ,京都府,京都市山科区,京都府京都市山科区西野大手先町１１番地４,service,care,2015-10-05,false,,,,https://egao0701.com,075-591-2555,,,国税庁 法人番号公表サイト,2020-07-13
1300001031791,デイサービス　こもれび,,京都府,長岡京市,京都府友岡4丁目3番18号ニューコーポヤスダ　103,service,care,,false,,,,,075-958-6848,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
1010902015176,有限会社メディアコム,,京都府,京都市伏見区,京都府京都市伏見区桃山町正宗３９番地１７,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1011305001565,特定非営利活動法人日本学校教育高度化研究所,ニホンガッコウキョウイクコウドカケンキュウショ,京都府,京都市左京区,京都府京都市左京区下鴨森ケ前町６４番地２０,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-19
1020003010704,合同会社貴政企画,キセイキカク,京都府,京都市南区,京都府京都市南区東九条上御霊町２－４０,service,advertising,2015-12-10,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-26
1120001171819,株式会社フリーライフサービス,,京都府,京都市山科区,京都府京都市山科区勧修寺御所内町２６番地カーサスカイ１－２０１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1120002070004,有限会社ナニワアートサービス,ナニワアートサービス,京都府,綴喜郡宇治田原町,京都府綴喜郡宇治田原町大字湯屋谷小字西塔ケ谷４－１６宇治田原工業団地内,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-19
1120101067941,株式会社京都物流サービス,キョウトブツリュウサービス,京都府,京都市左京区,京都府京都市左京区修学院千万田町１２番地１０,service,logistics,2023-07-26,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-09
1120903002781,合同会社東アジアメディカルサービス,ヒガシアジアメディカルサービス,京都府,京都市中京区,京都府京都市中京区西ノ京南聖町１９ａｔｌａｓ５１８,service,,2019-03-20,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-22
1130001001231,株式会社タウンサービス,,京都府,京都市右京区,京都府京都市右京区梅津東構口町２８番地の１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001001330,株式会社中央特殊サービス,チュウオウトクシュサービス,京都府,京都市右京区,京都府京都市右京区西院清水町６５番地の４,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-02
1130001001611,野間ガスサービス株式会社,ノマガスサービス,京都府,京都市右京区,京都府京都市右京区嵯峨新宮町３９番地の９,service,,2015-10-05,false,112,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001002345,株式会社京都中央カラーサービス,,京都府,京都市右京区,京都府京都市右京区西京極葛野町４４番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001003418,株式会社トーヨー企画,トーヨーキカク,京都府,京都市上京区,京都府京都市上京区油小路通中立売上る油橋詰町９３番地の７,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-29
1130001003475,中幸織物企画株式会社,ナカコウオリモノキカク,京都府,京都市上京区,京都府京都市上京区油小路通上立売下る水落町８８番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-18
1130001004168,メディアパークホールディングス株式会社,メディアパークホールディングス,京都府,京都市南区,京都府京都市南区久世殿城町３３０－１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-12
1130001004647,株式会社近畿ビジネスサービス,キンキビジネスサービス,京都府,京都市北区,京都府京都市北区大宮開町２８番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-04
1130001005752,株式会社京都メディアビジネス研究所,キョウトメディアビジネスケンキュウジョ,京都府,京都市北区,京都府京都市北区鷹峯黒門町３６番地の３６,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-09
1130001007179,株式会社富士企画,フジキカク,京都府,京都市左京区,京都府京都市左京区一乗寺清水町６番地５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-12
1130001007674,関西建物管理サービス株式会社,カンサイタテモノカンリサービス,京都府,京都市左京区,京都府京都市左京区南禅寺下河原町３３番地の１,service,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-19
1130001010174,株式会社オートサービス筒井,オートサービスツツイ,京都府,京都市南区,京都府京都市南区上鳥羽馬廻町９０番地,service,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-29
1130001010323,株式会社吉祥院サービス・オート,キッショウインサービスオート,京都府,京都市南区,京都府京都市南区吉祥院大河原町２３番地,service,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-31
1130001010505,京滋日冷サービス株式会社,ケイジニチレイサービス,京都府,京都市南区,京都府京都市南区吉祥院砂ノ町２０番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-09
1130001011206,株式会社テクノ物流サービス,テクノブツリュウサービス,京都府,京都市南区,京都府京都市南区上鳥羽金仏町５９番地,service,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-28
1130001011255,トーア・オートサービス株式会社,トーアオートサービス,京都府,京都市南区,京都府京都市南区久世築山町２９９の１,service,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-14
1130001012229,株式会社日本サルベージサービス,ニホンサルベージサービス,京都府,京都市南区,京都府京都市南区吉祥院観音堂南町１番１,service,,2015-10-05,false,128,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001012914,大伸環境サービス株式会社,ダイシンカンキョウサービス,京都府,京都市山科区,京都府京都市山科区川田南畑町３番地１２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-19
1130001013557,株式会社リバーサービス,リバーサービス,京都府,京都市山科区,京都府京都市山科区東野中井ノ上町１８番地４５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-04
1130001014241,株式会社京製サービス,キョウセイサービス,京都府,京都市伏見区,京都府京都市伏見区淀美豆町３７７番地の１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-21
1130001014489,齊藤企画株式会社,サイトウキカク,京都府,京都市伏見区,京都府京都市伏見区横大路三栖山城屋敷町１０５番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-18
1130001014497,株式会社サカエ・メディカルサービス,サカエメディカルサービス,京都府,京都市伏見区,京都府京都市伏見区醍醐高畑町３０番地の１５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-03
1130001015314,西山環境サービス株式会社,ニシヤマカンキョウサービス,京都府,京都市伏見区,京都府京都市伏見区北寝小屋町５１番地,service,,1988-10-04,false,,,代表取締役　西山　英俊,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001015875,株式会社桃山企画,モモヤマキカク,京都府,京都市伏見区,京都府京都市伏見区中島樋ノ上町１番地,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-19
1130001016023,吉田ガスサービス株式会社,ヨシダガスサービス,京都府,京都市伏見区,京都府京都市伏見区城通町６２４番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-13
1130001016584,株式会社インフォメディア,,京都府,京都市下京区,京都府京都市下京区中堂寺南町１７番地京都高度技術研究所ビル,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1130001016683,株式会社中小企業Ｍ＆Ａサービス,チュウショウキギョウエムアンドエーサービス,京都府,京都市下京区,京都府京都市下京区河原町五条上る御影堂前町８４３番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-05
1130001017104,株式会社キヨスクオペレーションサービス京滋,,京都府,京都市下京区,京都府京都市下京区東塩小路向畑町１３－５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-26
1130001017616,株式会社生涯教育能力開発センター,,京都府,京都市下京区,京都府京都市下京区東堂院通七条下ル東塩小路町７１７番地１京都駅前ビル４Ｆ,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-28
1130001018085,株式会社塚腰サービス,,京都府,京都市下京区,京都府京都市下京区木津屋橋通大宮東入上之町４４４番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-16
1130001019059,株式会社メディアウォーズ,メディアウォーズ,京都府,京都市下京区,京都府京都市下京区中堂寺粟田町９３番地京都リサーチパーク６号館３Ｆ,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-11
1130001019323,株式会社ワコールキャリアサービス,ワコールキャリアサービス,京都府,京都市南区,京都府京都市南区吉祥院中島町２９番地,service,hr,1998-12-02,false,385,,代表取締役　小林　喜秀,http://www.e-wacs.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001020446,株式会社教育文化社,,京都府,京都市中京区,京都府京都市中京区岩上通蛸薬師下る宮本町７９９番地３,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001021444,株式会社タイホーハウジングサービス,タイホーハウジングサービス,京都府,京都市中京区,京都府京都市中京区衣棚通二条下る上妙覚寺町２３０番地２秋山法衣ビル２Ｆ,service,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-24
1130001023242,関西アイエヌエスサービス株式会社,カンサイアイエヌエスサービス,京都府,京都市中京区,京都府京都市中京区烏丸通六角下る七観音町６２６番地烏丸小泉ビル７階,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-29
1130001025296,コンフォート企画株式会社,コンフォートキカク,京都府,京都市中京区,京都府京都市中京区三条通高倉東入る桝屋町５７番地京都三条ビルＢＦ－Ｂ号室,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-19
1130001026204,ＭＭＣテクニカルサービス株式会社,エムエムシーテクニカルサービス,京都府,京都市右京区,京都府京都市右京区太秦巽町１番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-16
1130001026336,株式会社テクニカルポンプサービス,テクニカルポンプサービス,京都府,京都市西京区,京都府京都市西京区牛ケ瀬川原口町４３番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-25
1130001027342,カメラメンテナンスサービス株式会社,,京都府,京都市南区,京都府京都市南区吉祥院三ノ宮西町１３番地２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-10
1130001027623,株式会社ユニコイベントサービス,ユニコイベントサービス,京都府,京都市伏見区,京都府京都市伏見区横大路六反畑７番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
1130001027648,株式会社ウイニングトラベルサービス,ウイニングトラベルサービス,京都府,京都市西京区,京都府京都市西京区桂坤町４９－１８,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-24
1130001027904,株式会社ドゥエル・サービス・河合,ドゥエルサービスカワイ,京都府,京都市左京区,京都府京都市左京区下鴨東半木町６６番地ドゥエル葵３０１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-28
1130001029124,株式会社和興サービス,,京都府,京都市中京区,京都府京都市中京区西ノ京南両町３１番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001029289,株式会社京都ベリアールサービス,,京都府,京都市伏見区,京都府京都市伏見区深草西浦町２丁目１２３番地の５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001029603,株式会社近畿綜合サービス,,京都府,京都市南区,京都府京都市南区上鳥羽苗代町４６番地,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001030602,株式会社エヌ・ケー・ゼット・サービス,エヌケーゼットサービス,京都府,長岡京市,京都府長岡京市友岡４丁目１９番１８号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-22
1130001032012,ライフ物流サービス株式会社,ライフブツリュウサービス,京都府,向日市,京都府向日市寺戸町南垣内１０番地の１サンマンションアトレ東向日２１１号,service,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-06
1130001032086,株式会社サワムラデンキサービス,サワムラデンキサービス,京都府,京都市山科区,京都府京都市山科区大塚高岩１２番地１３４,service,,2015-10-05,false,5,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1130001032516,株式会社京都ハウジングサービス,キョウトハウジングサービス,京都府,宇治市,京都府宇治市槇島町十一１３１番地の１,service,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-02
1130001032821,大成企画株式会社,タイセイキカク,京都府,宇治市,京都府宇治市木幡御蔵山３９番地の１０６６,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-14
1130001034090,株式会社東山五条サービスステーション,,京都府,宇治市,京都府宇治市明星町３丁目６番地の２４３,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
1130001034628,株式会社テンシネコ映像企画,,京都府,京都市南区,京都府京都市南区吉祥院清水町７番地コスミーハイツ３０１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-13
