# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6300005003029,佐賀県農業協同組合,サガケン,佐賀県,佐賀市,佐賀県佐賀市栄町３番３２号,agriculture,care|agriculture,2015-10-05,false,2181,,,,0952-71-6107,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290001081828,ブレス水産株式会社,ブレススイサン,佐賀県,三養基郡みやき町,佐賀県三養基郡みやき町大字中津隈６５番地１１,agriculture,agriculture,2018-06-14,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001000414,山栄林業株式会社,サンエイリンギョウ,佐賀県,佐賀市,佐賀県佐賀市北川副町大字光法１６７５番地８,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-13
1300001006080,農業法人安中農園株式会社,ノウギョウホウジンアンナカノウエン,佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町外尾山丙１５７７番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-16
1300001007343,松本水産株式会社,,佐賀県,唐津市,佐賀県唐津市海岸通７１８２番地７９,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-22
1300001007772,株式会社フカヤ水産,フカヤスイサン,佐賀県,唐津市,佐賀県唐津市和多田先石１２番２３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-19
1300001008250,農業生産法人株式会社ＫＳＭ,ノウギョウセイサンホウジンケイエスエム,佐賀県,杵島郡江北町,佐賀県杵島郡江北町大字佐留志７５４番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001008655,株式会社松田ファーム,マツダファーム,佐賀県,唐津市,佐賀県唐津市厳木町星領４５１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-15
1300001010074,株式会社中山牧場,ナカヤマボクジョウ,佐賀県,東松浦郡玄海町,佐賀県東松浦郡玄海町大字普恩寺９１２番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-01
1300001011106,吉野ヶ里ファーム株式会社,ヨシノガリファーム,佐賀県,神埼郡吉野ヶ里町,佐賀県神埼郡吉野ヶ里町石動５４１番地２,agriculture,agriculture,2017-12-28,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-31
1300001011865,株式会社カナメ水産,カナメスイサン,佐賀県,佐賀市,佐賀県佐賀市大和町大字尼寺４８５番地１Ｂ２０５,agriculture,agriculture,2019-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-15
1300001012871,株式会社Ｆ・Ｓファーム,エフエスファーム,佐賀県,三養基郡みやき町,佐賀県三養基郡みやき町大字原古賀７４８１番地１,agriculture,agriculture,2022-04-07,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001013110,あおき農園株式会社,アオキノウエン,佐賀県,唐津市,佐賀県唐津市半田２４５３番地,agriculture,agriculture,2022-10-28,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-28
1300001013184,株式会社松ちゃんファーム,マツチャンファーム,佐賀県,伊万里市,佐賀県伊万里市南波多町古里３３８８番地,agriculture,agriculture,2023-01-11,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001013812,株式会社玄海ファーム,,佐賀県,東松浦郡玄海町,佐賀県東松浦郡玄海町大字平尾６９１番地,agriculture,agriculture,2024-06-26,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-30
1300001014091,株式会社ファームカレン,ファームカレン,佐賀県,鹿島市,佐賀県鹿島市大字高津原３２８７番地,agriculture,agriculture,2025-03-11,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-11
1300001014604,株式会社海希丸水産,カイキマルスイサン,佐賀県,佐賀市,佐賀県佐賀市川副町大字犬井道１６６８番地３,agriculture,agriculture,2026-05-11,true,,,,,,,,国税庁 法人番号公表サイト,2026-05-11
