# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1300001008093,株式会社吉原保険事務所,ヨシハラホケンジムショ,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字八戸溝１２３２番地１５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-14
1300001008333,株式会社みのりレンタカーリース,ミノリレンタカーリース,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字鍋島１７８０番地４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-24
1300001009091,株式会社保険ライフ,ホケンライフ,佐賀県,佐賀市,佐賀県佐賀市神野東３丁目１４番３１号,finance,,2015-10-05,false,13,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001010768,株式会社トータル保険企画,トータルホケンキカク,佐賀県,唐津市,佐賀県唐津市和多田南先石４０８３番地３,finance,advertising,2017-04-06,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-07
1300001012467,株式会社ＨＡＲＡ保険企画,ハラホケンキカク,佐賀県,神埼市,佐賀県神埼市神埼町本堀３１８７番地３,finance,advertising,2021-04-23,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-06
1300002008720,有限会社伊万里保険センター,,佐賀県,伊万里市,佐賀県伊万里市黒川町清水１７０番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002010429,有限会社セントラル保険企画,,佐賀県,唐津市,佐賀県唐津市唐川１６６番地イ,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-19
1300005001020,佐賀信用金庫,サガ,佐賀県,佐賀市,佐賀県佐賀市中央本町８番１０号,finance,,2015-10-05,false,145,,,https://www.sagashin.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1340002025761,有限会社ソノリク保険サービス,ソノリクホケンサービス,佐賀県,鳥栖市,佐賀県鳥栖市姫方町１６６０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-17
2300001000462,佐銀信用保証株式会社,サギンシンヨウホショウ,佐賀県,佐賀市,佐賀県佐賀市大財北町３番３５号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-27
