# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1300001001073,株式会社ヨシダフードサービス,ヨシダフードサービス,佐賀県,佐賀市,佐賀県佐賀市多布施３丁目２番２５号,food,restaurant,2015-10-05,false,35,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001010909,株式会社ダイニング佐賀,ダイニングサガ,佐賀県,佐賀市,佐賀県佐賀市川副町大字鹿江１０７０番地１１,food,restaurant,2017-07-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-10
1300002001691,有限会社和風レストラン千鳥,,佐賀県,佐賀市,佐賀県佐賀市本庄町大字袋２４１番地３７,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002008506,有限会社中樽フードセンター,ナカダルフードセンター,佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町中樽２丁目４番１１号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-05
1300002009529,有限会社カフェ・ド・ブルー,,佐賀県,鳥栖市,佐賀県鳥栖市宿町７１６番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300005000170,佐賀県飲食業生活衛生同業組合,サガケンインショクギョウ,佐賀県,佐賀市,佐賀県佐賀市成章町２番１６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2300001007920,株式会社食堂車配送センター,ショクドウシャハイソウセンター,佐賀県,唐津市,佐賀県唐津市千々賀６４９番地２,food,restaurant|logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-11
2300005005870,特定非営利活動法人ママカフェＴＡＫＥＯ,,佐賀県,武雄市,佐賀県武雄市武雄町大字昭和２４番地２９,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
3290001033018,千秀アグリフードサービス株式会社,センシュウアグリフードサービス,佐賀県,唐津市,佐賀県唐津市久里２９８６番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-17
3300001009239,株式会社みのはらフードサービス,,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字八戸３０５５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-12
3300001014362,株式会社はかせフードサービス,ハカセフードサービス,佐賀県,伊万里市,佐賀県伊万里市松島町９５番地１,food,restaurant,2025-10-06,true,,,,,,,,国税庁 法人番号公表サイト,2025-10-06
3300002006581,有限会社コスモスフード,,佐賀県,嬉野市,佐賀県嬉野市嬉野町大字下宿甲４００２番地４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
4300001004305,Ｍｉカフェプランニング株式会社,エムアイカフェプランニング,佐賀県,佐賀市,佐賀県佐賀市中央本町１番３１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-09
4300001007209,昭和フード株式会社,ショウワフード,佐賀県,唐津市,佐賀県唐津市千代田町２５６５番地の５,food,,2015-10-05,false,2203,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4300002004535,有限会社エス・ワイ・フードプラン,,佐賀県,小城市,佐賀県小城市三日月町長神田７８７番地７,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
4300002011226,有限会社ワイズキッチン,,佐賀県,唐津市,佐賀県唐津市和多田西山３番３６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
4300003001969,合同会社ＯＫＧフードサービス,オーケージーフードサービス,佐賀県,小城市,佐賀県小城市小城町２７７番地２,food,restaurant,2023-05-23,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-23
4300003002224,合同会社ＫＮＤフード,ケーエヌディーフード,佐賀県,佐賀市,佐賀県佐賀市高木瀬町長瀬１００９－１,food,,2025-01-31,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-31
5290801018777,株式会社つばめフードサービス,ツバメフードサービス,佐賀県,佐賀市,佐賀県佐賀市新栄東３丁目４番２０－６０１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-06
5300001004527,日進フード・エンジニアリング株式会社,ニッシンフードエンジニアリング,佐賀県,佐賀市,佐賀県佐賀市諸富町大字為重２０７番地５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-02
5300001010541,夢咲フード・リージェンシー株式会社,ユメサキフードリージェンシー,佐賀県,佐賀市,佐賀県佐賀市兵庫北４丁目１４番１８号,food,,2016-11-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-28
5300002010251,有限会社カールフード,カールフード,佐賀県,唐津市,佐賀県唐津市原１６７３番地４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-11-21
6300001010202,まるしんフードサービス株式会社,マルシンフードサービス,佐賀県,佐賀市,佐賀県佐賀市嘉瀬町大字中原１９６４番地１,food,restaurant,2016-01-07,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-17
6300001010508,株式会社茜フードサービス,アカネフードサービス,佐賀県,多久市,佐賀県多久市北多久町大字小侍６６６番地２７,food,restaurant,2016-10-07,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6300001011753,株式会社Ｔ，Ｈ・フードコンサルタント,ティエイチフードコンサルタント,佐賀県,三養基郡基山町,佐賀県三養基郡基山町けやき台２丁目１４番地５,food,pro-services,2019-07-10,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-16
6300002002371,有限会社デイリーキッチン,,佐賀県,佐賀市,佐賀県佐賀市蓮池町大字蓮池２５１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
6300002009210,有限会社フードコア,フードコア,佐賀県,鳥栖市,佐賀県鳥栖市京町７２９番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-27
6300005006964,特定非営利活動法人フードバンクさが,フードバンクサガ,佐賀県,佐賀市,佐賀県佐賀市白山２丁目１番１２号佐賀商工ビル７階佐賀市市民活動プラザレターケースＮｏ．１６,food,,2020-12-21,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-10
6300005007228,一般社団法人ＭＯＧＭＯＧ食堂,モグモグショクドウ,佐賀県,佐賀市,佐賀県佐賀市木原１丁目８－４,food,restaurant,2025-03-13,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-13
7300002000309,有限会社カワハラフードサービス,,佐賀県,佐賀市,佐賀県佐賀市成章町１番６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-19
7300002001298,有限会社フードセンターみやだ,,佐賀県,佐賀市,佐賀県佐賀市蓮池町大字蓮池１４１番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
7300002002387,有限会社タクミフードサービス,,佐賀県,佐賀市,佐賀県佐賀市新栄西１丁目１０番１７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-08-12
7300002010381,有限会社食堂車,ショクドウシャ,佐賀県,唐津市,佐賀県唐津市千々賀６５０番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-12
7300003001999,合同会社ローカルダイニング,ローカルダイニング,佐賀県,唐津市,佐賀県唐津市浜玉町東山田２１０１番地１,food,restaurant,2023-07-28,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-28
7330001028587,株式会社ダイニングクリエーション,ダイニングクリエーション,佐賀県,佐賀市,佐賀県佐賀市唐人２丁目２番１号唐人プラザビル３Ｆ,food,restaurant,2021-05-14,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-30
8300001009845,株式会社イエローキッチン,イエローキッチン,佐賀県,唐津市,佐賀県唐津市相知町伊岐佐乙１１５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-12
9300001009976,株式会社Ｍフード佐賀,エムフードサガ,佐賀県,佐賀市,佐賀県佐賀市天神１丁目１番２８号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-11
