# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4300001004354,株式会社福祉ネットサービス,フクシネットサービス,佐賀県,佐賀市,佐賀県佐賀市長瀬町１０番３３号,it,care,2015-10-05,false,,,,https://fukushi-net-service.com/,0952-77-9187,,,国税庁 法人番号公表サイト,2019-04-18
2300001004488,九州ライフネット株式会社,キュウシュウライフネット,佐賀県,佐賀市,佐賀県佐賀市東与賀町大字飯盛２２４８番地,it,care,2015-10-05,false,,,,,0952-30-5035,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1290801008699,株式会社システムフィックス,,佐賀県,唐津市,佐賀県唐津市浜玉町浜崎１５９５－６６,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001003193,株式会社日本テック,ニホンテック,佐賀県,神埼市,佐賀県神埼市神埼町城原２７１８番地２,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-25
1300001003292,株式会社テクノネット,,佐賀県,小城市,佐賀県小城市小城町２７７番地,it,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001003730,株式会社ナノ・システム,ナノシステム,佐賀県,佐賀市,佐賀県佐賀市大和町大字久池井２３４２番地５,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-02
1300001003854,株式会社ネットコムＢＢ,ネットコムビービー,佐賀県,佐賀市,佐賀県佐賀市天神３丁目２番２３号,it,,2005-03-14,false,,,代表取締役　松岡　実信,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001004068,電気通信システム株式会社,デンキツウシンシステム,佐賀県,神埼市,佐賀県神埼市神埼町枝ヶ里１４９番地７,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-22
1300001004233,株式会社エス・クリーンテック,,佐賀県,佐賀市,佐賀県佐賀市本庄町大字本庄１２０４番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001005248,エコシステム株式会社,,佐賀県,嬉野市,佐賀県嬉野市嬉野町大字岩屋川内乙２３５９番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001007038,株式会社未来システム開発,ミライシステムカイハツ,佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町本町乙３０５９－４,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-08
1300001007616,株式会社テックコンサルタント,テックコンサルタント,佐賀県,唐津市,佐賀県唐津市山田２８２４番地６,it,it|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001008465,株式会社九州エコシステム,,佐賀県,神埼市,佐賀県神埼市神埼町的４３番地１,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001008523,株式会社エステック,,佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町南原甲７０６番地７４,it,beauty|it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001008531,株式会社アーステックコンサルタント,,佐賀県,三養基郡基山町,佐賀県三養基郡基山町大字園部字鎮西隈２８０７番地２,it,it|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001008779,日本バイオテック株式会社,ニホンバイオテック,佐賀県,三養基郡基山町,佐賀県三養基郡基山町大字小倉５４５番地,it,it,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-12
