# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5300001008552,株式会社プロジェクトエース,プロジェクトエース,佐賀県,鳥栖市,佐賀県鳥栖市弥生が丘７丁目１４番地,logistics,care|logistics,2015-10-05,false,,,,http://kirameki-tosu.wix.com/hpsite,0942-85-9358,,,国税庁 法人番号公表サイト,2018-11-15
1290001081076,株式会社イエローロジ,イエローロジ,佐賀県,唐津市,佐賀県唐津市佐志３９９番地２２,logistics,logistics,2018-04-10,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-14
1300001000389,サガシキ物流株式会社,サガシキブツリュウ,佐賀県,佐賀市,佐賀県佐賀市高木瀬西６丁目３番２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-03
1300001000397,佐賀梱包運輸株式会社,サガコンポウウンユ,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字八戸３０５０番地,logistics,logistics,2015-10-05,false,102,,,https://www.sagaconpoh.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001000851,株式会社佐賀新聞ロジスティクス,サガシンブンロジスティクス,佐賀県,佐賀市,佐賀県佐賀市天神３丁目２番２３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-02
1300001003326,古賀低温倉庫株式会社,コガテイオンソウコ,佐賀県,小城市,佐賀県小城市三日月町織島３１９７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-31
1300001005058,株式会社宮崎運輸,ミヤザキウンユ,佐賀県,藤津郡太良町,佐賀県藤津郡太良町大字多良１８９３番地４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-12
1300001005090,住ノ江海陸運輸株式会社,スミノエカイリクウンユ,佐賀県,杵島郡大町町,佐賀県杵島郡大町町大字福母２４０５番地,logistics,logistics,2015-10-05,false,97,,,http://suminoecall.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001006485,エフ・アンド・テクノロジー株式会社,,佐賀県,三養基郡上峰町,佐賀県三養基郡上峰町大字坊所２５５８番地１０１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-23
1300001006519,ダイキュー運輸株式会社,ダイキューウンユ,佐賀県,鳥栖市,佐賀県鳥栖市水屋町１９５７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-05
1300001007368,美和運送株式会社,ミワウンソウ,佐賀県,唐津市,佐賀県唐津市千々賀５８１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-16
1300001007517,株式会社創明プロジェクト,,佐賀県,唐津市,佐賀県唐津市町田２１４０番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300001009018,株式会社大生物流,タイセイブツリュウ,佐賀県,伊万里市,佐賀県伊万里市南波多町小麦原１５６番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-10
1300001010553,株式会社福吉水産物流,フクヨシスイサンブツリュウ,佐賀県,佐賀市,佐賀県佐賀市鬼丸町４番１７号,logistics,logistics|agriculture,2016-11-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001010958,株式会社がばい運送,,佐賀県,多久市,佐賀県多久市東多久町大字別府４３２４番地２,logistics,logistics,2017-08-10,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-07
1300001011923,株式会社天翔運送,テンショウウンソウ,佐賀県,鳥栖市,佐賀県鳥栖市萱方町１１６番地１５,logistics,logistics,2019-12-25,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-27
1300002001469,有限会社丸吉運輸,,佐賀県,佐賀市,佐賀県佐賀市本庄町大字鹿子４０３番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002001725,昭栄陸運有限会社,ショウエイリクウン,佐賀県,佐賀市,佐賀県佐賀市久保田町大字久保田１６５５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-28
1300002001931,有限会社南部運送,,佐賀県,佐賀市,佐賀県佐賀市諸富町大字山領７６８番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002004158,有限会社宮地運輸,,佐賀県,神埼市,佐賀県神埼市神埼町鶴４４４番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-06-29
1300002004843,有限会社イズミ物流,,佐賀県,佐賀市,佐賀県佐賀市鍋島５丁目７番１５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002005073,有限会社中島運輸,,佐賀県,多久市,佐賀県多久市多久町２６０５番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
