# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1300001000505,天恵堂製薬株式会社,テンケイドウセイヤク,佐賀県,佐賀市,佐賀県佐賀市蓮池町大字蓮池２３４番地,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001001148,株式会社野中製作所,,佐賀県,佐賀市,佐賀県佐賀市諸富町大字為重４２２番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-26
1300001003359,牛津製薬株式会社,ウシヅセイヤク,佐賀県,小城市,佐賀県小城市牛津町下砥川１番地２,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001005082,九州住電精密株式会社,キュウシュウスミデンセイミツ,佐賀県,杵島郡大町町,佐賀県杵島郡大町町大字福母２３７４番地,manufacturing,manufacturing,2015-10-05,false,297,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001005561,昭和金属伊万里株式会社,ショウワキンゾクイマリ,佐賀県,伊万里市,佐賀県伊万里市大川町川原５９１２番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-29
1300001006130,上田金属株式会社,ウエダキンゾク,佐賀県,鳥栖市,佐賀県鳥栖市真木町字赤江１１１４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-26
1300001006361,株式会社東洋空機製作所,トウヨウクウキセイサクショ,佐賀県,三養基郡みやき町,佐賀県三養基郡みやき町大字簑原５７３３番地,manufacturing,manufacturing,2015-10-05,false,231,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300001007509,株式会社天志満食品,,佐賀県,唐津市,佐賀県唐津市宇木２７２６番地２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-23
1300001014505,緑食品株式会社,ミドリショクヒン,佐賀県,佐賀市,佐賀県佐賀市本庄町大字本庄２４８番地５１,manufacturing,food-maker,2026-02-04,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-04
1300002000818,有限会社田中自動車整備工場,タナカジドウシャセイビコウジョウ,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字八戸３０２４番地,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-09
1300002000925,有限会社千早自動車整備工場,,佐賀県,佐賀市,佐賀県佐賀市兵庫北１丁目１番２７号,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002001056,有限会社ナチュラル食品,ナチュラルショクヒン,佐賀県,佐賀市,佐賀県佐賀市高木瀬東３丁目１２番１号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-19
1300002004232,有限会社真崎製瓦工場,,佐賀県,神埼市,佐賀県神埼市千代田町迎島１５８１番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002004637,有限会社辻製作所,,佐賀県,小城市,佐賀県小城市芦刈町三王崎２８０番地１５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002005362,有限会社ヤマキ食品,,佐賀県,佐賀市,佐賀県佐賀市大和町大字東山田１５番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002006427,有限会社糧友自動車工場,,佐賀県,武雄市,佐賀県武雄市北方町大字志久８１６番地,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002006831,有限会社中島製作所,,佐賀県,鹿島市,佐賀県鹿島市浜町１２７５番地５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002006906,有限会社三原食品,ミハラショクヒン,佐賀県,鹿島市,佐賀県鹿島市古枝甲１９３番地１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-01
1300002007185,有限会社白石罐詰工場,シロイシカンヅメコウジョウ,佐賀県,杵島郡白石町,佐賀県杵島郡白石町大字築切４４２４番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-07
1300002007243,有限会社内田自動車整備工場,,佐賀県,杵島郡大町町,佐賀県杵島郡大町町大字福母１５８３番地２,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002007409,有限会社有明食品,,佐賀県,杵島郡白石町,佐賀県杵島郡白石町大字牛屋７４３６番地５７,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300002008258,有限会社北村錦付工場,,佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町南原甲７６７番地４,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-23
1300002009438,有限会社江口製作所,エグチセイサクショ,佐賀県,三養基郡みやき町,佐賀県三養基郡みやき町大字簑原３９３９番地２,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-27
1300002009909,有限会社八戸製作所,,佐賀県,三養基郡上峰町,佐賀県三養基郡上峰町大字前牟田１５５１番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1300002010882,有限会社鬼木自動車整備工場,,佐賀県,唐津市,佐賀県唐津市七山藤川２７３８番地８,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300003000214,高木食品合資会社,,佐賀県,小城市,佐賀県小城市小城町１２９番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300003000651,合名会社呼子佃煮製造工場,,佐賀県,唐津市,佐賀県唐津市呼子町呼子３７６４番地第１５,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1300005006408,学校法人前田文化学園,マエダブンカガクエン,佐賀県,佐賀市,佐賀県佐賀市唐人２丁目２番９号,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-18
2290001088194,中日金属株式会社,チュウニチキンゾク,佐賀県,佐賀市,佐賀県佐賀市多布施３丁目７番１３号,manufacturing,manufacturing,2020-03-04,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-18
2300001000181,佐賀金属株式会社,サガキンゾク,佐賀県,佐賀市,佐賀県佐賀市鍋島町大字森田８３３番地１,manufacturing,manufacturing,2015-10-05,false,56,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2300001000909,マエダ食品サガ株式会社,マエダショクヒンサガ,佐賀県,佐賀市,佐賀県佐賀市卸本町７番１０号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-06
2300001001139,株式会社塚本製作所,ツカモトセイサクショ,佐賀県,佐賀市,佐賀県佐賀市諸富町大字徳富１０４番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-22
2300001003218,株式会社八雲製作所,ヤグモセイサクショ,佐賀県,神埼市,佐賀県神埼市神埼町尾崎２００番地,manufacturing,manufacturing,2015-10-05,false,78,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2300001003366,株式会社木下製作所,キノシタセイサクショ,佐賀県,小城市,佐賀県小城市牛津町牛津９１５番地１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-24
2300001004661,株式会社古川製作所,フルカワセイサクショ,佐賀県,武雄市,佐賀県武雄市武雄町大字武雄１１７番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-10
2300001005825,株式会社共栄製作所,キョウエイセイサクショ,佐賀県,西松浦郡有田町,佐賀県西松浦郡有田町広瀬甲１００９番地４,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-10
2300001006377,西海製薬株式会社,サイカイセイヤク,佐賀県,三養基郡基山町,佐賀県三養基郡基山町大字宮浦１９２番地,manufacturing,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
