# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
3140001087722,富庄トラストパートナーズ株式会社,,兵庫県,姫路市,兵庫県姫路市田寺東３丁目６番１２号,consulting,care|pro-services,2015-10-05,false,,,,https://agastia-himeji.jp,079-247-3123,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1010001094361,株式会社エーエスコンサルト,エーエスコンサルト,兵庫県,神戸市中央区,兵庫県神戸市中央区江戸町１００番,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-01
1011003004671,エムワイコンサルティング合同会社,エムワイコンサルティング,兵庫県,姫路市,兵庫県姫路市上手野２４２番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-16
1120001107764,動画総研株式会社,ドウガソウケン,兵庫県,川西市,兵庫県川西市鼓滝二丁目１３番４８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001128001,株式会社みどり会計,ミドリカイケイ,兵庫県,伊丹市,兵庫県伊丹市西台２丁目５番１６－６０６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-20
1120001228627,株式会社ＮＹＴコンサルティング,エヌワイティーコンサルティング,兵庫県,尼崎市,兵庫県尼崎市富松町３丁目２３番５９号,consulting,pro-services,2020-04-15,false,,,,,,,,国税庁 法人番号公表サイト,2022-09-28
1120002013227,有限会社池田経営コンサルタント,イケダケイエイコンサルタント,兵庫県,川西市,兵庫県川西市平野１丁目４０番４５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-27
1120002070623,有限会社ＫＩコンサルタント,ケイアイコンサルタント,兵庫県,西宮市,兵庫県西宮市神楽町５番３１－５０３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-31
1120003018002,合同会社セトマキコンサルティング,セトマキコンサルティング,兵庫県,明石市,兵庫県明石市鳥羽１４５３番地の１６,consulting,pro-services,2020-09-01,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-14
1140001002427,株式会社プロ・スクエアコンサルタンツ,プロスクエアコンサルタンツ,兵庫県,神戸市東灘区,兵庫県神戸市東灘区向洋町中２丁目１番地２１２号棟９０７号室,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-12
1140001003466,コベルコビジネスパートナーズ株式会社,コベルコビジネスパートナーズ,兵庫県,神戸市中央区,兵庫県神戸市中央区脇浜海岸通２丁目２番４号,consulting,beauty|pro-services,1983-11-01,false,250,,代表取締役　小西　光文,https://www.kobelco-kbp.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001008696,株式会社住吉霊園コンサルタント,スミヨシレイエンコンサルタント,兵庫県,神戸市西区,兵庫県神戸市西区押部谷町木見字下山畑の五１１０４番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-27
1140001012946,株式会社グルンドコンサルタント,グルンドコンサルタント,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区門口町１番２０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001020115,株式会社タッグ・リスクコンサルタント,タッグリスクコンサルタント,兵庫県,神戸市東灘区,兵庫県神戸市東灘区向洋町中６丁目９番地神戸ファッションマート,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001023415,アイズユナイテッドコンサルタンシー株式会社,,兵庫県,神戸市中央区,兵庫県神戸市中央区明石町３２番地明海ビル３０１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001023720,シエラコンサルティング株式会社,シエラコンサルティング,兵庫県,神戸市中央区,兵庫県神戸市中央区浜辺通４丁目１番２３号三宮ベンチャービル８０６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-27
1140001025898,株式会社キュービットコンサルタント関西,,兵庫県,神戸市中央区,兵庫県神戸市中央区八幡通３丁目１番１９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001027119,株式会社神戸プリンシプルパートナーズ,,兵庫県,神戸市灘区,兵庫県神戸市灘区箕岡通４丁目２番２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001028389,株式会社ワールドプロダクションパートナーズ,ワールドプロダクションパートナーズ,兵庫県,神戸市中央区,兵庫県神戸市中央区港島中町６丁目８番１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-21
1140001028439,エムアンドパートナーズ株式会社,エムズアンドパートナーズ,兵庫県,芦屋市,兵庫県芦屋市打出町２－１６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-21
1140001028843,Ｊ－コンサルティング株式会社,ジェイコンサルティング,兵庫県,神戸市東灘区,兵庫県神戸市東灘区鴨子ケ原３丁目９番７号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-06
1140001028876,株式会社みらい総合会計事務所,ミライソウゴウカイケイジムショ,兵庫県,神戸市中央区,兵庫県神戸市中央区伊藤町１０６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-23
1140001029651,フィットパートナーズ株式会社,フィットパートナーズ,兵庫県,神戸市西区,兵庫県神戸市西区伊川谷町井吹２０２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-19
1140001031277,株式会社ソーラーパートナーズ,,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区夢野町２丁目７番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001031599,株式会社Ｂ．Ｇ．コンサルタンツ,,兵庫県,神戸市東灘区,兵庫県神戸市東灘区本庄町１丁目９番６号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-27
1140001032102,ＤＲパートナーズ株式会社,ディーアールパートナーズ,兵庫県,神戸市中央区,兵庫県神戸市中央区海岸通２丁目３番１０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-28
1140001032366,株式会社ＫＳコンサル,,兵庫県,神戸市須磨区,兵庫県神戸市須磨区妙法寺字池ノ内９５６番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001033307,株式会社ワイズアセットパートナーズ,ワイズアセットパートナーズ,兵庫県,神戸市須磨区,兵庫県神戸市須磨区北落合３丁目２６番１４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-05
1140001037472,株式会社ラウンドパートナーズ,,兵庫県,三木市,兵庫県三木市緑が丘町東１丁目１－５１シラユリ第２ビル２階,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001038132,株式会社ＳＡＮコンサルティング,サンコンサルティング,兵庫県,神戸市垂水区,兵庫県神戸市垂水区舞子台１丁目６番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-30
1140001054229,株式会社アイク経営コンサルタンツ,アイクケイエイコンサルタンツ,兵庫県,伊丹市,兵庫県伊丹市千僧１丁目１９番地千伊第一ビル３０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-27
1140001055012,株式会社エースコンサルティング,エースコンサルティング,兵庫県,尼崎市,兵庫県尼崎市東園田町４丁目１０１番７ナイトービル３０３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-09
1140001055326,キューオーエル・パートナーズ株式会社,,兵庫県,尼崎市,兵庫県尼崎市潮江１丁目１４番地１号－４０１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001057033,ＩＢＮリスクコンサルティング株式会社,アイビーエヌリスクコンサルティング,兵庫県,加古川市,兵庫県加古川市加古川町篠原町５９番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-08
1140001065077,株式会社ＫＯＭＡＴＳＵコンサルティング,コマツコンサルティング,兵庫県,姫路市,兵庫県姫路市北平野５丁目６番３７号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-04
1140001067115,ＰＭＰコンサルティング株式会社,ピーエムピーコンサルティング,兵庫県,三田市,兵庫県三田市すずかけ台３丁目５番地４　１４棟２０３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001073179,株式会社和総研,ナゴミソウケン,兵庫県,西宮市,兵庫県西宮市段上町６丁目１５番１２－１０３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-26
1140001073971,Ｒｔ相続・贈与コンサルティング株式会社,アールティーソウゾクゾウヨコンサルティング,兵庫県,西宮市,兵庫県西宮市戸田町１番２０号ホワイトビル西宮,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-17
1140001075134,株式会社メイセイコンサルタント,メイセイコンサルタント,兵庫県,加東市,兵庫県加東市上久米８２４番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-04-24
1140001075464,株式会社エンタコンサルタント,エンタコンサルタント,兵庫県,西脇市,兵庫県西脇市西脇２０５番地,consulting,pro-services,2015-10-05,false,40,,,https://www.entaconsul.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001080877,野口コンサルティング株式会社,ノグチコンサルティング,兵庫県,川辺郡猪名川町,兵庫県川辺郡猪名川町伏見台２丁目３番地５６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-17
1140001083021,株式会社松浪総研,マツナミソウケン,兵庫県,宝塚市,兵庫県宝塚市長尾台２丁目１２番１８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-06
1140001084052,株式会社日本経営総研,ニホンケイエイソウケン,兵庫県,尼崎市,兵庫県尼崎市塚口町１丁目１８番地の１２号－８０２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-05
1140001086924,株式会社アストライアーコンサルティング,アストライアーコンサルティング,兵庫県,西宮市,兵庫県西宮市久出ケ谷町１５番１０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-08
1140001088862,株式会社ＩＢコンサルタント,,兵庫県,神戸市灘区,兵庫県神戸市灘区楠丘町４丁目３番１６－３０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-23
1140001089209,アミューズメントビジネスコンサルティング株式会社,アミューズメントビジネスコンサルティング,兵庫県,伊丹市,兵庫県伊丹市昆陽南１丁目１番３２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-10
1140001089605,株式会社パートナーズ,,兵庫県,神戸市西区,兵庫県神戸市西区大津和１丁目５番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001090059,株式会社ジョイパートナーズ,ジョイパートナーズ,兵庫県,神戸市須磨区,兵庫県神戸市須磨区弥栄台２丁目５番３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-16
1140001090389,エフティーコンサルティング株式会社,エフティーコンサルティング,兵庫県,尼崎市,兵庫県尼崎市潮江５丁目４番１９－１３０１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-19
1140001092724,アースリードコンサルティング株式会社,,兵庫県,川西市,兵庫県川西市一庫字区田３番地の１１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001095082,株式会社エンジョイコンサルタント,,兵庫県,神戸市西区,兵庫県神戸市西区井吹台西町２丁目２番地３－２０４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001096411,株式会社ＨＩＭＥＪＩ相続コンサルティング,ヒメジソウゾクコンサルティング,兵庫県,姫路市,兵庫県姫路市阿保乙１６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-07
1140001098531,帝国コンサルティング株式会社,テイコクコンサルティング,兵庫県,西宮市,兵庫県西宮市甲子園口６丁目１８番７号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-20
1140001104181,株式会社ＫＴコンサルティング,ケーティーコンサルティング,兵庫県,川辺郡猪名川町,兵庫県川辺郡猪名川町白金２丁目３番地５６,consulting,pro-services,2016-12-01,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001107969,アベコンサルティング株式会社,アベコンサルティング,兵庫県,三田市,兵庫県三田市友が丘２丁目３番地１７,consulting,pro-services,2017-10-25,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-25
