# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6140001083041,株式会社マテリアルテクノロジー,マテリアルテクノロジー,兵庫県,宝塚市,兵庫県宝塚市旭町２丁目１９番１号,logistics,care|logistics,2015-10-05,false,,,,,0797-86-2666,,,国税庁 法人番号公表サイト,2018-08-16
1140001089349,株式会社ウエルネスプロジェクト,ウェルネスプロジェクト,兵庫県,南あわじ市,兵庫県南あわじ市福良乙１２番地,logistics,care|logistics,2015-10-05,false,15,,,,0799-52-2226,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5140001088719,株式会社ライフサポートテクノロジー,ライフサポートテクノロジー,兵庫県,西宮市,兵庫県西宮市中前田町１番３１－１０１号,logistics,care|logistics,2015-10-05,false,,,,http://soukaiclub.com/,0798-61-3714,,,国税庁 法人番号公表サイト,2022-12-13
1010405014295,一般社団法人理系女子未来創造プロジェクト,,兵庫県,芦屋市,兵庫県芦屋市津知町７－９,logistics,logistics,2015-11-24,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-25
1021001032038,まるこう運輸株式会社,マルコウウンユ,兵庫県,尼崎市,兵庫県尼崎市元浜町２丁目７番地の２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-21
1140001001230,尾花運送株式会社,オバナウンソウ,兵庫県,神戸市東灘区,兵庫県神戸市東灘区魚崎北町２丁目８番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-17
1140001001627,三洋運輸株式会社,サンヨウウンユ,兵庫県,芦屋市,兵庫県芦屋市岩園町４９番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-15
1140001003292,株式会社神戸河西運輸,,兵庫県,神戸市灘区,兵庫県神戸市灘区味泥町３番２９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001003796,南部運送株式会社,ナンブウンソウ,兵庫県,神戸市灘区,兵庫県神戸市灘区浜田町１丁目１番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-19
1140001004811,山陽コールド運輸株式会社,サンヨウコールドウンユ,兵庫県,神戸市西区,兵庫県神戸市西区伊川谷町潤和字堂後９０２の１,logistics,logistics,2015-10-05,false,98,,,http://www.sanyou-cold.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001005025,ダイワ運輸株式会社,,兵庫県,神戸市西区,兵庫県神戸市西区玉津町水谷４１０,logistics,logistics,2015-10-05,false,298,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001007797,齊藤運輸株式会社,サイトウウンユ,兵庫県,神戸市中央区,兵庫県神戸市中央区古湊通２丁目２番２３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-11
1140001008358,篠﨑倉庫株式会社,シノザキソウコ,兵庫県,神戸市中央区,兵庫県神戸市中央区栄町通４丁目１番１１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-29
1140001008440,昌栄陸運株式会社,ショウエイリクウン,兵庫県,神戸市中央区,兵庫県神戸市中央区海岸通５丁目２番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-05
1140001008795,株式会社瀬川運送店,セガワウンソウテン,兵庫県,神戸市灘区,兵庫県神戸市灘区大石南町３丁目２番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-29
1140001009918,日亜倉庫株式会社,ニチアソウコ,兵庫県,神戸市中央区,兵庫県神戸市中央区栄町通４丁目１番１０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-11
1140001011592,横山倉庫株式会社,ヨコヤマソウコ,兵庫県,神戸市中央区,兵庫県神戸市中央区磯上通８丁目１番５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-19
1140001011923,神戸海上物流株式会社,,兵庫県,神戸市中央区,兵庫県神戸市中央区元町通５丁目２番３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1140001011972,神戸倉庫株式会社,コウベソウコ,兵庫県,神戸市中央区,兵庫県神戸市中央区東川崎町１丁目７番４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001012376,相田運輸株式会社,アイダウンユ,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区築地町１番２６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-28
1140001012987,公成運輸株式会社,コウセイウンユ,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区駅南通１丁目２番１８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-11
1140001013192,神光運輸倉庫株式会社,,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区遠矢浜町２番１５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001013283,昭陽運輸株式会社,ショウヨウウンユ,兵庫県,神戸市中央区,兵庫県神戸市中央区波止場町６番４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-30
1140001014414,柳原運輸株式会社,ヤナギハラウンユ,兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区中之島１丁目１番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-06
1140001016071,株式会社小林運輸,コバヤシウンユ,兵庫県,神戸市中央区,兵庫県神戸市中央区港島中町１丁目２番地２４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-22
1140001018670,西灘運送株式会社,,兵庫県,神戸市垂水区,兵庫県神戸市垂水区上高丸３丁目９番１５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001020775,川﨑コンテナ運輸株式会社,カワサキコンテナウンユ,兵庫県,神戸市東灘区,兵庫県神戸市東灘区向洋町東３丁目８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-15
1140001021237,株式会社新井運輸,アライウンユ,兵庫県,神戸市垂水区,兵庫県神戸市垂水区下畑町字雲星４９８番地の４８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-10
1140001021963,阪神木材倉庫株式会社,,兵庫県,神戸市中央区,兵庫県神戸市中央区御幸通６丁目１番１５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001023514,和光物流株式会社,ワコウブツリュウ,兵庫県,神戸市長田区,兵庫県神戸市長田区苅藻島町２丁目１番８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-26
1140001026384,イーライリリー・オンコロジー・ドメイン株式会社,イーライリリーオンコロジードメイン,兵庫県,神戸市中央区,兵庫県神戸市中央区磯上通５丁目１番２８号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-15
1140001027226,神栄テクノロジー株式会社,シンエイテクノロジー,兵庫県,神戸市中央区,兵庫県神戸市中央区港島南町６丁目５番２,logistics,logistics,1985-09-10,false,135,,代表取締役　小山　文也,http://www.shinyei.co.jp/stc/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001028257,株式会社ジョイプロジェクト,ジョイプロジェクト,兵庫県,神戸市東灘区,兵庫県神戸市東灘区深江北町３丁目２番２３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-17
1140001028604,株式会社まるたに物流,マルタニブツリュウ,兵庫県,神戸市東灘区,兵庫県神戸市東灘区魚崎南町３丁目２番３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-16
1140001031335,株式会社運輸ビジネスリサーチ,ウンユビジネスリサーチ,兵庫県,神戸市北区,兵庫県神戸市北区鹿の子台北町６丁目３０番３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001033100,株式会社サンナノテクノロジー,サンナノテクノロジー,兵庫県,神戸市東灘区,兵庫県神戸市東灘区住吉本町１丁目１１番１０－３０４号,logistics,logistics,2010-07-06,false,,,代表取締役　小泉　欧児,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001033587,株式会社イー・ロジスティック,イーロジスティック,兵庫県,神戸市中央区,兵庫県神戸市中央区八幡通３丁目１番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-12
1140001036862,株式会社アッセイロジックス,,兵庫県,明石市,兵庫県明石市大蔵谷奥１６番地の５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001038413,龍野運送株式会社,タツノウンソウ,兵庫県,たつの市,兵庫県たつの市龍野町片山４７７番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-10
1140001038495,株式会社福水倉庫,フクミズソウコ,兵庫県,たつの市,兵庫県たつの市龍野町四箇２４５番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-14
1140001039262,株式会社サンワ運輸,,兵庫県,佐用郡佐用町,兵庫県佐用郡佐用町円応寺字久清７７番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001039345,株式会社三日月運送,ミカヅキウンソウ,兵庫県,佐用郡佐用町,兵庫県佐用郡佐用町乃井野１４７６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-20
1140001040476,相互物流株式会社,,兵庫県,宍粟市,兵庫県宍粟市山崎町中比地１６０番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-12-02
1140001041292,氷上急行運輸倉庫株式会社,ヒカミキュウコウウンユソウコ,兵庫県,丹波市,兵庫県丹波市氷上町氷上６２番地,logistics,logistics,2015-10-05,false,30,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001041417,西丹陸運株式会社,セイタンリクウン,兵庫県,丹波市,兵庫県丹波市氷上町稲継２１１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-05
1140001041714,株式会社小西運送,コニシウンソウ,兵庫県,丹波篠山市,兵庫県丹波篠山市般若寺３９９番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-13
1140001043124,太陽海陸運輸株式会社,タイヨウカイリクウンユ,兵庫県,加古川市,兵庫県加古川市別府町新野辺２９７３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-24
1140001044345,木下運送株式会社,キノシタウンソウ,兵庫県,加古郡播磨町,兵庫県加古郡播磨町宮西３丁目４番９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-12
1140001044601,株式会社日本パック運送,,兵庫県,加西市,兵庫県加西市島町１５１番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-08
1140001046317,株式会社ＴＢＳロジスコ,ティービーエスロジスコ,兵庫県,加古郡稲美町,兵庫県加古郡稲美町国岡６７８－１４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-15
1140001046507,北近畿運輸株式会社,キタキンキウンユ,兵庫県,養父市,兵庫県養父市八鹿町伊佐字道東３８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-24
1140001046630,山本運輸株式会社,ヤマモトウンユ,兵庫県,養父市,兵庫県養父市養父市場１０４１番地２,logistics,logistics,2015-10-05,false,45,,,https://www.yamamoto-unyu.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001046696,長野運輸株式会社,,兵庫県,朝来市,兵庫県朝来市和田山町林垣２３０番地３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001047356,尼崎南運輸株式会社,アマガサキミナミウンユ,兵庫県,尼崎市,兵庫県尼崎市元浜町１丁目８３番,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-10
1140001047612,伊々田運輸機工株式会社,イイダウンユキコウ,兵庫県,尼崎市,兵庫県尼崎市杭瀬南新町１丁目９番３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-09
1140001048370,柄谷倉庫物流株式会社,カラタニソウコブツリュウ,兵庫県,尼崎市,兵庫県尼崎市道意町６丁目４９番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-21
1140001049600,大興陸運株式会社,ダイコウリクウン,兵庫県,尼崎市,兵庫県尼崎市東初島町２番地の３７,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-10
1140001050120,寺本運輸倉庫株式会社,テラモトウンユソウコ,兵庫県,尼崎市,兵庫県尼崎市南初島町１７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-25
1140001050748,大阪丸進運輸株式会社,オオサカマルシンウンユ,兵庫県,尼崎市,兵庫県尼崎市東園田町５丁目１０５番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-11
1140001051738,株式会社山滋運輸,ヤマシゲウンユ,兵庫県,尼崎市,兵庫県尼崎市南清水３７番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-11
1140001052091,株式会社キサ運輸,キサウンユ,兵庫県,尼崎市,兵庫県尼崎市元浜町４丁目８８番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-10
1140001052356,御幣島倉庫株式会社,ミテジマソウコ,兵庫県,尼崎市,兵庫県尼崎市南武庫之荘３丁目２４番２０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-25
1140001053148,関西資材運輸株式会社,カンサイシザイウンユ,兵庫県,尼崎市,兵庫県尼崎市田能６丁目９番１２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-13
1140001054344,株式会社エコロジーライフジャパン,,兵庫県,尼崎市,兵庫県尼崎市武庫之荘本町３丁目１２番２０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-08
1140001054393,株式会社いろはプロジェクト,イロハプロジェクト,兵庫県,伊丹市,兵庫県伊丹市宮ノ前２丁目４番２１－４０２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-31
1140001055375,寿運輸株式会社,,兵庫県,尼崎市,兵庫県尼崎市大物町２丁目２番１６号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001056563,乙野運送株式会社,オトノウンソウ,兵庫県,美方郡新温泉町,兵庫県美方郡新温泉町浜坂４５２番地の１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-07
1140001058072,岡上運輸株式会社,オカウエウンユ,兵庫県,姫路市,兵庫県姫路市広畑区長町１丁目１８番地の１,logistics,logistics,2015-10-05,false,112,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1140001058213,関栄運輸株式会社,カンエイウンユ,兵庫県,姫路市,兵庫県姫路市広畑区本町１丁目３３番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-09
