# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9462505000073,中春別農業協同組合,ナカシュンベツ,北海道,野付郡別海町,北海道野付郡別海町中春別南町３番地,agriculture,care|agriculture,2015-10-05,false,,,,,0153-76-3383,,,国税庁 法人番号公表サイト,2020-05-26
6462505000233,道東あさひ農業協同組合,ドウトウアサヒ,北海道,野付郡別海町,北海道野付郡別海町別海緑町１１６番地９,agriculture,care|agriculture,2009-04-01,false,211,,代表理事　浦山　宏一,https://www.ja-doutouasahi.or.jp/,0153-75-2202,,https://www.ja-doutouasahi.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2430005003069,北海道厚生農業協同組合連合会,ホッカイドウコウセイ,北海道,札幌市中央区,北海道札幌市中央区北四条西１丁目１番地,agriculture,care|agriculture,2015-10-05,false,,,,http://www.dou-kouseiren.com/,0166-33-7171,,https://www.dou-kouseiren.com/form/document.php,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2430000500306,北海道厚生農業協同組合連合会,,北海道,紋別市,北海道紋別郡遠軽町大通北4丁目1-39コスモスの郷　ゆうゆう,agriculture,care|agriculture,,false,,,,,0158-42-4397,,,介護サービス情報公表システム（厚生労働省）,2026-07-02
1010601063567,株式会社帯広水産,オビヒロスイサン,北海道,河西郡芽室町,北海道河西郡芽室町東芽室北１線１０番地４,agriculture,agriculture,2023-08-10,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-28
1020001080393,北福水産株式会社,,北海道,松前郡福島町,北海道松前郡福島町字月崎３１８番地１５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001000021,青池水産株式会社,アオイケスイサン,北海道,札幌市中央区,北海道札幌市中央区北十二条西１９丁目３６番地２３６,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-27
1430001001564,一シメ丸協水産株式会社,,北海道,札幌市手稲区,北海道札幌市手稲区富丘五条２丁目７番１８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-28
1430001003949,株式会社曲中中山水産,,北海道,札幌市北区,北海道札幌市北区新琴似八条１５丁目４番６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-11-01
1430001006919,株式会社澤田水産,,北海道,札幌市中央区,北海道札幌市中央区北十二条西２０丁目３７番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
