# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1010701023801,株式会社マミヤダイニング,マミヤダイニング,北海道,稚内市,北海道稚内市大黒２丁目２番２２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-10
1430001009509,株式会社ダイニングテーブル,,北海道,札幌市中央区,北海道札幌市中央区南十条西２３丁目２番７号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1430001028748,株式会社キッチンワークス,キッチンワークス,北海道,札幌市白石区,北海道札幌市白石区流通センター１丁目９番３１号,food,restaurant,2003-07-01,false,,,代表取締役　荒井　俊吉,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001031628,株式会社フード・プロジェ北海道,,北海道,札幌市中央区,北海道札幌市中央区南二十一条西８丁目２番１６号,food,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001032031,株式会社フードクリエイティブ,,北海道,札幌市中央区,北海道札幌市中央区南六条西９丁目１０１９番地１２－１００８号,food,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001041239,北海道ダイニング株式会社,ホッカイドウダイニング,北海道,札幌市中央区,北海道札幌市中央区南四条西２丁目１４番地２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-28
1430001041957,株式会社エムズフード,エムズフード,北海道,札幌市白石区,北海道札幌市白石区平和通１５丁目北２番４６号,food,,2015-10-05,false,297,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001044522,株式会社あすかフード・クリエイト,,北海道,千歳市,北海道千歳市本町１丁目２２番５号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001044638,キッチントラスト株式会社,,北海道,千歳市,北海道千歳市新富３丁目１番２８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001052384,株式会社ＹＡＨｆｕダイニングプロデュース,,北海道,札幌市中央区,北海道札幌市中央区南六条西５丁目８番地５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001062144,株式会社北海道フードファクトリー,ホッカイドウフードファクトリー,北海道,札幌市白石区,北海道札幌市白石区北郷七条７丁目１番１０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-18
1430001068331,株式会社フードサービス味美,,北海道,江別市,北海道江別市大麻東町１３－６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001069255,ＭＴフード株式会社,,北海道,札幌市北区,北海道札幌市北区北二十条西５丁目２番５０号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001072093,株式会社フードバリュークリエーション,フードバリュークリエーション,北海道,札幌市白石区,北海道札幌市白石区川下５８９番地２７３,food,,2016-08-02,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-27
1430001072317,株式会社アスモフードサービス東日本,アスモフードサービスヒガシニホン,北海道,札幌市中央区,北海道札幌市中央区大通西１６丁目３番１２号,food,restaurant,2016-09-01,false,457,,代表取締役　酒井　純一,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001073208,ホクトフード株式会社,,北海道,札幌市白石区,北海道札幌市白石区北郷三条９丁目６番１６号,food,,2017-02-01,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-06
1430001081887,株式会社フードマニア,フードマニア,北海道,札幌市中央区,北海道札幌市中央区南一条西６丁目２１番地センチュリーヒルズ６階,food,,2020-07-10,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-10
1430001091449,ワンダーストレージキッチン株式会社,ワンダーストレージキッチン,北海道,札幌市西区,北海道札幌市西区西町北１２丁目２番１号,food,restaurant,2024-04-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-05
1430002011208,有限会社総合飲食,ソウゴウインショク,北海道,札幌市手稲区,北海道札幌市手稲区手稲本町二条３丁目９番１２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-03
1430002012354,有限会社宝フードサービス,タカラフードサービス,北海道,札幌市中央区,北海道札幌市中央区南十一条西７丁目２－２１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-24
1430002016859,有限会社フードショップひらおか,,北海道,札幌市清田区,北海道札幌市清田区平岡八条４丁目２番１０号,food,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002016875,有限会社フード富士,,北海道,札幌市豊平区,北海道札幌市豊平区豊平三条１丁目６番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002025298,有限会社丸関電電ビル食堂,,北海道,札幌市中央区,北海道札幌市中央区大通西７丁目３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002036246,有限会社ワンダーキッチン,,北海道,札幌市中央区,北海道札幌市中央区北五条西２１丁目３番５－１０３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002036361,有限会社ゴメ岬フードサービス,,北海道,札幌市北区,北海道札幌市北区百合が原９丁目１１番１２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002036650,有限会社エムズダイニング,,北海道,札幌市西区,北海道札幌市西区山の手一条９丁目１番２０号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002036717,有限会社フードアトラス,フードアトラス,北海道,札幌市中央区,北海道札幌市中央区南三条西７丁目７－２８Ｍ’ｓビルヂング２階,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-17
1430002042681,有限会社双葉食堂,,北海道,札幌市西区,北海道札幌市西区琴似一条１丁目３番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-03
1430002051872,有限会社大谷家食堂,,北海道,滝川市,北海道滝川市緑町１丁目３番３２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430002052458,有限会社たばた食堂,,北海道,赤平市,北海道赤平市大町１丁目６番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
