# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1050002033645,有限会社木原製作所,,北海道,石狩郡当別町,北海道石狩郡当別町蕨岱６８２２番地１０２号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-10
1140002018190,有限会社川壱食品,,北海道,札幌市東区,北海道札幌市東区北八条東１丁目３－１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001003882,株式会社金崎電気製作所,カネザキデンキセイサクショ,北海道,札幌市東区,北海道札幌市東区北丘珠五条４丁目２番１６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-07
1430001004253,株式会社菊水機械製作所,キクスイキカイセイサクショ,北海道,札幌市東区,北海道札幌市東区東雁来三条１丁目２番３号,manufacturing,manufacturing,2015-10-05,false,10,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001004344,株式会社北郷製作所,キタゴウセイサクショ,北海道,札幌市白石区,北海道札幌市白石区北郷八条１０丁目２番１６号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001004716,株式会社共雄電機製作所,キョウユウデンキセイサクショ,北海道,札幌市白石区,北海道札幌市白石区中央三条５丁目８番２０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-30
1430001010144,株式会社高柳自動車整備工場,タカヤナギジドウシャセイビコウジョウ,北海道,札幌市豊平区,北海道札幌市豊平区美園一条２丁目３番２７号,manufacturing,manufacturing|auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-16
1430001010284,株式会社田中電気木工製作所,タナカデンキモッコウセイサクショ,北海道,札幌市東区,北海道札幌市東区北三十二条東１丁目１番８号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-13
1430001012223,中村食品産業株式会社,ナカムラショクヒンサンギョウ,北海道,札幌市西区,北海道札幌市西区八軒八条西４丁目１番９号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001013411,株式会社八王食品,,北海道,札幌市豊平区,北海道札幌市豊平区月寒東一条１９丁目２番５１－５０３号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-24
1430001013444,株式会社八星食品,,北海道,札幌市白石区,北海道札幌市白石区菊水上町三条２丁目５２番１９２,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001014351,株式会社福田建具製作所,,北海道,札幌市中央区,北海道札幌市中央区北三条東２丁目２番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-10-30
1430001018427,鱗幸食品株式会社,リンコウショクヒン,北海道,札幌市西区,北海道札幌市西区八軒一条東５丁目２番１６号,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1430001018798,株式会社北日本製作所,キタニホンセイサクショ,北海道,札幌市西区,北海道札幌市西区発寒十三条１３丁目４番１０号,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-09
