# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7430001013711,株式会社晴美商事,ハルミショウジ,北海道,札幌市東区,北海道札幌市東区北十一条東１０丁目１番２６号,retail,care|wholesale,2015-10-05,false,,,,http://www.harumi-syouji.com/houmon.html,011-640-8883,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3430002017046,有限会社伏古商事,フシコショウジ,北海道,札幌市東区,北海道札幌市東区北二十八条東２丁目２番２０号,retail,care|wholesale,2015-10-05,false,87,,,http://www.s-sato-hp.jp/sourire/,011-776-7022,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9430001061460,株式会社大蔵商事,オオクラショウジ,北海道,札幌市東区,北海道札幌市東区北二十八条東２丁目２番２０号,retail,care|wholesale,2015-10-05,false,,,,http://www.okura-group.jp,011-788-9955,,https://www.okura-group.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2430002007312,有限会社弘恵商事,コウケイショウジ,北海道,札幌市西区,北海道札幌市西区八軒十条東４丁目２番１８号アクア八軒東ビル,retail,care|wholesale,2015-10-05,false,,,,,011-871-3003,,,国税庁 法人番号公表サイト,2025-03-07
6460103001249,スマートテンダー合同会社,スマートテンダー,北海道,帯広市,北海道帯広市東六条南１１丁目２番地３,retail,care,2019-10-24,false,,,,http://hp.kaipoke.biz/cag/,0155-67-8760,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1430001007735,株式会社下妻商店,シモヅマショウテン,北海道,札幌市中央区,北海道札幌市中央区南十七条西１２丁目１番６－２号,retail,care|retail,2015-10-05,false,,,,,011-373-1885,,,国税庁 法人番号公表サイト,2019-07-24
6430002056462,有限会社ドラックストアーさとう,ドラックストアーサトウ,北海道,余市郡余市町,北海道余市郡余市町美園町１０番地２２,retail,care|retail,2015-10-05,false,,,,http://satoh-group.com/,0135-48-8807,,http://satoh-group.com/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6430001056884,東海商事株式会社,トウカイショウジ,北海道,室蘭市,北海道室蘭市高砂町４丁目１４番１６号,retail,care|wholesale,2015-10-05,false,,,,http://www.tokai-k.jp/mirute/index.html,0143-47-1080,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8430001052741,株式会社開発ストア,カイハツストア,北海道,苫小牧市,北海道苫小牧市入船町１丁目２番３４号,retail,care|retail,2015-10-05,false,,,,http://www.kaihatu-store.com,0144-55-8428,,,国税庁 法人番号公表サイト,2018-06-18
8430001046768,株式会社環商事,カンショウジ,北海道,美唄市,北海道美唄市東六条北５丁目３番１号,retail,care|wholesale,2015-10-05,false,,,,http://www.kan-shoji.com,0126-62-5863,,,国税庁 法人番号公表サイト,2018-06-14
4450001009520,株式会社丸キ宮川商店,マルキミヤカワショウテン,北海道,紋別市,北海道紋別市本町６丁目３番２２号,retail,care|retail,2015-10-05,false,,,,,0158-27-5060,,,国税庁 法人番号公表サイト,2019-01-11
1430001057284,ことぶき商事株式会社,コトブキショウジ,北海道,登別市,北海道登別市中登別町２４番地１１８,retail,care|wholesale,2015-10-05,false,,,,http://kotobuki-kk.co.jp,0143-83-3333,,,国税庁 法人番号公表サイト,2019-09-27
7430001044442,株式会社コスモ商事,コスモショウジ,北海道,恵庭市,北海道恵庭市中島町６丁目５番地１１,retail,care|wholesale,2015-10-05,false,,,,,0123-36-3311,,,国税庁 法人番号公表サイト,2021-02-08
1450001007428,株式会社馬場商店,ババショウテン,北海道,中川郡美深町,北海道中川郡美深町字大通北２丁目１０番地,retail,care|retail,1950-03-15,false,,,代表取締役　馬場　大輔,,01656-2-1771,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7430001055365,株式会社丸正藤原商店,マルショウフジワラショウテン,北海道,日高郡新ひだか町,北海道日高郡新ひだか町静内緑町７丁目１番２６号,retail,care|retail,1960-04-02,false,,,代表取締役　上島　浩子,,0146-42-0765,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5430001055284,株式会社武岡商店,タケオカショウテン,北海道,日高郡新ひだか町,北海道日高郡新ひだか町静内吉野町１丁目１番４１号,retail,care|retail,1955-03-25,false,,,代表取締役　武岡　大佶,,0146-42-1111,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9462501000291,株式会社森川商店,モリカワショウテン,北海道,野付郡別海町,北海道野付郡別海町別海西本町９番地,retail,care|retail,2015-10-05,false,,,,,0153-75-2421,,,国税庁 法人番号公表サイト,2026-04-20
5430002026160,有限会社丸モ水森商事,マルモミズモリショウジ,北海道,札幌市東区,北海道札幌市東区本町二条８丁目３番１号,retail,care|wholesale,2015-10-05,false,,,,http://seseragi.marumo-welfare.com/,011-785-6222,,,国税庁 法人番号公表サイト,2018-04-25
3430001030132,三愛商事株式会社,サンアイショウジ,北海道,札幌市清田区,北海道札幌市清田区美しが丘三条２丁目１番８号,retail,care|wholesale,2015-10-05,false,,,,,0134-61-2511,,,国税庁 法人番号公表サイト,2019-09-02
8430001000849,アトム商事株式会社,アトムショウジ,北海道,札幌市西区,北海道札幌市西区西町北１２丁目４番７号,retail,care|wholesale,2015-10-05,false,17,,,,011-671-2022,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
