# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7040005000043,千葉県厚生農業協同組合連合会,チバケンコウセイ,千葉県,千葉市中央区,千葉県千葉市中央区新千葉３丁目２番６号,agriculture,care|agriculture,2015-10-05,false,,,,http://www.chiba-kohseiren.or.jp/,043-245-7442,,https://www.chiba-kohseiren.or.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6040005001637,千葉みらい農業協同組合,チバミライ,千葉県,千葉市中央区,千葉県千葉市中央区千葉港５番２５号,agriculture,care|agriculture,2015-10-05,false,493,,,http://www.ja-chibamirai.or.jp/life/kaigo.html,043-203-0141,,https://www.ja-chibamirai.or.jp/main/wp-content/uploads/2019/09/saigai2.pdf,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5040005012321,ちばみどり農業協同組合,チバミドリ,千葉県,旭市,千葉県旭市ロの１５４９番地の１,agriculture,care|agriculture,2015-10-05,false,480,,,,0479-62-7709,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040005008380,君津市農業協同組合,キミツシ,千葉県,君津市,千葉県君津市塚原１８５番地,agriculture,care|agriculture,2015-10-05,false,388,,,http://www.ja-kimitu.or.jp,0439-70-1331,,https://ja-kimitu.or.jp/jabank-2/kariru/jareform/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2040005006441,西印旛農業協同組合,ニシインバ,千葉県,印西市,千葉県印西市西の原４丁目３番地,agriculture,care|agriculture,2015-10-05,false,157,,,,0476-42-1312,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8040005016600,いすみ農業協同組合,イスミ,千葉県,いすみ市,千葉県いすみ市国府台１５１５番地の１,agriculture,care|agriculture,2015-10-05,false,181,,,https://jaisumi.or.jp/,0470-86-3711,,https://jaisumi.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
1040005006070,成田市農業協同組合,ナリタシ,千葉県,成田市,千葉県成田市美郷台３丁目１６番地６,agriculture,care|agriculture,2015-10-05,false,245,,,http://www.ja-narita.or.jp,0476226711,,https://www.ja-narita.or.jp/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6040001012472,株式会社ファームエイド,ファームエイド,千葉県,千葉市若葉区,千葉県千葉市若葉区中田町４９２番地,agriculture,care|agriculture,2015-10-05,false,,,,http://ｄ-nodoka.com,043-376-7896,,,国税庁 法人番号公表サイト,2020-02-28
1010402034387,リアージュファーム株式会社,リアージュファーム,千葉県,千葉市中央区,千葉県千葉市中央区市場町６番８号クリスタルスクエアＩＮＯＨＡＮＡ１１３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-10-22
1011501024931,株式会社一宮ファーム,イチノミヤファーム,千葉県,長生郡一宮町,千葉県長生郡一宮町一宮１８１１番地,agriculture,agriculture,2019-07-08,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-30
1040001007543,ヤスイ水産株式会社,,千葉県,千葉市稲毛区,千葉県千葉市稲毛区萩台町６９６番地３２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-31
1040001016032,株式会社山トデザインファーム,ヤマトデザインファーム,千葉県,千葉市中央区,千葉県千葉市中央区道場南１丁目１番２０－１０１号,agriculture,agriculture|advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-18
1040001017880,大平水産株式会社,ダイヘイスイサン,千葉県,船橋市,千葉県船橋市田喜野井３丁目１３番１０－４０９号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-05
1040001023417,株式会社加茂牧場,カモボクジョウ,千葉県,八千代市,千葉県八千代市米本１７７１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-03
1040001023474,株式会社ファーム・コーディネート・カンパニー,ファームコーディネートカンパニー,千葉県,八千代市,千葉県八千代市八千代台南２丁目２７番２号八千代台南ガーデンパレスＢ棟１０３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-06
1040001023763,株式会社京葉水産,,千葉県,船橋市,千葉県船橋市印内町５９９番地３サンライズビル５０２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001029364,株式会社岡善丸水産,オカヨシマルスイサン,千葉県,浦安市,千葉県浦安市堀江１丁目２番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-24
