# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1040002076026,有限会社川尻工業,カワジリコウギョウ,千葉県,市原市,千葉県市原市国分寺台中央１丁目５番地７田中ビル１階,construction,care,2015-10-05,false,,,,https://ayumi-hk.jp/,0436-21-4931,info@ayumi-hk.jp,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6040001117899,東栄工業株式会社,トウエイコウギョウ,千葉県,市原市,千葉県市原市青柳６６番地３,construction,care,2021-04-06,false,,,,http://hp.kaipoke.biz/kkw/164082/base_0003.html,0436-37-1930,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6011602000414,有限会社校倉建築事務所,アゼクラケンチクジムショ,千葉県,四街道市,千葉県四街道市栗山３４５番地５棟１０６号,construction,care|construction,2015-10-05,false,,,,,043-377-6950,,,国税庁 法人番号公表サイト,2019-04-17
1040001042904,島田建設株式会社,シマダケンセツ,千葉県,成田市,千葉県成田市公津の杜２丁目４２番地６,construction,care|construction,2015-10-05,false,,,,https://www.shimada-k.net/,0476-26-0686,happyhome@shimada-k.net,https://www.shimada-k.net/toiawase.html,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2040001026492,新日本設備株式会社,シンニホンセツビ,千葉県,市川市,千葉県市川市堀之内３丁目１８番２０号,construction,care|construction,2015-10-05,false,,,,http://sinnihonsetubi.jp,047-710-5215,,,国税庁 法人番号公表サイト,2021-09-08
1040002095983,柏ファミリー建設有限会社,カシワファミリーケンセツ,千葉県,柏市,千葉県柏市豊住５丁目４番７号,construction,care|construction,2015-10-05,false,,,,https://www.kashiwa-kensetsu.co.jp/,04-7163-7176,,,国税庁 法人番号公表サイト,2018-08-03
3040001059269,大栄工業株式会社,ダイエイコウギョウ,千葉県,茂原市,千葉県茂原市東茂原１２番地,construction,care,2015-10-05,false,,,,,0475-23-8881,,,国税庁 法人番号公表サイト,2021-08-12
1040001062068,金島建設株式会社,カネシマケンセツ,千葉県,銚子市,千葉県銚子市松岸見晴台２６５９番地の１,construction,care|construction,2015-10-05,false,,,,http://kaneken.info/index.html,0479-22-8074,,,国税庁 法人番号公表サイト,2018-09-25
4040002080504,有限会社今井設備工業,イマイセツビコウギョウ,千葉県,茂原市,千葉県茂原市高師台３丁目６番地１６,construction,care|construction,2015-10-05,false,,,,http://www.imai-s.co.jp,0475-20-1233,,,国税庁 法人番号公表サイト,2018-08-17
3040001060482,株式会社日電工業,ニチデンコウギョウ,千葉県,茂原市,千葉県茂原市下永吉２８３６番地,construction,care,2015-10-05,false,,,,https://chousei-higashi.com/,0475-34-7755,,,国税庁 法人番号公表サイト,2018-09-12
8040001014756,豊栄工業株式会社,ホウエイコウギョウ,千葉県,習志野市,千葉県習志野市東習志野５丁目２４番２号,construction,care,2015-10-05,false,,,,http://www.rehapride.co.jp/hanasakiokubo/,0120945081,hanasakiokubo@rehapride.co.jp,http://www.rehapride.co.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
3040001051936,株式会社鈴木工業,スズキコウギョウ,千葉県,君津市,千葉県君津市中島２６２番地２,construction,care,2015-10-05,false,,,,https:www.rehapride.co.jp/kimitsu,0120945081,kimitsu@rehapride.co.jp,https://www.rehapride.co.jp/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7040001045422,美郷開発工業株式会社,ミサトカイハツコウギョウ,千葉県,成田市,千葉県成田市十余三２３番地４,construction,care,2015-10-05,false,,,,http://www.misato-day.co.jp/index.html,0476-85-8328,,,国税庁 法人番号公表サイト,2019-03-29
1010001075428,株式会社最上建築設計事務所,モガミケンチクセッケイジムショ,千葉県,柏市,千葉県柏市柏２丁目８番２２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-08-08
1010001079305,杉谷金属工業株式会社,スギタニキンゾクコウギョウ,千葉県,野田市,千葉県野田市七光台２８９番地１,construction,manufacturing,2015-10-05,false,146,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001092514,ボープラス工業株式会社,ボープラスコウギョウ,千葉県,野田市,千葉県野田市山崎１９１８－１２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-06
1010401027722,堀ロック工業株式会社,ホリロックコウギョウ,千葉県,野田市,千葉県野田市目吹２０１０番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010501044287,株式会社友和建設,ユウワケンセツ,千葉県,千葉市若葉区,千葉県千葉市若葉区都賀４丁目８番１８号ショー・エム都賀２０２,construction,construction,2019-06-21,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-17
1010601001758,関東ラス工業株式会社,カントウラスコウギョウ,千葉県,長生郡白子町,千葉県長生郡白子町牛込７６番地１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-19
1010601012235,伸幸ゴム工業株式会社,シンコウゴムコウギョウ,千葉県,鎌ケ谷市,千葉県鎌ケ谷市くぬぎ山１丁目１０番３６号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-30
1010601046828,株式会社ニト建築文化設計所,ニトケンチクブンカセッケイショ,千葉県,富津市,千葉県富津市台原１１４番地１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-19
1010602005717,有限会社茂木塗装,モギトソウ,千葉県,市川市,千葉県市川市南八幡５丁目２１番２１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-25
1010803002604,合同会社柿原工業,カキハラコウギョウ,千葉県,木更津市,千葉県木更津市中央１丁目１３番１６号,construction,,2018-02-19,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-15
1010902005755,有限会社コービック建設,,千葉県,柏市,千葉県柏市十余二２５４番地９１７,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-07
1010902015705,山村工業有限会社,ヤマムラコウギョウ,千葉県,野田市,千葉県野田市山崎２３８０番地の１３６,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-18
1011001012998,第一ウインド工業株式会社,ダイイチウインドコウギョウ,千葉県,松戸市,千葉県松戸市小山５０６番地の１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-02
1011102013912,有限会社渡辺建築研究所,,千葉県,習志野市,千葉県習志野市鷺沼台１丁目４番地２２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1011302014578,有限会社ナベシマ工業,ナベシマコウギョウ,千葉県,市川市,千葉県市川市国分６丁目１８－１０,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-19
1011501018074,設備設計株式会社,,千葉県,流山市,千葉県流山市野々下５丁目１０５３番地の４,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1011701005921,中西工業株式会社,,千葉県,八街市,千葉県八街市文違３０１番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1011701014625,搬送設備アルファ株式会社,ハンソウセツビアルファ,千葉県,市原市,千葉県市原市平田６５番地１７,construction,construction,2015-10-05,false,11,,,http://www.hansousetsubi-alpha.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1011701016877,株式会社ＳＴ工業,エスティコウギョウ,千葉県,市川市,千葉県市川市相之川３丁目２番２２号１階,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-13
1011701025283,山口工業株式会社,ヤマグチコウギョウ,千葉県,松戸市,千葉県松戸市紙敷１４１７番１６号,construction,,2022-05-10,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-29
