# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4012401029464,ウエルネスパートナーズ株式会社,ウエルネスパートナーズ,千葉県,佐倉市,千葉県佐倉市栄町１０番地１７ＨＢ佐倉１Ｆ,consulting,care|beauty|pro-services,2015-10-05,false,40,,,,043-312-3773,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8040005017994,弁護士法人ベストロイヤーズ法律事務所,,千葉県,千葉市中央区,千葉県千葉市中央区新町１番地１７ＪＰＲ千葉ビル１２階,consulting,care|pro-services,2015-10-05,false,,,,https://www.saint-care.com/chiba/,0439-80-5393,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6040005002346,特定非営利活動法人ウェルネスライフパートナーズ,ウェルネスライフパートナーズ,千葉県,千葉市緑区,千葉県千葉市緑区おゆみ野中央５丁目１２番地１３,consulting,care|pro-services,2015-10-05,false,,,,https://wellnesslife-nagomi.com,０４３ー４８８ー６３６８,wellnesslife@carol.ocn.ne.jp,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
7040001073695,株式会社リハビリ総研,リハビリソウケン,千葉県,松戸市,千葉県松戸市新松戸３丁目２８３番地,consulting,care|pro-services,2015-10-05,false,,,,http://cocokala.jimdo.com/,047-702-3555,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
5040001089116,株式会社ＴＳＫコンサルタント,ティーエスケイコンサルタント,千葉県,千葉市若葉区,千葉県千葉市若葉区桜木北３丁目２０番４７号コープ桜木町３０４号,consulting,care|pro-services,2015-10-05,false,,,,,080-4460-7253,,,国税庁 法人番号公表サイト,2024-02-16
2040003009405,合同会社ハートパートナーズこもれび,,千葉県,船橋市,千葉県船橋市浜町２丁目３番３１－５２０号,consulting,care|pro-services,2016-12-05,false,,,,,090-5820-0824,,,国税庁 法人番号公表サイト,2016-12-08
1010001234388,スプリングプラス・コンサルティング株式会社,スプリングプラスコンサルティング,千葉県,市川市,千葉県市川市菅野２丁目１番１６号,consulting,pro-services,2023-04-11,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-02
1010005019835,文誠税理士法人,ブンセイ,千葉県,千葉市中央区,千葉県千葉市中央区松波２丁目８番１号ＴＫＫビル２Ｆ－Ｂ,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-20
1010501036788,サンクスパートナーズ株式会社,,千葉県,松戸市,千葉県松戸市六高台８丁目６８番地の１９,consulting,beauty|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1010501052901,ＴＸコンサルティング株式会社,ティーエックスコンサルティング,千葉県,成田市,千葉県成田市関戸１０８,consulting,pro-services,2024-09-13,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-15
1010602033833,有限会社ジェイ・アンド・エヌコンサルティング,ジェイアンドエヌコンサルティング,千葉県,千葉市美浜区,千葉県千葉市美浜区磯辺７丁目１９番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-30
1010903003691,松木総研合同会社,マツキソウケン,千葉県,船橋市,千葉県船橋市三山６丁目６－７フジコーポ三山１０３,consulting,pro-services,2017-06-12,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-04
1011101043373,ＹＳコンサルタント株式会社,ワイエスコンサルタント,千葉県,佐倉市,千葉県佐倉市南ユーカリが丘３３番１８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-26
1011101055633,株式会社ハッピーコンサルティング,ハッピーコンサルティング,千葉県,千葉市稲毛区,千葉県千葉市稲毛区小仲台８丁目１４番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-14
1011602010748,ラウンドヒルコンサルタンツ有限会社,ラウンドヒルコンサルタンツ,千葉県,船橋市,千葉県船橋市習志野台６丁目１２番９号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-25
1011801038284,株式会社町田コンサルティング,マチダコンサルティング,千葉県,船橋市,千葉県船橋市薬円台５丁目１２番２１号ＲｅｇａｒｏⅪ１０３,consulting,pro-services,2020-10-28,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-18
1012703000919,合同会社ＩＮＳパートナーズ,,千葉県,松戸市,千葉県松戸市常盤平５丁目１１番地２３インシュランスビル９０１号室,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1020001085649,株式会社ＳＴＭコンサルタント,,千葉県,山武郡九十九里町,千葉県山武郡九十九里町作田５６３３番地２３０,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-06
1030001096835,株式会社東亜総研,トウアソウケン,千葉県,千葉市美浜区,千葉県千葉市美浜区高洲３丁目１０番４号－１４１０,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-14
1040001000911,エイジスリサーチ・アンド・コンサルティング株式会社,エイジスリサーチアンドコンサルティング,千葉県,千葉市花見川区,千葉県千葉市花見川区幕張町３丁目７７２７番１,consulting,pro-services,1996-09-24,false,,,代表取締役　佐藤　仁志,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040001002354,互恵補償コンサルタント株式会社,ゴケイホショウコンサルタント,千葉県,千葉市中央区,千葉県千葉市中央区中央３丁目１４番１１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-11
1040001002643,株式会社坂本会計,サカモトカイケイ,千葉県,千葉市中央区,千葉県千葉市中央区新宿２丁目５番３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-11
