# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1011701016225,株式会社リラックスカフェジャパン,,千葉県,八街市,千葉県八街市東吉田５５８－６,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001003600,スタミナフード株式会社,スタミナフード,千葉県,千葉市中央区,千葉県千葉市中央区浜野町９８５番地,food,,2015-10-05,false,388,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040001004870,株式会社チバフシアキフード,,千葉県,千葉市美浜区,千葉県千葉市美浜区高浜２丁目２番１号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001008095,株式会社ワコーフードサービス,,千葉県,千葉市若葉区,千葉県千葉市若葉区御成台３丁目２０番９,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-03
1040001017451,株式会社サン・フード,サンフード,千葉県,船橋市,千葉県船橋市飯山満町３丁目１５１０番地２０,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-28
1040001018202,イオンフードサプライ株式会社,イオンフードサプライ,千葉県,船橋市,千葉県船橋市高瀬町２４番１２号,food,,2015-10-05,false,2172,,,https://www.aeon-fs.com/future.php,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040001031287,株式会社ＫＹフード,,千葉県,市川市,千葉県市川市南八幡３丁目６番１７号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-22
1040001032434,株式会社上田フード企画,,千葉県,市川市,千葉県市川市若宮２丁目２７番９号,food,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001038398,株式会社フード市市,フードイチイチ,千葉県,流山市,千葉県流山市東初石３丁目１０３番地の１３９,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-06
1040001056111,瀬戸内フードソリューション株式会社,,千葉県,市原市,千葉県市原市光風台５丁目１３０番地,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-18
1040001060006,株式会社ピースフードサービス,ピースフードサービス,千葉県,茂原市,千葉県茂原市高師１０８３番地２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040001060666,株式会社鉄人飲食,テツジンインショク,千葉県,大網白里市,千葉県大網白里市池田５１番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-26
1040001068206,正和フード株式会社,,千葉県,柏市,千葉県柏市柏６丁目７番１４号正和ビル１Ｆ,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001073478,株式会社ワールドフードコミュニケーション,,千葉県,市川市,千葉県市川市柏井町１丁目１７１０番地２テラス染谷２－１０１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001112756,株式会社ＭＳフード,エムエスフード,千葉県,市川市,千葉県市川市湊１５番６号,food,,2020-03-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-24
1040001121096,株式会社レカムダイニング,レカムダイニング,千葉県,千葉市中央区,千葉県千葉市中央区今井２丁目１１番２５号,food,restaurant,2021-11-22,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-12
1040002003970,有限会社京葉フード,,千葉県,千葉市中央区,千葉県千葉市中央区鵜の森町２０番２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002005579,有限会社志むら食堂,,千葉県,千葉市花見川区,千葉県千葉市花見川区幕張本郷６丁目２５番１８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002011404,有限会社三松食堂,,千葉県,千葉市美浜区,千葉県千葉市美浜区高浜４丁目１２番２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002014596,有限会社アール・ダイニング,,千葉県,千葉市若葉区,千葉県千葉市若葉区みつわ台４丁目１７番３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002026352,有限会社レストラン市川,,千葉県,船橋市,千葉県船橋市薬円台２丁目１０番１１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002030767,有限会社エムズダイニング,,千葉県,八千代市,千葉県八千代市八千代台南１丁目３番５号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040002037481,有限会社レストランすいほう,,千葉県,市川市,千葉県市川市本北方３丁目２３番３２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-18
1040002038389,有限会社フードセンター吉野,,千葉県,鎌ケ谷市,千葉県鎌ケ谷市中央２丁目５番３号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002040907,有限会社佐藤フード,,千葉県,浦安市,千葉県浦安市明海１３番地望海の街５－５０６号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002042647,有限会社市川食堂,,千葉県,市川市,千葉県市川市市川南１丁目１番３１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002055657,有限会社ファミリィレストラン松原,ファミリィレストランマツバラ,千葉県,成田市,千葉県成田市大山１２番地の１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-27
1040002066084,有限会社魚がし食堂,,千葉県,木更津市,千葉県木更津市新田３丁目３番１２号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002073717,有限会社食堂京葉,,千葉県,市原市,千葉県市原市君塚１丁目８番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002074442,有限会社ともえダイニング,トモエダイニング,千葉県,市原市,千葉県市原市白金町２丁目１番地２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-25
1040002083377,有限会社フードショップいちはら,,千葉県,山武郡横芝光町,千葉県山武郡横芝光町木戸１３３７番地の２,food,retail,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040002085241,有限会社市場食堂うさみ,,千葉県,銚子市,千葉県銚子市新生町１丁目３６番地の３８,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002085712,有限会社タカ・シーフードサービス,タカシーフードサービス,千葉県,銚子市,千葉県銚子市明神町１丁目１７３番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-12
1040002088657,有限会社アサカフード,,千葉県,柏市,千葉県柏市花野井７４６番地の２５０,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002091347,有限会社フードセンターわたなべ,フードセンターワタナベ,千葉県,柏市,千葉県柏市新柏４丁目１３番地８,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-04
1040002092139,有限会社レストランスズキ,,千葉県,柏市,千葉県柏市北柏台５番地の２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040002093368,有限会社かつ美食堂,,千葉県,柏市,千葉県柏市高柳１５１４番地の２２,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040003001833,合名会社柳月食堂,,千葉県,松戸市,千葉県松戸市松戸１６６７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040003004431,合資会社北條食堂,,千葉県,館山市,千葉県館山市北条２２０番地４,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040003007046,昇ダイニング合同会社,,千葉県,市川市,千葉県市川市相之川４丁目１５番６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040003009752,グリーフ・カフェＢｅ－ｉｎｇ合同会社,,千葉県,船橋市,千葉県船橋市印内１丁目１０番３号,food,restaurant,2017-03-07,false,,,,,,,,国税庁 法人番号公表サイト,2017-03-10
1040003028166,フードビジネスリアライズ合同会社,フードビジネスリアライズ,千葉県,千葉市中央区,千葉県千葉市中央区弁天１丁目３１番１号ファミール千葉弁天町６０６号,food,,2025-08-04,true,,,,,,,,国税庁 法人番号公表サイト,2025-08-04
1040005021961,一般社団法人スマイルこども食堂浦安,スマイルコドモショクドウウラヤス,千葉県,浦安市,千葉県浦安市日の出１丁目３番海風の街４号棟５０６,food,restaurant,2023-04-12,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-02
1040005022365,一般社団法人おふくろ食堂みや,オフクロショクドウミヤ,千葉県,千葉市若葉区,千葉県千葉市若葉区金親町４３５番地４１,food,restaurant,2024-05-17,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-17
1040005022984,千葉中心市街地飲食店協同組合,,千葉県,千葉市中央区,千葉県千葉市中央区中央３丁目１２番１２号まちづくり千葉内,food,restaurant,2026-01-08,true,,,,,,,,国税庁 法人番号公表サイト,2026-01-08
1120001172024,丸印フードサービス株式会社,,千葉県,柏市,千葉県柏市十余二２９７番地４５,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
2010001145527,フードライフデザイン株式会社,フードライフデザイン,千葉県,千葉市美浜区,千葉県千葉市美浜区中瀬１丁目３番地幕張テクノガーデンＢ棟１０Ｆ,food,advertising,2015-10-05,false,264,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2010401120154,株式会社ＩＳダイニング,イズダイニング,千葉県,船橋市,千葉県船橋市本中山７丁目１６番６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-07
2011801008204,サニーフードサービス株式会社,サニーフードサービス,千葉県,松戸市,千葉県松戸市西馬橋蔵元町８番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-21
2040001011461,株式会社ＵＫＩフードサービス,ウキフードサービス,千葉県,千葉市花見川区,千葉県千葉市花見川区検見川町５丁目２２３７番地８,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-05
