# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6040001030747,株式会社愛ネット,アイネット,千葉県,市川市,千葉県市川市福栄３丁目２０番８号,it,care,2015-10-05,false,,,,http://www.ainet-care.co.jp/,047-701-3050,,http://www.ainet-care.co.jp/publics/index/5/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5040001087747,株式会社アンテック,アンテック,千葉県,千葉市中央区,千葉県千葉市中央区弁天１丁目１５番１号,it,care|it,2015-10-05,false,,,,,0476－96－4400,,,国税庁 法人番号公表サイト,2023-02-08
4040002039789,株式会社ライフコアネット,ライフコアネット,千葉県,市川市,千葉県市川市塩浜４丁目２街区３号棟１０６号室（ハイタウン塩浜団地）,it,care,2015-10-05,false,,,,,047-398-6593,,,国税庁 法人番号公表サイト,2018-07-19
4040002028214,有限会社ケア・ネット船橋,ケアネットフナバシ,千葉県,船橋市,千葉県船橋市南本町８番２５号,it,care,2015-10-05,false,,,,https://carenet-funabashi.com,047-420-1703,cnf1703@gmail.com,https://carenet-funabashi.com/contact/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9040001039513,株式会社ケアネットワークサービス,ケアネットワークサービス,千葉県,松戸市,千葉県松戸市西馬橋幸町１０６番地,it,care,2015-10-05,false,35,,,,047-330-5506,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040005005642,特定非営利活動法人松戸あんしんサポートネット,マツドアンシンサポートネット,千葉県,松戸市,千葉県松戸市胡録台１４６番地の８,it,care,2015-10-05,false,,,,http://care-net.biz/12/anshin/,0473622825,,https://care-net.biz/12/anshin/form.php?ref=https://care-net.biz/12/anshin/form/request/request1.php,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1040005003101,生活協同組合パルシステム千葉,パルシステムチバ,千葉県,船橋市,千葉県船橋市本町２丁目１番１号,it,care|it,2015-10-05,false,773,,,http://www.palsystem-chiba.coop,047-435-0007,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6040005005381,認定特定非営利活動法人たすけあいの会ふれあいネットまつど,タスケアイノカイフレアイネットマツド,千葉県,松戸市,千葉県松戸市松戸新田４３３－３５,it,care,2015-10-05,false,,,,http://fnm2011.okoshi-yasu.com/,047-710-7420,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2040005019889,一般社団法人アシストネットワーク,アシストネットワーク,千葉県,佐倉市,千葉県佐倉市山王２丁目１９番地１４,it,care,2018-03-05,false,,,,https://a-net-jinriki.com/,043-310-7750,info@a-net-jinriki.com,https://a-net-jinriki.com/form2/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7040002095061,有限会社ひまわりネットワーク,,千葉県,柏市,千葉県柏市豊四季７０７番地１２,it,care,2015-10-05,false,,,,http://www.himawari-network.com,04-7170-8008,,http://himawari-network.com/?page_id=7,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
