# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6040001051644,株式会社オールプロジェクト,オールプロジェクト,千葉県,君津市,千葉県君津市人見９１４番地の１,logistics,care|logistics,2015-10-05,false,132,,,http://allkaigo.com/,0439-27-1825,,https://allkaigo.com/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9040001121452,サポートプロジェクト株式会社,サポートプロジェクト,千葉県,千葉市若葉区,千葉県千葉市若葉区若松町２３９２番地１５,logistics,care|logistics,2021-12-20,false,,,,https://suppopro.com/,0436375855,,https://suppopro.com/contact.html,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3040001097822,株式会社勇プロジェクト,イサムプロジェクト,千葉県,大網白里市,千葉県大網白里市みどりが丘４丁目４８番地５,logistics,care|logistics,2016-11-22,false,,,,http://spacebuddy.co.jp/magokoro/index.html,0475-53-6068,,,国税庁 法人番号公表サイト,2019-08-05
5040001129524,株式会社スリーＨプロジェクト,スリーエイチプロジェクト,千葉県,千葉市花見川区,千葉県千葉市花見川区瑞穂２丁目１番地１,logistics,care|logistics,2023-08-04,false,,,,,043-497-4664,,,国税庁 法人番号公表サイト,2023-08-04
1010001115976,株式会社スターゲート・テクノロジー,スターゲートテクノロジー,千葉県,柏市,千葉県柏市北柏３丁目１番８号－５－Ｃ,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-25
1010001132170,株式会社日本新物流創造,ニホンシンブツリュウソウゾウ,千葉県,浦安市,千葉県浦安市千鳥１２－１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-15
1010001179815,株式会社グローバルデントリープロジェクト,グローバルデントリープロジェクト,千葉県,千葉市緑区,千葉県千葉市緑区あすみが丘６丁目１１番地５,logistics,logistics,2016-11-28,false,,,,,,,,国税庁 法人番号公表サイト,2022-11-08
1010001203483,株式会社ウッドテクノロジー,ウッドテクノロジー,千葉県,松戸市,千葉県松戸市松戸１３０７番地１,logistics,logistics,2019-08-28,false,7,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010401020396,東京液体運輸株式会社,トウキョウエキタイウンユ,千葉県,市川市,千葉県市川市本行徳２５５４番８４,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-18
1010401076785,株式会社京洋エコロジー,,千葉県,船橋市,千葉県船橋市金杉５丁目１６番１４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-06-29
1010401096288,クロステクノロジ株式会社,クロステクノロジ,千葉県,千葉市緑区,千葉県千葉市緑区あすみが丘東５丁目２１番地２６,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-11
1010405011004,一般社団法人心の絆プロジェクト,ココロノキズナプロジェクト,千葉県,千葉市花見川区,千葉県千葉市花見川区さつきが丘２丁目４番地２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-18
1010501022870,マイクロジャパン株式会社,,千葉県,千葉市中央区,千葉県千葉市中央区中央３丁目１３番地７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-07-28
1010701025327,株式会社エイマップテクノロジー,,千葉県,袖ケ浦市,千葉県袖ケ浦市奈良輪２３４５番３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-21
1011401007490,株式会社日章運輸,ニッショウウンユ,千葉県,市川市,千葉県市川市千鳥町１６－１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-12
1020001129587,Ａｍｓｋｙテクノロジージャパン株式会社,アムスカイテクノロジージャパン,千葉県,印西市,千葉県印西市瀬戸３２３番地,logistics,logistics,2019-01-22,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-18
1021001044702,株式会社トランスユーロジャパン,,千葉県,船橋市,千葉県船橋市行田町３６７番地１８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030001039141,株式会社ロジプランニング,ロジプラニング,千葉県,柏市,千葉県柏市北柏台１番地８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-03
1030001068009,芝園ロジスティクス株式会社,シバゾノロジスティクス,千葉県,千葉市緑区,千葉県千葉市緑区越智町１７０１番３８３,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-12
1030002052787,銚子銚洋陸運株式会社,チョウシチョウヨウリクウン,千葉県,銚子市,千葉県銚子市川口町２丁目６５２９番地４５,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-12
1040001003245,志村運送株式会社,シムラウンソウ,千葉県,千葉市美浜区,千葉県千葉市美浜区浜田２丁目３６番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-26
1040001004821,千葉中央運輸株式会社,,千葉県,千葉市中央区,千葉県千葉市中央区中央港２丁目５番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-22
1040001005613,中田運送株式会社,ナカタウンソウ,千葉県,千葉市若葉区,千葉県千葉市若葉区中田町８２０番地の２,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-02-02
1040001005704,西郡運輸株式会社,,千葉県,千葉市若葉区,千葉県千葉市若葉区中野町７７２番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-03
1040001005844,日通千葉貨物運送株式会社,ニッツウチバカモツウンソウ,千葉県,習志野市,千葉県習志野市茜浜３丁目７番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-22
1040001007799,株式会社横瀬運輸産業,ヨコセウンユサンギョウ,千葉県,千葉市若葉区,千葉県千葉市若葉区千城台東１丁目２５番２５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-06
1040001007832,株式会社よしなが物流,ヨシナガブツリュウ,千葉県,千葉市若葉区,千葉県千葉市若葉区大草町６４０番地３８,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-18
1040001009184,株式会社工藤運送,,千葉県,千葉市稲毛区,千葉県千葉市稲毛区園生町１３５１番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001009952,株式会社大岩運輸,オオイワウンユ,千葉県,千葉市中央区,千葉県千葉市中央区稲荷町２丁目１６番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-22
1040001013723,フルヤ物流株式会社,,千葉県,千葉市花見川区,千葉県千葉市花見川区検見川町３丁目４１７番地,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001017856,株式会社誠和物流,,千葉県,船橋市,千葉県船橋市海神町南１丁目１３８９番地１ウィンベルコーラス船橋９０９号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1040001018557,株式会社プロジェクト二一,,千葉県,船橋市,千葉県船橋市高根町２６０７番地１,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-26
