# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2040005004404,特定非営利活動法人生活困窮・ホームレス自立支援ガンバの会,,千葉県,市川市,千葉県市川市八幡３丁目２８番２３号本八幡イーストビル３階,realestate,care|realestate,2015-10-05,false,,,,https://npogamba.wixsite.com/ichikawa2,047-704-9915,ichikawa-gamba@abelia.ocn.ne.jp,https://npogamba.wixsite.com/ichikawa2/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
8040002027996,有限会社ペアレント・ホームケア親おもい,,千葉県,船橋市,千葉県船橋市薬円台６丁目１１番１１号,realestate,care|realestate,2015-10-05,false,,,,,047-496-0127,,,国税庁 法人番号公表サイト,2015-11-06
3040005014955,社会福祉法人館山老人ホーム,タテヤマロウジンホーム,千葉県,館山市,千葉県館山市湊３７３番地,realestate,care|realestate,2015-10-05,false,,,,http://tateyama-tokuyou.com/yougo/,0470-22-0231,,http://tateyama-tokuyou.com/inform/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
2040005008355,特定非営利活動法人ガイドヘルパー・ホームヘルパー木更津,ガイドヘルパーホームヘルパーキサラヅ,千葉県,木更津市,千葉県木更津市木更津９５３番地,realestate,care|realestate,2015-10-05,false,,,,,0438-23-6850,,,国税庁 法人番号公表サイト,2019-07-09
1040001044289,成田エコハウス株式会社,ナリタエコハウス,千葉県,成田市,千葉県成田市飯仲２８番地３,realestate,care|realestate,2015-10-05,false,,,,https://clover-narita.com/,0476-33-7885,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7040001133516,株式会社パシックホスピスハウス,パシックホスピスハウス,千葉県,市原市,千葉県市原市千種２丁目１６番地４８,realestate,care|realestate,2024-05-10,false,,,,,0436-98-2581,,,国税庁 法人番号公表サイト,2024-05-10
3040005011647,社会福祉法人九十九里ホーム,クジュウクリホーム,千葉県,匝瑳市,千葉県匝瑳市飯倉２１番地,realestate,care|realestate,2015-10-05,false,1029,,,https://www.99-home.com/,0479-72-1131,,https://www.99-home.com/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5040001094396,ホームケア株式会社,ホームケア,千葉県,市川市,千葉県市川市南八幡３丁目５－１５－４０１,realestate,care|realestate,2016-03-08,false,33,,,http://www.homecaremotoyawata.com/,047-339-3689,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.homecaremotoyawata.com/inquiry,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
5040005010291,社会福祉法人ワーナーホーム,ワーナーホーム,千葉県,大網白里市,千葉県大網白里市細草３２１５番地９,realestate,care|realestate,2015-10-05,false,207,,,https://www.wanahome.or.jp/,0475‐77‐2100,,https://www.wanahome.or.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
4040002084059,有限会社グループホーム光,グループホームヒカリ,千葉県,山武郡横芝光町,千葉県山武郡横芝光町目篠２３３９番地１５,realestate,care|realestate,2015-10-05,false,,,,https://group-hikari.jimdofree.com/,0479-84-0999,,https://group-hikari.jimdofree.com/q-a-%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
2040002003994,有限会社京葉ユニホーム,ケイヨウユニホーム,千葉県,千葉市若葉区,千葉県千葉市若葉区千城台東１丁目４番１０号,realestate,care|realestate,1989-10-05,false,,,代表取締役　切通　和則,,043-237-2101,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6040001027198,株式会社日本住宅管理サービス,,千葉県,市川市,千葉県市川市本北方２丁目５番１４号,realestate,care|realestate,2015-10-05,false,,,,,047-339-0121,,,国税庁 法人番号公表サイト,2015-11-06
6040001061619,株式会社石川商会住宅機材,イシカワショウカイジュウタクキザイ,千葉県,旭市,千葉県旭市ニの１７１０番地,realestate,care|realestate|wholesale,2015-10-05,false,37,,,https://ishikawa-1341.co.jp/,0479-62-1341,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1040002071308,有限会社スミレホーム,スミレホーム,千葉県,富津市,千葉県富津市下飯野７８５番地１,realestate,care|realestate,2015-10-05,false,,,,https://sumirehome.sakura.ne.jp/,0439-87-6169,,,国税庁 法人番号公表サイト,2021-03-30
