# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1170001005055,株式会社ブリッジ・メディカル・パートナーズ,,和歌山県,和歌山市,和歌山県和歌山市布施屋６０７番地の１ライオンズマンションリバーサイド布施屋１３０３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170001006152,株式会社コンサルティングオフィスＹＯＳＨＩＤＡ,コンサルティングオフィスヨシダ,和歌山県,和歌山市,和歌山県和歌山市秋月２１番地の５,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-25
1170001008677,株式会社Ａ＆Ｓコンサルティング,エーアンドエスコンサルティング,和歌山県,御坊市,和歌山県御坊市薗２０８番地４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170001014832,株式会社上田労働衛生コンサルタント,,和歌山県,和歌山市,和歌山県和歌山市粟２６１番地３,consulting,pro-services,2017-07-11,false,,,,,,,,国税庁 法人番号公表サイト,2017-07-14
1170001018098,株式会社３５８コンサルティング,サンゴハチコンサルティング,和歌山県,西牟婁郡白浜町,和歌山県西牟婁郡白浜町２３１５番地の２,consulting,pro-services,2024-04-11,false,,,代表取締役　新家　喜夫,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170002001540,有限会社コンサルトイワハシ,,和歌山県,和歌山市,和歌山県和歌山市新堀東２丁目７番２２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170003001309,株式会社フリークパートナーズ,フリークパートナーズ,和歌山県,新宮市,和歌山県新宮市大橋通３丁目１番地の１日光ビル３Ｆ,consulting,pro-services,2019-02-15,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-13
1170003002249,ツナグ会計合同会社,ツナグカイケイ,和歌山県,日高郡みなべ町,和歌山県日高郡みなべ町芝６７８,consulting,pro-services,2025-07-22,true,,,,,,,,国税庁 法人番号公表サイト,2025-07-22
1170005006438,一般社団法人ウェルフェアコンサルティング,,和歌山県,和歌山市,和歌山県和歌山市六十谷１２９０番地の４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-22
1170005006537,税理士法人ＡＡＡ,トリプルエー,和歌山県,和歌山市,和歌山県和歌山市有田屋町南ノ丁２８番地,consulting,pro-services,2016-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170005006900,税理士法人小谷総合会計,コタニソウゴウカイケイ,和歌山県,和歌山市,和歌山県和歌山市西旅籠町４番地第２垂井ビル２Ｆ,consulting,pro-services,2021-05-07,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1700150080448,近畿税理士会　田辺支部,キンキゼイリシカイタナベシブ,和歌山県,田辺市,和歌山県田辺市北新町１７番３の２,consulting,pro-services,2017-02-02,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-20
2170001001680,ＡＮビジネスサポートコンサルティング株式会社,,和歌山県,和歌山市,和歌山県和歌山市和田７２９番地の８,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-05
2170001005120,株式会社ＳＴＳコンサルティング,,和歌山県,和歌山市,和歌山県和歌山市西汀丁２６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2170001005418,株式会社ＡＢコンサルティング,アバコンサルティング,和歌山県,和歌山市,和歌山県和歌山市関戸１丁目４番６３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-16
2170001007323,株式会社近畿コンサルタント,キンキコンサルタント,和歌山県,有田市,和歌山県有田市古江見３８番地の２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2170001009699,株式会社しんか総合コンサルティング,,和歌山県,西牟婁郡白浜町,和歌山県西牟婁郡白浜町２３５６番地の２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-26
2170001013098,株式会社ＭＩＣ会計法人,エムアイシーカイケイホウジン,和歌山県,海南市,和歌山県海南市船尾２００番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-17
2170001013965,株式会社和歌山ライフコンサルティング,ワカヤマライフコンサルティング,和歌山県,和歌山市,和歌山県和歌山市梶取５番地１６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-09
