# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1170001000857,きのくに信用保証株式会社,キノクニシンヨウホショウ,和歌山県,和歌山市,和歌山県和歌山市本町２丁目３８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-14
1170001005402,株式会社倉橋保険事務所,クラハシホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市紀三井寺８００番地の６６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-22
1170001008371,株式会社オクトモリース,オクトモリース,和歌山県,紀の川市,和歌山県紀の川市北長田４８番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170001008702,株式会社スリースター,,和歌山県,田辺市,和歌山県田辺市新万２５番１０号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170001012373,株式会社アーリーステージ,アーリーステージ,和歌山県,西牟婁郡すさみ町,和歌山県西牟婁郡すさみ町佐本平野７１番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-26
1170001014097,株式会社Ｍ＆Ｓ保険事務所,エムアンドエスホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市木枕１８０番地３,finance,,2016-01-14,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-29
1170002000823,有限会社オリゾン保険事務所,,和歌山県,和歌山市,和歌山県和歌山市木ノ本１５２１番地の１１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170002005467,有限会社ＹＫレンタリース,,和歌山県,和歌山市,和歌山県和歌山市永穂２１２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170002006028,有限会社ソーエバー保険,,和歌山県,和歌山市,和歌山県和歌山市福島６６１番地の１５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170002006399,有限会社海南保険センター,,和歌山県,海南市,和歌山県海南市船尾２００番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-12-09
1170002009154,有限会社山本保険事務所,ヤマモトホケンジムショ,和歌山県,田辺市,和歌山県田辺市中屋敷町２４番地の４１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-11-14
1170002009609,有限会社寺前保険企画,,和歌山県,西牟婁郡上富田町,和歌山県西牟婁郡上富田町朝来２６３６番地の４８,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1170005006999,窪田社会保険労務士法人,クボタ,和歌山県,伊都郡かつらぎ町,和歌山県伊都郡かつらぎ町大字三谷１３８１番地,finance,pro-services,2023-03-06,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-06
1170005007196,社会保険労務士法人和歌山みどり労務,ワカヤマミドリロウム,和歌山県,和歌山市,和歌山県和歌山市元寺町東ノ丁６番地２,finance,pro-services,2026-04-13,true,,,,,,,,国税庁 法人番号公表サイト,2026-04-13
1700150030601,健康保険組合連合会　和歌山連合会,ケンコウホケンクミアイレンゴウカイワカヤマレンゴウカイ,和歌山県,和歌山市,和歌山県和歌山市八番丁９番地パーク県信ビル５Ｆ,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-04
1700150030634,和歌山県農協健康保険組合,ワカヤマケンノウキヨウケンコウホケンクミアイ,和歌山県,和歌山市,和歌山県和歌山市美園町５丁目１－１,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2170001006085,太陽リース株式会社,タイヨウリース,和歌山県,海南市,和歌山県海南市且来８４０番地,finance,,2019-05-20,false,,,,,,,,国税庁 法人番号公表サイト,2019-05-24
2170001007653,株式会社Ａ－１保険企画,エーワンホケンキカク,和歌山県,有田郡湯浅町,和歌山県有田郡湯浅町大字別所１１２番地,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-26
2170001009690,株式会社金希ファイナンス,,和歌山県,田辺市,和歌山県田辺市湊１１９９番地の８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2170001010533,株式会社紀和レンタリース,,和歌山県,御坊市,和歌山県御坊市湯川町丸山４７７番地の４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-12
2170001010574,株式会社エース保険事務所,,和歌山県,田辺市,和歌山県田辺市新万３番６号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-09-14
2170001011523,田上建材リース株式会社,,和歌山県,新宮市,和歌山県新宮市佐野６６５番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
2170001015375,株式会社中央保険事務所,チュウオウホケンジムショ,和歌山県,紀の川市,和歌山県紀の川市名手市場９２番地３,finance,,2018-10-31,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-05
2170001015805,株式会社三川元保険事務所,ミカワモトホケンジムショ,和歌山県,田辺市,和歌山県田辺市朝日ヶ丘１５番７号,finance,,2019-10-15,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-18
2170001017982,株式会社壮友キャピタル,ソウユウキャピタル,和歌山県,紀の川市,和歌山県紀の川市粉河８４９番地６,finance,,2024-01-25,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-25
2170002004170,有限会社保険のウイング,,和歌山県,和歌山市,和歌山県和歌山市八番丁３７番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2170002010887,有限会社かつらぎ保険事務所,,和歌山県,伊都郡かつらぎ町,和歌山県伊都郡かつらぎ町大字東渋田４１９番地の２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2170002011084,有限会社鵜殿リース,,和歌山県,新宮市,和歌山県新宮市蓬莱１丁目７番２３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2170003000739,合同会社オットー保険サービス,オットーホケンサービス,和歌山県,橋本市,和歌山県橋本市高野口町応其２７３番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-08
2170003000945,エール総合保険合同会社,エールソウゴウホケン,和歌山県,田辺市,和歌山県田辺市下屋敷町１番８３号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-28
3170001001795,株式会社トヨタレンタリース和歌山,トヨタレンタリースワカヤマ,和歌山県,和歌山市,和歌山県和歌山市餌差町１丁目３１番地,finance,,1967-07-31,false,,,代表取締役　弘田　宗博,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3170001003643,株式会社和幸保険事務所,ワコウホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市有本３２３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-12
3170001007644,阪本・野上保険事務所株式会社,サカモトノカミホケンジムショ,和歌山県,有田市,和歌山県有田市初島町浜１６７７番地１９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3170001009780,株式会社佐田保険,サダホケン,和歌山県,田辺市,和歌山県田辺市高雄３丁目１２番１１号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-15
3170001009863,株式会社浦保険事務所,,和歌山県,田辺市,和歌山県田辺市湊１３５１番地の４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
3170001012842,株式会社だるま保険,ダルマホケン,和歌山県,田辺市,和歌山県田辺市上万呂１６番地２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-21
3170002003080,有限会社阪和保険事務所,,和歌山県,和歌山市,和歌山県和歌山市北中間町１２番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
3170002005052,有限会社峰保険事務所,ミネホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市太田４４０番地の１２,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-06
3170002007346,有限会社わかば保険,ワカバホケン,和歌山県,和歌山市,和歌山県和歌山市友田町４丁目１０７番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-06
3170002007461,有限会社保険パートナー有田,ホケンパートナーアリダ,和歌山県,有田郡有田川町,和歌山県有田郡有田川町大字水尻６７番地の１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-04
3170002008212,有限会社アイル保険サービス,アイルホケンサービス,和歌山県,紀の川市,和歌山県紀の川市粉河１８２番地の９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-13
3170003000688,合同会社湯谷保険事務所,,和歌山県,海南市,和歌山県海南市北赤坂２３番５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
3170005000190,和歌山県社会保険労務士協同組合,ワカヤマケンシャカイホケンロウムシ,和歌山県,和歌山市,和歌山県和歌山市北出島１丁目５番４６号,finance,pro-services,1988-05-12,false,,,代表理事　笠田　隆博,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3170005001008,和歌山県漁業信用基金協会,,和歌山県,和歌山市,和歌山県和歌山市雑賀屋町東ノ丁３０番地,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-09
3170005005289,新宮信用金庫,シングウ,和歌山県,新宮市,和歌山県新宮市大橋通３丁目１番地の４,finance,,2015-10-05,false,111,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
3170005007104,社会保険労務士法人和,ヤワラギ,和歌山県,海南市,和歌山県海南市日方１２９４番地１８,finance,pro-services,2024-09-06,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-13
3170005007194,ドクター保険サポート協同組合連合会,ドクターホケンサポート,和歌山県,和歌山市,和歌山県和歌山市吹上１丁目２番４号,finance,,2026-03-09,true,,,,,,,,国税庁 法人番号公表サイト,2026-03-09
3700150030599,紀和薬剤師国民健康保険組合,キワヤクザイシコクミンケンコウホケンクミアイ,和歌山県,和歌山市,和歌山県和歌山市吹上２丁目１－２２,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4170001002710,株式会社原田保険事務所,ハラダホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市新在家１２６番地の９,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-26
4170001008476,株式会社フェリース,フェリース,和歌山県,和歌山市,和歌山県和歌山市小松原通１丁目１番地８,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-09
4170001008848,株式会社橋本損害保険,,和歌山県,田辺市,和歌山県田辺市東陽３３番２９号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
4170001009053,株式会社三洋リース,,和歌山県,西牟婁郡白浜町,和歌山県西牟婁郡白浜町３３０９番地の２１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-02-05
4170001012057,株式会社グローバル総合保険,グローバルソウゴウホケン,和歌山県,和歌山市,和歌山県和歌山市吹屋町２丁目３０番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4170001012206,コアラ保険パートナーズ株式会社,コアラホケンパートナーズ,和歌山県,和歌山市,和歌山県和歌山市三葛３４４番地の３,finance,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4170001015506,株式会社クボキ保険サービス,クボキホケンサービス,和歌山県,田辺市,和歌山県田辺市下屋敷町１２９番地の３,finance,,2019-03-14,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-20
4170001016454,紀陽キャピタルマネジメント株式会社,キヨウキャピタルマネジメント,和歌山県,和歌山市,和歌山県和歌山市中之島２２４９番地,finance,,2021-03-04,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4170001017535,三共リース株式会社,サンキョウリース,和歌山県,和歌山市,和歌山県和歌山市吹屋町２丁目２０番地４,finance,,2023-04-07,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-07
4170002000201,有限会社アセット保険サービス,,和歌山県,和歌山市,和歌山県和歌山市三葛２３番地の３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
4170002000465,有限会社浦嶋保険事務所,ウラシマホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市南材木丁３丁目１８番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-16
4170002003732,有限会社宮本保険事務所,ミヤモトホケンジムショ,和歌山県,和歌山市,和歌山県和歌山市吹上３丁目１番５８号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-08-12
4170002009275,有限会社リースキンスマイル,リースキンスマイル,和歌山県,田辺市,和歌山県田辺市秋津町７６４番地,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-03-13
4170005000966,和歌山県信用漁業協同組合連合会,,和歌山県,和歌山市,和歌山県和歌山市雑賀屋町東ノ丁３３番地,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-05-01
4170005001007,和歌山県農業信用基金協会,ワカヤマケン,和歌山県,和歌山市,和歌山県和歌山市美園町５丁目１番地の１,finance,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4170005002376,一般社団法人和歌山県損害保険代理業協会,ワカヤマケンソンガイホケンダイリギョウキョウカイ,和歌山県,和歌山市,和歌山県和歌山市西高松２丁目９番地の４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-20
4170005006212,特定非営利活動法人志塾フリースクール和歌山,シジュクフリースクールワカヤマ,和歌山県,和歌山市,和歌山県和歌山市元博労町３１プルミエールメゾン８０１号,finance,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-06
4170005006699,社会保険労務士法人ワンステップ,ワンステップ,和歌山県,和歌山市,和歌山県和歌山市西旅籠町４番地第２垂井ビル,finance,pro-services,2018-09-26,false,4,,,http://www.onestep-sr.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170001001091,株式会社ケーエムリース,ケーエムリース,和歌山県,和歌山市,和歌山県和歌山市塩屋１丁目５番１３号,finance,,1969-05-28,false,,,代表取締役　川村　直史,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170001002908,フリーステーションインターナショナル株式会社,フリーステーションインターナショナル,和歌山県,和歌山市,和歌山県和歌山市内原７７４番地の１４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-22
5170001006413,株式会社池田保険事務所,イケダホケンジムショ,和歌山県,海南市,和歌山県海南市九品寺１８１番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-02-17
5170001006974,井上総合保険企画株式会社,イノウエソウゴウホケンキカク,和歌山県,和歌山市,和歌山県和歌山市太田４丁目３番５号,finance,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-31
5170001007485,株式会社富山保険事務所,,和歌山県,有田市,和歌山県有田市箕島４４７番地１,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
5170001011025,東建リース株式会社,トウケンリース,和歌山県,伊都郡かつらぎ町,和歌山県伊都郡かつらぎ町大字中飯降１６８１番地,finance,,2015-10-05,false,6,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170001013483,株式会社レンタリース和歌山,レンタリースワカヤマ,和歌山県,紀の川市,和歌山県紀の川市粉河８００番地１,finance,,2015-10-05,false,2,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170001015991,ＭＦキャピタル株式会社,エムエフキャピタル,和歌山県,和歌山市,和歌山県和歌山市北坂ノ上丁１３番地,finance,,2020-03-09,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-06
5170001016123,グロー総合保険サービス株式会社,グローソウゴウホケンサービス,和歌山県,和歌山市,和歌山県和歌山市狐島３３８番地１,finance,,2020-06-08,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-20
5170001017402,カンサイファイナンス株式会社,カンサイファイナンス,和歌山県,和歌山市,和歌山県和歌山市吉田３６０番地,finance,,2022-12-15,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-13
5170002008342,有限会社農協レンタリース,,和歌山県,紀の川市,和歌山県紀の川市西脇１７６番地の６,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
5170002008870,有限会社田辺中央保険事務所,タナベチュウオウホケンジムショ,和歌山県,田辺市,和歌山県田辺市本町４９番地の３,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170002010810,有限会社シースカイ保険事務所,シースカイホケンジムショ,和歌山県,伊都郡九度山町,和歌山県伊都郡九度山町大字入郷８３番地の４,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-17
5170002011123,有限会社紀宝リース,,和歌山県,新宮市,和歌山県新宮市新宮３８１３番地１９５,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
5170005001006,和歌山県医師信用組合,ワカヤマケンイシ,和歌山県,和歌山市,和歌山県和歌山市吹上１丁目２番４号,finance,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-06
5170005001022,きのくに信用金庫,キノクニ,和歌山県,和歌山市,和歌山県和歌山市本町２丁目３８番地,finance,,2015-10-05,false,752,,,https://www.kinokuni-shinkin.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170005006698,社会保険労務士法人ＴＳＲ,ティーエスアール,和歌山県,和歌山市,和歌山県和歌山市中之島１５０８番地２田中ビル３階,finance,pro-services,2018-09-12,false,10,,,http://tsyarousi.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5170005006896,社会保険労務士法人西平労務事務所,ニシヒラロウムジムショ,和歌山県,和歌山市,和歌山県和歌山市黒田２丁目２番２２号ＳＫファーストビル２０６号室,finance,pro-services,2021-04-13,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-12
5170005006913,社会保険労務士法人川邑経営労務事務所,カワムラケイエイロウムジムショ,和歌山県,和歌山市,和歌山県和歌山市湊通丁北４丁目４０番地,finance,pro-services,2021-07-06,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-06
5170005006946,一般社団法人ラリースマイル,ラリースマイル,和歌山県,和歌山市,和歌山県和歌山市栄谷９５８番地６１,finance,,2022-02-24,false,,,,,,,,国税庁 法人番号公表サイト,2022-02-24
5700150030589,和歌山染工健康保険組合,ワカヤマセンコウケンコウホケンクミアイ,和歌山県,和歌山市,和歌山県和歌山市納定３２,finance,,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5700150030977,労働保険事務組合　三奈和労務管理協会,ロウドウホケンジムクミアイミナワロウムカンリキヨウカイ,和歌山県,新宮市,和歌山県新宮市浮島５－９,finance,realestate|pro-services,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
5700150112809,労働保険事務組合　飛翔会,ロウドウホケンジムクミアイヒシヨウカイ,和歌山県,岩出市,和歌山県岩出市清水４４６番地の７,finance,,2022-12-19,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-11
