# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2170001003693,株式会社和歌山医化学研究所,ワカヤマイカガクケンキュウショ,和歌山県,和歌山市,和歌山県和歌山市岩橋１２７１番地の１風土記の丘診療所１階,manufacturing,care,1983-10-21,false,,,代表取締役　綛田　博紀,https://www.kifuen.net/,073-499-7812,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
8170001000702,株式会社河北食品,カホクショクヒン,和歌山県,和歌山市,和歌山県和歌山市栄谷１８４番１号,manufacturing,care|food-maker,2015-10-05,false,154,,,http://www.kahoku-w.com,073-456-3312,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010001240155,株式会社寿精密ホールディングス,コトブキセイミツホールディングス,和歌山県,伊都郡かつらぎ町,和歌山県伊都郡かつらぎ町大字東渋田６５１－２３,manufacturing,manufacturing,2023-11-17,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-02
1120101002774,サンワ食品株式会社,サンワショクヒン,和歌山県,東牟婁郡串本町,和歌山県東牟婁郡串本町串本１８６５番地の７,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-15
1170001000279,岩辰金属株式会社,イワタツキンゾク,和歌山県,和歌山市,和歌山県和歌山市南休賀町３８番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-19
1170001001302,株式会社坂本製作所,サカモトセイサクショ,和歌山県,和歌山市,和歌山県和歌山市手平１丁目２番２６号,manufacturing,manufacturing,2015-10-05,false,2,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170001001698,水了軒紀州食品産業株式会社,スイリョウケンキシュウショクヒンサンギョウ,和歌山県,和歌山市,和歌山県和歌山市北野字地毛原７４４番地の１,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-22
1170001002911,株式会社古川製作所,フルカワセイサクショ,和歌山県,和歌山市,和歌山県和歌山市西６５３番地,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-13
1170001003026,株式会社正木製作所,マサキセイサクショ,和歌山県,和歌山市,和歌山県和歌山市中島４０７番地の２１,manufacturing,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-05
1170001005105,サンエー食品株式会社,,和歌山県,和歌山市,和歌山県和歌山市紀三井寺６５８番地,manufacturing,food-maker,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-14
