# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5170001000077,株式会社あかりホーム,アカリホーム,和歌山県,和歌山市,和歌山県和歌山市橋向丁３２番地,realestate,care|realestate,2015-10-05,false,,,,https://www.akarihome-kaigo-job.com/kaigo/all/nTl_1_1000_AOID%2CID/CLfacility_l.htm,073-402-0555,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
9170002005113,有限会社ホームヘルパーステーションげんき,,和歌山県,和歌山市,和歌山県和歌山市楠見中５５番地の６,realestate,care|realestate,2015-10-05,false,,,,,073-456-3280,,,国税庁 法人番号公表サイト,2015-11-20
4170002005373,有限会社ホームヘルパーサービスかしの木,ホームヘルパーサービスカシノキ,和歌山県,和歌山市,和歌山県和歌山市舟津町４丁目１０－５,realestate,care|realestate,2015-10-05,false,,,,http://www.kasioki.in,073-425-5418,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5170002003351,有限会社ホーム・ナース,,和歌山県,和歌山市,和歌山県和歌山市鳴神５５番地の１６,realestate,care|realestate,2015-10-05,false,,,,,073-475-1710,,,国税庁 法人番号公表サイト,2015-11-20
5170001004367,近和不動産株式会社,キンワフドウサン,和歌山県,和歌山市,和歌山県和歌山市築港５丁目４番地,realestate,care|realestate,2015-10-05,false,,,,https://www.possible-plus.co.jp/store/390/,073-488-1730,,,国税庁 法人番号公表サイト,2019-06-10
9170003001061,トータス介助ホーム合同会社,,和歌山県,和歌山市,和歌山県和歌山市中之島３８２番地３０,realestate,care|realestate,2016-06-10,false,,,,https://www.facebook.com/kamezaq,073-460-0371,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
6170002010256,有限会社和歌山ホームケアサービス,ワカヤマホームケアサービス,和歌山県,御坊市,和歌山県御坊市湯川町富安１８７２番地の１,realestate,care|realestate,2015-10-05,false,,,,http://hp.kaipoke.biz/0w7,0738-23-5455,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
8170001007565,株式会社グレイトホーム,グレイトホーム,和歌山県,有田市,和歌山県有田市糸我町西４３番地３,realestate,care|realestate,2015-10-05,false,,,,,0737-88-2025,,,国税庁 法人番号公表サイト,2020-06-18
9170002011623,有限会社グループホーム開門荘,グループホームカイモンソウ,和歌山県,新宮市,和歌山県新宮市熊野川町日足７５２番地,realestate,care|realestate,2015-10-05,false,,,,,0735-44-0770,,,国税庁 法人番号公表サイト,2018-04-05
1170005003988,特定非営利活動法人デイケアハウスなごみ,デイケアハウスナゴミ,和歌山県,田辺市,和歌山県田辺市文里１丁目３１番７号,realestate,care|realestate,2015-10-05,false,,,,,0739-81-0753,,,国税庁 法人番号公表サイト,2018-06-04
1120003019999,株式会社いちからホーム,イチカラホーム,和歌山県,新宮市,和歌山県新宮市木ノ川１７６番地の２,realestate,realestate,2021-08-10,false,8,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170001000056,青山住宅株式会社,アオヤマジュウタク,和歌山県,和歌山市,和歌山県和歌山市太田５８６番地１６,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-16
1170001000122,アズマハウス株式会社,アズマハウス,和歌山県,和歌山市,和歌山県和歌山市黒田１丁目２番１７号,realestate,realestate,2015-10-05,false,226,596763000,代表取締役社長  東　行男,https://azumahouse.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1170001000659,かつらぎ不動産株式会社,カツラギフドウサン,和歌山県,和歌山市,和歌山県和歌山市卜半町１６番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-27
1170001000700,株式会社河北住宅,カホクジュウタク,和歌山県,和歌山市,和歌山県和歌山市宇須１丁目１番３３号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-02-27
1170001001293,坂口不動産株式会社,サカグチフドウサン,和歌山県,和歌山市,和歌山県和歌山市神前３７６番地１,realestate,realestate,2024-10-03,false,,,,,,,,国税庁 法人番号公表サイト,2024-10-03
1170001001310,株式会社さくらホーム,サクラホーム,和歌山県,和歌山市,和歌山県和歌山市有本１１０番地,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-02
1170001001418,三宝不動産株式会社,サンポウフドウサン,和歌山県,和歌山市,和歌山県和歌山市西庄２９２番地の１,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-23
1170001002036,大和住宅株式会社,ダイワジュウタク,和歌山県,和歌山市,和歌山県和歌山市吹上２丁目６番４５号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-19
