# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
7030001128104,株式会社Ｂｉｚダイニング,ビズダイニング,埼玉県,さいたま市緑区,埼玉県さいたま市緑区東浦和３丁目２５番１６号,food,care|restaurant,2018-11-02,false,,,,http://www.biz-corp.jp/,048-767-7345,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7030002040596,有限会社トータルフード和楽,トータルフードワラク,埼玉県,白岡市,埼玉県白岡市篠津１９２４番地３,food,care,2015-10-05,false,,,,kaigo@waraku-fd.com,0480-53-7893,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1010001180566,株式会社タコプラダイニング,タコプラダイニング,埼玉県,越谷市,埼玉県越谷市弥生町１７番１号越谷ツインシティＡシティ３０５－１区画,food,restaurant,2017-01-10,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1010801030714,ＳＢＹフード株式会社,,埼玉県,川口市,埼玉県川口市大字小谷場１０９８番地,food,,2020-03-16,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-20
1011103013523,ＭＫ＆ＭＫアジアンフード合同会社,エムケイアンドエムケイアジアンフード,埼玉県,春日部市,埼玉県春日部市中央１丁目１－１７加藤ビル１０１,food,,2023-09-27,false,,,,,,,,国税庁 法人番号公表サイト,2023-12-28
1012701015324,株式会社Ｔ．Ｓレストランプランニング,ティーエスレストランプランニング,埼玉県,日高市,埼玉県日高市横手１丁目３２番地１,food,restaurant,2019-05-10,false,,,,,,,,国税庁 法人番号公表サイト,2022-10-06
1013101008570,株式会社宮寺フードサービス,ミヤデラフードサービス,埼玉県,入間市,埼玉県入間市狭山台１丁目１８番地２,food,restaurant,2021-03-01,false,,,,,,,,国税庁 法人番号公表サイト,2022-06-15
1030001016636,株式会社オリエンタルフードサービス,,埼玉県,さいたま市西区,埼玉県さいたま市西区大字二ツ宮３０４番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030001033821,株式会社シムラフードサービス,シムラフードサービス,埼玉県,加須市,埼玉県加須市礼羽２５４番地９,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-16
1030001069799,新包フードパック株式会社,シンポウフードパック,埼玉県,鶴ヶ島市,埼玉県鶴ヶ島市三ツ木新町２丁目４番地１５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-20
1030001071994,トウシンフード株式会社,トウシンフード,埼玉県,東松山市,埼玉県東松山市大字新郷６９番地５,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-22
1030001081564,株式会社デルタキッチン,デルタキッチン,埼玉県,川口市,埼玉県川口市中青木４丁目８番１５号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-11-29
1030001083882,株式会社フードラボ,,埼玉県,鴻巣市,埼玉県鴻巣市東２丁目１番８号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030001091794,株式会社ＪＫフード,ジェイケイフード,埼玉県,さいたま市岩槻区,埼玉県さいたま市岩槻区上野３丁目７番地６,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-10
1030001100464,ビーエムテイフードサービス株式会社,,埼玉県,春日部市,埼玉県春日部市小渕字山下１１６８番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-10-04
1030001101594,株式会社おおばんフードサービス,オオバンフードサービス,埼玉県,さいたま市桜区,埼玉県さいたま市桜区西堀２丁目５番１６－４０６号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-26
1030001114480,パルトネール・フードサービス株式会社,パルトネールフードサービス,埼玉県,川口市,埼玉県川口市上青木２丁目４８番８号,food,restaurant,2016-05-23,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-10
1030001126658,三共フードサービス株式会社,サンキョウフードサービス,埼玉県,川越市,埼玉県川越市大字今福２７７６番地２,food,restaurant,2018-07-25,false,,,,,,,,国税庁 法人番号公表サイト,2026-05-26
1030001149519,株式会社キセキ食堂,キセキショクドウ,埼玉県,さいたま市岩槻区,埼玉県さいたま市岩槻区並木１丁目５番１号,food,restaurant,2022-08-10,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-10
1030001160211,株式会社ＭＧダイニング,エムジーダイニング,埼玉県,熊谷市,埼玉県熊谷市別府２丁目６９番地,food,restaurant,2024-05-08,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-08
1030002009515,有限会社常盤食堂,,埼玉県,さいたま市浦和区,埼玉県さいたま市浦和区常盤２丁目１０番２１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002016057,有限会社ヘルシーダイニング,ヘルシーダイニング,埼玉県,さいたま市見沼区,埼玉県さいたま市見沼区卸町１丁目３７番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-27
1030002036162,有限会社レストランタジマ,レストランタジマ,埼玉県,入間市,埼玉県入間市扇町屋２丁目２番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-30
1030002055674,有限会社ケー・エヌ・フード,,埼玉県,桶川市,埼玉県桶川市大字下日出谷９８４番地１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002058660,有限会社グローバルダイニングアンドカンパニー,,埼玉県,朝霞市,埼玉県朝霞市田島２丁目６３番３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002066416,有限会社マジカル・ダイニング,マジカルダイニング,埼玉県,朝霞市,埼玉県朝霞市栄町２丁目６番２４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-18
1030002071267,有限会社エスケイフード,,埼玉県,春日部市,埼玉県春日部市中央５丁目１番１２号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002075689,有限会社レストランシャロン,レストランシャロン,埼玉県,川越市,埼玉県川越市大字南大塚１８６７番地３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-07
1030002083048,有限会社和風レストランとき,ワフウレストラントキ,埼玉県,鴻巣市,埼玉県鴻巣市箕田４０４３番地の１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-23
1030002086372,有限会社シーフードジャパン,,埼玉県,越谷市,埼玉県越谷市蒲生茜町３１番地８,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002087255,有限会社ドリームフードワークス,ドリームフードワークス,埼玉県,越谷市,埼玉県越谷市千間台西５丁目１８番地２１,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-25
1030002097535,有限会社福泉食堂,,埼玉県,比企郡小川町,埼玉県比企郡小川町大字大塚４５番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002099614,レストラングレイハウンド有限会社,,埼玉県,川口市,埼玉県川口市南鳩ヶ谷５丁目１番３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002108432,有限会社渡会飲食店,,埼玉県,川口市,埼玉県川口市西青木２丁目５番２３号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002114471,有限会社レストランきく家,,埼玉県,熊谷市,埼玉県熊谷市肥塚６４１番地,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030002117136,有限会社文月食堂,,埼玉県,深谷市,埼玉県深谷市萱場３８番地の３,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030003001834,合資会社カトリフードサービス,カトリフードサービス,埼玉県,草加市,埼玉県草加市高砂１丁目１２番４８号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-06-21
1030003004085,合資会社紀清フード・プロテクト・オフィース,,埼玉県,川口市,埼玉県川口市弥平１丁目１６番１４号,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030003007542,合同会社フードプラス,,埼玉県,狭山市,埼玉県狭山市狭山台４丁目３５番地の２０,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-06
1030005007383,太平フードサービス協同組合,タイヘイフードサービス,埼玉県,春日部市,埼玉県春日部市増戸８０４番地１,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-20
1030005008943,企業組合フードビズ改革実践研究会,フードビズカイカクジッセンケンキュウカイ,埼玉県,川越市,埼玉県川越市宮元町３番地３０,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-03
1030005020618,一般社団法人シェアキッチン協会,シェアキッチンキョウカイ,埼玉県,さいたま市大宮区,埼玉県さいたま市大宮区宮町１丁目５番地,food,restaurant,2021-11-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-11-05
