# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4030005010979,東洋ローア・キリスト伝道教会,トウヨウローアキリストデンドウキョウカイ,埼玉県,入間郡毛呂山町,埼玉県入間郡毛呂山町大字市場１１３２番地１,other,care,2015-10-05,false,,,,,0166-74-4914,,,国税庁 法人番号公表サイト,2020-06-03
3030005017034,一般社団法人ＨＫ,エイチケー,埼玉県,所沢市,埼玉県所沢市松葉町１２番３号アーガスヒルズ５８－１階,other,care,2015-10-05,false,,,,,095-842-0643,,,国税庁 法人番号公表サイト,2020-03-06
1030001028862,株式会社翼,ツバサ,埼玉県,所沢市,埼玉県所沢市大字山口５００８番地の５,other,care,2015-10-05,false,,,,,0193-77-3328,,,国税庁 法人番号公表サイト,2020-10-21
3030001041921,株式会社ビジュアルビジョン,ビジュアルビジョン,埼玉県,上尾市,埼玉県上尾市上町１丁目１番１４号,other,care,2015-10-05,false,2000,,,,048-765-5611,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6030001068334,株式会社アリア,,埼玉県,越谷市,埼玉県越谷市川柳町４丁目２４５番地１－３１１,other,care,2015-10-05,false,56,,,http://ariacare.jp,0295-76-8550,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3021001070523,株式会社サニースタッフ,サニースタッフ,埼玉県,久喜市,埼玉県久喜市栗橋東４丁目１０番３０号アポロハイツⅡ１０１号,other,care|hr,2020-08-05,false,,,,https://www.sunny-staff.com,0480-53-6961,sunny.s.2020k@gmail.com,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
5070001029696,株式会社アーク,アーク,埼玉県,本庄市,埼玉県本庄市駅南２丁目１０番３号ＲＩＭ本庄２Ｃ,other,care,2015-10-05,false,,,,,0277-46-7768,,,国税庁 法人番号公表サイト,2021-03-11
1030002118464,有限会社ソーシャルワーク本舗さいたま,ソーシャルワークホンポサイタマ,埼玉県,熊谷市,埼玉県熊谷市村岡３１８番地１,other,care,2015-10-05,false,72,,,,048-580-7917,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9030001133969,株式会社ベストライフ埼玉,ベストライフサイタマ,埼玉県,川口市,埼玉県川口市戸塚３丁目３番１０号,other,care,2019-11-27,false,556,,,,049-231-1925,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9030001092174,株式会社ＶＩＳＩＯＮ,ビジョン,埼玉県,深谷市,埼玉県深谷市樫合７０番地１,other,care,2015-10-05,false,,,,,070-1567-2059,,,国税庁 法人番号公表サイト,2023-04-17
