# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
5320005002426,大分県農業協同組合,オオイタケン,大分県,大分市,大分県大分市花園３丁目２番１０号,agriculture,care|agriculture,2015-10-05,false,2450,,,https://jaoita.or.jp/,097-535-7600,,https://jaoita.or.jp/about/selfreform,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
1320002016234,有限会社中田水産,,大分県,国東市,大分県国東市国見町伊美３５２８番地の１,agriculture,care|agriculture,2015-10-05,false,,,,,０９７８－８２－１２００,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
5320005002723,大分県厚生農業協同組合連合会,オオイタケンコウセイ,大分県,別府市,大分県別府市緑丘町１２番１号,agriculture,care|agriculture,2015-10-05,false,674,,,http://www.ok-chezmoi.com/visit-tsurumi/,0977-23-7113,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
6320005007894,下郷農業協同組合,シモゴウ,大分県,中津市,大分県中津市耶馬溪町大字大島２１５番地の４,agriculture,care|agriculture,2015-10-05,false,,,,,0979-56-2765,,,国税庁 法人番号公表サイト,2020-03-23
4320005007211,九重町飯田農業協同組合,ココノエマチハンダ,大分県,玖珠郡九重町,大分県玖珠郡九重町大字田野１６２４番地の２１,agriculture,care|agriculture,2015-10-05,false,,,,,080-5280-3960,,,国税庁 法人番号公表サイト,2021-05-27
1320002008297,有限会社海成水産,カイセイスイサン,大分県,大分市,大分県大分市大字入蔵１０９５の４番地,agriculture,care|agriculture,2015-10-05,false,,,,,097-588-0953,,,国税庁 法人番号公表サイト,2019-10-16
1320001002359,豊後水産株式会社,,大分県,大分市,大分県大分市豊海３丁目２番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001007408,株式会社村上農園,ムラカミノウエン,大分県,大分市,大分県大分市大字宮河内４５２７番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-21
1320001007597,宇佐水産株式会社,,大分県,宇佐市,大分県宇佐市大字長洲２３０１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001008975,塩月漁業株式会社,シオツキギョギョウ,大分県,佐伯市,大分県佐伯市鶴見大字沖松浦１２４０番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001009008,拓洋水産株式会社,,大分県,佐伯市,大分県佐伯市鶴見大字沖松浦８４９番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001009783,株式会社川崎かぼす農園,カワサキカボスノウエン,大分県,豊後大野市,大分県豊後大野市三重町百枝１０８６番地の３２,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-05
1320001010320,株式会社玖珠町農業開発協同事業團,,大分県,玖珠郡玖珠町,大分県玖珠郡玖珠町大字帆足３５７番地の１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-29
1320001010535,株式会社　ＫＤファーム,ケーディーファーム,大分県,玖珠郡玖珠町,大分県玖珠郡玖珠町大字大隈１１９９番地の３,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-15
1320001011673,堀農園株式会社,ホリノウエン,大分県,杵築市,大分県杵築市大田石丸１３６８番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001011731,大源水産株式会社,,大分県,速見郡日出町,大分県速見郡日出町大字大神３６６０番地５,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001012639,株式会社大分水産,オオイタスイサン,大分県,大分市,大分県大分市豊海３丁目２番１号大分市公設地方卸売市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-13
1320001013785,株式会社元気ファーム津久見,,大分県,津久見市,大分県津久見市大字日見１４４１番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001013819,グリーンファーム大分株式会社,,大分県,杵築市,大分県杵築市大字鴨川字大鴨５１２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001013918,山口メンズ・ファーム株式会社,ヤマグチメンズファーム,大分県,国東市,大分県国東市安岐町山口３９７番地１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001014255,株式会社豊後ゆめ農園,ブンゴユメノウエン,大分県,大分市,大分県大分市三佐２丁目１番１７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-07-27
