# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9320001002161,日本電装工業株式会社,ニホンデンソウコウギョウ,大分県,大分市,大分県大分市今津留３丁目１３番２１号,construction,care,2015-10-05,false,,,,,097-551-6770,,,国税庁 法人番号公表サイト,2020-05-08
7320003000842,ＭＡＸ設備合同会社,,大分県,大分市,大分県大分市上野丘西３番１０号,construction,care|construction,2015-10-05,false,,,,,097-574-9029,,,国税庁 法人番号公表サイト,2016-03-28
6320001012675,株式会社前田工務店,マエダコウムテン,大分県,大分市,大分県大分市大字皆春字西ノ浦１６０６番地１,construction,care|construction,2015-10-05,false,,,,https://maeda-komuten.com,097-576-9160,,,国税庁 法人番号公表サイト,2018-10-26
8320001009983,河津建設株式会社,カワヅケンセツ,大分県,日田市,大分県日田市三芳小渕町１５１番地,construction,care|construction,2015-10-05,false,65,,,http://www.care-hidaka.com,0973285511,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001000271,大分紡織工業株式会社,オオイタボウショクコウギョウ,大分県,大分市,大分県大分市にじが丘２丁目１０番地の４,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-26
1320001000453,株式会社阿南電設工業,アナンデンセツコウギョウ,大分県,大分市,大分県大分市大字羽田６７３番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001000536,井上化学工業株式会社,イノウエカガクコウギョウ,大分県,大分市,大分県大分市新川町２丁目８番２０号,construction,,1974-07-30,false,,,代表取締役　清水　貴之,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001000726,株式会社大森工業所,オオモリコウギョウショ,大分県,大分市,大分県大分市大字鶴崎１８０７番地,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-18
1320001000750,株式会社小野設備工業,オノセツビコウギョウ,大分県,大分市,大分県大分市大字金谷迫６３４番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001000783,角栄建設工業株式会社,カクエイケンセツコウギョウ,大分県,大分市,大分県大分市三佐１丁目１４番７号,construction,construction,2015-10-05,false,15,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001000866,九州管機工業株式会社,キュウシュウカンキコウギョウ,大分県,大分市,大分県大分市中津留２丁目１０番１７号浜成コーポ１０２,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-10
1320001000957,株式会社九建設計,,大分県,大分市,大分県大分市中春日町１２番３０号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001000998,亀柳機動建設株式会社,,大分県,大分市,大分県大分市大字葛木字中尾５２番地の２,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001001170,株式会社佐伯建設,サイキケンセツ,大分県,大分市,大分県大分市中島西３丁目５番１号,construction,construction,2015-10-05,false,264,,,https://www.saikikensetsu.co.jp/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001001278,三明工業株式会社,,大分県,大分市,大分県大分市大字木田１６５４番地の１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-01-29
