# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2320003000401,合資会社のぞみ介護センター,,大分県,大分市,大分県大分市大字毛井４９３番地,medical,care,2015-10-05,false,,,,,097-520-3906,,,国税庁 法人番号公表サイト,2017-08-22
5320002009267,有限会社大分ウェルケア,,大分県,大分市,大分県大分市南鶴崎２丁目５番４号,medical,care,2015-10-05,false,,,,,０９７－５２４－０５１７,,,国税庁 法人番号公表サイト,2015-11-27
6320002010001,有限会社高城介護サービス,,大分県,大分市,大分県大分市萩原２丁目１０番２８号,medical,care,2015-10-05,false,,,,,097-573-2222,,,国税庁 法人番号公表サイト,2015-11-27
5320003000332,合資会社こころ介護センター,,大分県,大分市,大分県大分市錦町３丁目７番８号,medical,care,2015-10-05,false,,,,,０９７－５３４－１７５５,,,国税庁 法人番号公表サイト,2015-11-27
2320005000523,社会福祉法人西浜会,ニシハマカイ,大分県,大分市,大分県大分市大字鶴崎２１８９番地,medical,care,2015-10-05,false,,,,nishihamakai.jp,097-521-7778,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6320005000354,医療法人啓生会,ケイセイカイ,大分県,大分市,大分県大分市花津留２丁目１０番２号,medical,care|clinic,2015-10-05,false,,,,hcu.2008.1.1.@watch.osn.ne.jp,097-558-2019,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
7320005000543,社会福祉法人若草会,ワカクサカイ,大分県,大分市,大分県大分市大字野田字丑毛場３０６番地の２,medical,care,2015-10-05,false,322,,,URL:http://www.wakakusakai.jp,097-549-0012,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
6320005001749,社会福祉法人碇山会,テイザンカイ,大分県,大分市,大分県大分市大字津守字長田２５４７番地の６,medical,care,2015-10-05,false,39,,,https://www.ikoinoyakata.com/,097-504-7530,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://www.ikoinoyakata.com/information,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8320005000526,社会福祉法人博愛会,ハクアイカイ,大分県,大分市,大分県大分市大字野田７５９番地１,medical,care,2015-10-05,false,397,,,http://www.hakuai-oita.jp/daiichi/,097-548-7257,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8320005000006,医療法人心葉消化器外科,シンヨウショウカキゲカ,大分県,大分市,大分県大分市下郡中央３丁目１０番１４号,medical,care|clinic,2015-10-05,false,,,,ｗｗｗ．ｓｈｉｎｙｏ－ｇｅｋａ．ｏｒ．ｊｐ,097-578-8202,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
