# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2320001018049,株式会社ツリーハウス,ツリーハウス,大分県,大分市,大分県大分市富士見が丘西２丁目７番８号,realestate,care|realestate,2020-11-27,false,,,,,097-574-4377,,,国税庁 法人番号公表サイト,2020-11-27
4320001009310,株式会社ホームナース,ホームナース,大分県,佐伯市,大分県佐伯市池船町３０番１３号,realestate,care|realestate,2015-10-05,false,,,,http://www.homenurse.jp,0972-28-5858,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3320002016166,有限会社福祉総合ケアハウス,フクシソウゴウケアハウス,大分県,杵築市,大分県杵築市大田石丸１３９２番地,realestate,care|realestate,2015-10-05,false,,,,http://ootanosato.com/,0978-52-2190,,,国税庁 法人番号公表サイト,2019-05-13
4320005004324,特定非営利活動法人グループホームひだまり,,大分県,東国東郡姫島村,大分県東国東郡姫島村１６５８番地の１,realestate,care|realestate,2015-10-05,false,,,,,0978-87-2888,,,国税庁 法人番号公表サイト,2015-11-27
6320005007408,特定非営利活動法人グループホームなごみ,グループホームナゴミ,大分県,玖珠郡玖珠町,大分県玖珠郡玖珠町大字山田２７３４番地,realestate,care|realestate,2015-10-05,false,,,,,0973-72-7534,,,国税庁 法人番号公表サイト,2018-05-28
1320001000874,九州総合ハウス株式会社,,大分県,大分市,大分県大分市高砂町３番１５号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001001105,興和ホーム株式会社,,大分県,大分市,大分県大分市大字羽田１０４９番地の８,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-21
1320001001195,三光ハウス株式会社,,大分県,大分市,大分県大分市都町３丁目４の７,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1320001001550,ダイエーハウス株式会社,,大分県,大分市,大分県大分市大字荏隈４０５番地の５７（田原ビル１Ｆ）,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1320001002318,持永不動産株式会社,モチナガフドウサン,大分県,大分市,大分県大分市金池町１丁目６番１号,realestate,realestate,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-28
