# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
2320002009872,有限会社ＭＴＦ企画,エムティーエフキカク,大分県,大分市,大分県大分市大字佐野４４０８番地,service,care|advertising,2015-10-05,false,7,,,,０９７－５２３－６４７０,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
7320002009439,有限会社プロサービス,,大分県,大分市,大分県大分市大字入蔵７７４番地,service,care,2015-10-05,false,,,,,097-588-0132,,,国税庁 法人番号公表サイト,2015-11-27
8320002013588,有限会社ライフサービス,ライフサービス,大分県,別府市,大分県別府市新別府町３３番１１号,service,care,2015-10-05,false,,,,,0977-76-8182,,,国税庁 法人番号公表サイト,2026-02-05
6320002019455,有限会社日田ディナーサービス,,大分県,日田市,大分県日田市大字三和９９９番地の１,service,care,2015-10-05,false,,,,http://aiai2017.info/,0973-24-4667,info@aiai2017.info,http://aiai2017.info/contact,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
3320002018526,有限会社まごの手サービス,マゴノテサービス,大分県,豊後大野市,大分県豊後大野市朝地町下野４４２番地２,service,care,2015-10-05,false,,,,,0974-72-0505,,,国税庁 法人番号公表サイト,2024-01-30
6320002008739,有限会社後藤企画,ゴトウキカク,大分県,由布市,大分県由布市挾間町古野６２５番地１,service,care|advertising,2015-10-05,false,,,,https://www.goto-kikaku.net,097-583-3113,,,国税庁 法人番号公表サイト,2023-03-27
1320005007494,特定非営利活動法人津江の会デイサービスまごの家,ツエノカイデイサービスマゴノウチ,大分県,日田市,大分県日田市中津江村栃野５３３３番地１,service,care,2015-10-05,false,,,,,0973-54-3922,,,国税庁 法人番号公表サイト,2018-06-12
7320001007393,株式会社Ｏ．ｌｉｖｅ企画,オリーブ,大分県,大分市,大分県大分市久原中央１丁目１番４３号,service,care|advertising,2015-10-05,false,,,,http://www.shiroihato.com,097-574-4681,,,国税庁 法人番号公表サイト,2025-11-07
7320002014703,有限会社健康企画,ケンコウキカク,大分県,宇佐市,大分県宇佐市大字上田１０５２番地,service,care|advertising,2015-10-05,false,,,,http://usa1961.com/？page_id=147,０９７８－３３－３４４４,,,国税庁 法人番号公表サイト,2018-04-19
1320001000057,株式会社オーイタカーサービス,オーイタカーサービス,大分県,大分市,大分県大分市畑中１丁目１０番９０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-18
1320001000073,株式会社大分合同サービス社,オオイタゴウドウサービスシャ,大分県,大分市,大分県大分市府内町３丁目９番１５号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-17
1320001000387,株式会社アイメディアサービス,アイメディアサービス,大分県,大分市,大分県大分市寿町１１番２号第３大成ビル,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-31
1320001000718,株式会社ＯＢＳメディア２１,オービーエスメディアニジュウイチ,大分県,大分市,大分県大分市新栄町３番４号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001001328,ジーテイーエスタイヤサービス株式会社,,大分県,大分市,大分県大分市大字宮崎１３８４番地の１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001001427,昭和自動車サービス株式会社,,大分県,大分市,大分県大分市大字永興２３番地の１４,service,auto,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-11-29
1320001001435,株式会社九州興行企画,,大分県,大分市,大分県大分市大字鶴瀬３９２番２号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001001815,鶴崎モーターサービス株式会社,ツルサキモーターサービス,大分県,大分市,大分県大分市北鶴崎２丁目５番１９号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-20
1320001001889,株式会社イーストバンクサービス,,大分県,大分市,大分県大分市岩田町２丁目２０番２４号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001002672,株式会社ＯＢＳメディアワーク,オービーエスメディアワーク,大分県,大分市,大分県大分市今津留３丁目１番１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-11
1320001002813,株式会社ラメール企画,,大分県,由布市,大分県由布市挾間町挾間７７１番地の５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001003142,ゼネラルテクニカルサービス株式会社,ゼネラルテクニカルサービス,大分県,大分市,大分県大分市中鶴崎１丁目１０番１６号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-05
1320001003910,株式会社大分サービス,,大分県,大分市,大分県大分市西新地１丁目３２番１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001004000,株式会社渡辺企画,ワタナベキカク,大分県,大分市,大分県大分市大字中判田１２４番地の１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-17
1320001004388,株式会社井上通信サービス,,大分県,大分市,大分県大分市西鶴崎１丁目１番７号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001004636,株式会社Ｔ＆Ｔ企画,,大分県,大分市,大分県大分市大字田尻１１６０番地の６４,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-08-04
1320001004652,株式会社ゆふいんの森企画,,大分県,由布市,大分県由布市湯布院町川北けかち水８９９番地の７６,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001005139,フロンティアワン企画株式会社,,大分県,大分市,大分県大分市西新地１丁目１番１１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001006558,株式会社べっしん綜合サービス,ベッシンソウゴウサービス,大分県,別府市,大分県別府市石垣西７丁目１番１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-10-14
1320001006582,株式会社星野企画,,大分県,別府市,大分県別府市大字鶴見１９１５番地の１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-27
1320001007052,株式会社ナンブサービス,,大分県,別府市,大分県別府市田の湯町３番７号アライアンスタワーＺ３Ｆ,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001007093,株式会社丸福トランスサービス,,大分県,別府市,大分県別府市原町５番２０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001008562,株式会社小木曽企画,,大分県,杵築市,大分県杵築市大字南杵築１７６５番地の１－１０１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001008802,株式会社エヌエスサービス,,大分県,速見郡日出町,大分県速見郡日出町大字豊岡１０３２番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001009809,株式会社竹田総合企画,,大分県,竹田市,大分県竹田市大字会々２７３７番地１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001010485,株式会社新栄クリーンサービス,シンエイクリーンサービス,大分県,日田市,大分県日田市天瀬町五馬市１５６５番地２,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-09-15
1320001011269,中津ロードサービス株式会社,ナカツロードサービス,大分県,中津市,大分県中津市大字伊藤田２４９６番地１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-16
1320001011434,株式会社みやび企画,ミヤビキカク,大分県,大分市,大分県大分市中島西１丁目４番１４号市民の権利ビル１０５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-10
1320001011822,株式会社ＳＡＴＯ企画,,大分県,大分市,大分県大分市久原中央３丁目２番２５－２０１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001011871,株式会社アサヒ企画,,大分県,中津市,大分県中津市大字東浜５６６番地１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001011905,株式会社ＩＳＫサービス,,大分県,佐伯市,大分県佐伯市大字上岡１５２８番地５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001011962,明新サービス株式会社,,大分県,大分市,大分県大分市向原西１丁目７番２４号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320001013463,イデア企画株式会社,イデアキカク,大分県,大分市,大分県大分市大字辻２２５番地の５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-20
1320001013554,株式会社電建サービス,デンケンサービス,大分県,大分市,大分県大分市畑中１丁目１０番４０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-06
1320001013983,株式会社高江企画,タカエキカク,大分県,大分市,大分県大分市大字羽屋２８８番地の７,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-08
1320001013991,株式会社有川総合企画,アリカワソウゴウキカク,大分県,中津市,大分県中津市山国町中摩３４６９番地４,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-17
1320001014940,株式会社もとむろ企画,,大分県,大分市,大分県大分市大字猪野１０５８番地,service,advertising,2016-05-19,false,,,,,,,,国税庁 法人番号公表サイト,2016-05-25
1320001015162,豊洋トータルサービス株式会社,,大分県,臼杵市,大分県臼杵市大字臼杵７２番地の３６,service,,2016-09-12,false,,,,,,,,国税庁 法人番号公表サイト,2016-09-15
1320001015435,タクマ総合企画株式会社,タクマソウゴウキカク,大分県,大分市,大分県大分市大字上宗方１１７番地の２,service,advertising,2017-02-14,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-17
1320001015534,株式会社轟サービス,,大分県,日田市,大分県日田市大字友田７４２番地１,service,,2017-03-22,false,,,,,,,,国税庁 法人番号公表サイト,2017-03-27
1320001016045,株式会社サン企画,,大分県,大分市,大分県大分市上野丘西１２番３号,service,advertising,2017-12-06,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-11
1320001016672,株式会社新企画,シンキカク,大分県,大分市,大分県大分市大字下判田２３２６番地の１,service,advertising,2018-10-30,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-12
1320001016838,株式会社人材開発センター,ジンザイカイハツセンター,大分県,大分市,大分県大分市中央町１丁目１番３号,service,hr,2019-01-24,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-10
1320001016929,株式会社ＵＲＵＳＨＩＭＡ企画,ウルシマキカク,大分県,杵築市,大分県杵築市大田永松７３２番地,service,advertising,2019-03-06,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001017415,株式会社メゾン企画,メゾンキカク,大分県,大分市,大分県大分市大字片島２０８９番地,service,advertising,2019-11-27,false,,,,,,,,国税庁 法人番号公表サイト,2019-12-02
1320001017836,ＣＫサービス株式会社,シーケーサービス,大分県,大分市,大分県大分市大字市５１６番地の３Ｋ’Ｓビル１０１,service,,2020-08-04,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-04
1320001017852,株式会社新名企画,ニイナキカク,大分県,臼杵市,大分県臼杵市大字江無田３７１番地の８,service,advertising,2020-08-07,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-07
1320001019386,株式会社ＣＴＳメディア,シーティーエスメディア,大分県,佐伯市,大分県佐伯市池船町２０番３号,service,advertising,2022-10-20,false,,,代表取締役　安達　義人,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1320001020848,株式会社信美企画,シンビキカク,大分県,大分市,大分県大分市大字松岡字外原８０３０番地,service,advertising,2024-12-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-05
1320001021482,株式会社サンサン企画,サンサンキカク,大分県,大分市,大分県大分市大字千歳２１６０番地の１８,service,advertising,2025-12-08,true,,,,,,,,国税庁 法人番号公表サイト,2025-12-08
1320002000007,有限会社大分写植企画センター,,大分県,大分市,大分県大分市千代町４丁目１番６号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002000130,有限会社大分互助サービス,,大分県,大分市,大分県大分市大手町３丁目２番９号自治労会館１階,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002000147,有限会社大分教育サービス,,大分県,大分市,大分県大分市法勝台３丁目２番１号,service,education,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002000295,有限会社大分日化サービス,,大分県,大分市,大分県大分市大字牧１０７５番地の１１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-16
1320002000403,有限会社相生企画,アイオイキカク,大分県,大分市,大分県大分市中央町２丁目６番２４号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-11-20
1320002001319,有限会社エスワイ企画,,大分県,大分市,大分県大分市にじが丘１丁目１５０１番地の４３,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002002110,有限会社企画舎夢工房,,大分県,大分市,大分県大分市中央町３丁目２番２９号（首藤ビル４０１）,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002002382,有限会社クリンエアサービス,,大分県,大分市,大分県大分市原新町２番３１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002002614,有限会社工房タクト企画,,大分県,大分市,大分県大分市大字下徳丸１３８番地の１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002002886,有限会社サンコーサービス,,大分県,大分市,大分県大分市牧３丁目１２番４号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002003100,有限会社三宝企画,,大分県,大分市,大分県大分市大字城原１００番地の４,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002003447,有限会社清水設計企画,,大分県,大分市,大分県大分市萩原１丁目３番３１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002003653,有限会社進和サービス,シンワサービス,大分県,大分市,大分県大分市大字細３４８番地の７,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-08-19
1320002003876,有限会社ゼロ企画,,大分県,大分市,大分県大分市中鶴崎１丁目８番１３号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002004156,有限会社大豊企画,,大分県,大分市,大分県大分市千代町３丁目１番２５号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002004189,有限会社大丸広告社,,大分県,大分市,大分県大分市新川町１丁目１番３２号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002004610,有限会社ティーアンドエー企画,,大分県,大分市,大分県大分市高松１丁目９番１６号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002004949,有限会社ナガオカ住設サービス,,大分県,大分市,大分県大分市明野北５丁目１０番Ａ－２０５号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002005030,有限会社中村企画,,大分県,大分市,大分県大分市二又町２丁目７番１７号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-28
1320002005749,有限会社ファースト企画,,大分県,大分市,大分県大分市大字下郡３６６６番地の６４,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002006730,有限会社三義車体サービス,,大分県,大分市,大分県大分市向原西２丁目５番１１号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002006763,有限会社ムーン企画,,大分県,大分市,大分県大分市上田町１丁目２番７１号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-21
1320002007027,有限会社ヤマモト企画,,大分県,大分市,大分県大分市森町西３丁目１７番２９－６０１号（アベニュー千）,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-13
1320002007209,有限会社ラウンドサービス,,大分県,大分市,大分県大分市大字金谷迫１０７５番地の１,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002007497,有限会社グローバルサービス,,大分県,大分市,大分県大分市法勝台２丁目３番２号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002007844,有限会社首藤総合企画,シュトウソウゴウキカク,大分県,大分市,大分県大分市畑中４丁目６番３２号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-11-07
1320002007951,有限会社タジマサービス,,大分県,大分市,大分県大分市新栄町５番２９号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002008041,有限会社藤原総合企画,,大分県,大分市,大分県大分市末広町１丁目３番２５号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002008792,株式会社エヌエムエス企画,エヌエムエスキカク,大分県,大分市,大分県大分市大字下郡３４６２番地の４オフィスパレア下郡Ⅰ,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-20
1320002008900,協立団地サービス有限会社,,大分県,大分市,大分県大分市高砂町４番２０号,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-20
1320002009287,有限会社桜坂企画,,大分県,大分市,大分県大分市富士見が丘東１丁目１９番６号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-01-30
1320002009361,有限会社清水エンジニアサービス,,大分県,大分市,大分県大分市大字高瀬３６５番地の５,service,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002009551,有限会社パゴダ企画,パゴダキカク,大分県,大分市,大分県大分市三佐１丁目１８番１６号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-02
1320002010006,有限会社メディアパートナー,メディアパートナー,大分県,大分市,大分県大分市古国府１丁目２番５－７０２号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-21
1320002011540,有限会社エプソム企画,,大分県,別府市,大分県別府市大字南立石２１９７番地の５,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002011697,有限会社ソノダ広告,,大分県,別府市,大分県別府市大字野田５４１番地の１,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002011796,有限会社ダッシュ企画,,大分県,別府市,大分県別府市野口中町５番２６号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002012844,有限会社檸檬企画,,大分県,別府市,大分県別府市大字南立石１８８４番地の５９,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
1320002013396,有限会社クリエイト企画,,大分県,別府市,大分県別府市石垣東６丁目２番１４号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-12-13
1320002013421,有限会社現代企画,ゲンダイキカク,大分県,別府市,大分県別府市大字鶴見１５５５番地の２,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-05
1320002013652,有限会社オーエム企画,,大分県,大分市,大分県大分市生石４丁目３番８号,service,advertising,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-27
