# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9120001166720,株式会社トラストファーム,トラストファーム,大阪府,大阪市平野区,大阪府大阪市平野区加美東１丁目８番２４号,agriculture,care|agriculture,2015-10-05,false,,,,,06-4303-8270,,,国税庁 法人番号公表サイト,2023-07-28
4122005002410,大阪中河内農業協同組合,オオサカナカカワチ,大阪府,八尾市,大阪府八尾市南小阪合町２丁目２番２号,agriculture,care|agriculture,2015-10-05,false,555,,,http://www.osaka-ja.co.jp/ja/nakakawachi/,072-929-9513,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
9120905000289,茨木市農業協同組合,イバラキシ,大阪府,茨木市,大阪府茨木市上穂積２丁目１番５０号,agriculture,care|agriculture,2015-10-05,false,157,,,https://www.ja-ibarakishi.or.jp/,072-627-7767,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001009201,一色水産株式会社,イッシキスイサン,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号大阪市中央卸売市場東部市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-22
1120001009259,株式会社岩本水産,,大阪府,大阪市東住吉区,大阪府大阪市東住吉区駒川５丁目９番１５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-09
1120001009647,株式会社黒田幸水産,,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-27
1120001010142,清和水産株式会社,セイワスイサン,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号大阪市中央卸売市場東部市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-17
1120001010349,株式会社大平水産,タイヘイスイサン,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号大阪市中央卸売市場東部市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-11
1120001010571,東信水産株式会社,,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号大阪市東部卸売市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
1120001023326,株式会社コロハラ・ファーム,,大阪府,大阪市天王寺区,大阪府大阪市天王寺区小橋町２番１３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001027748,大生水産輸送株式会社,,大阪府,大阪市大正区,大阪府大阪市大正区三軒家東１丁目１２番４８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
1120001034224,生野水産株式会社,イクノスイサン,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-10
1120001034298,株式会社共栄水産,,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場本場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001034736,キタオ水産株式会社,キタオスイサン,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場本場内,agriculture,agriculture,2015-10-05,false,3,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001034926,興和水産株式会社,,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-30
1120001035065,サンキ水産株式会社,,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪中央卸売市場本場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001035230,丸克水産株式会社,,大阪府,大阪市福島区,大阪府大阪市福島区大開１丁目１０番３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-06-27
1120001035387,泉洋水産株式会社,,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場本場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1120001035899,株式会社長瀬水産,ナガセスイサン,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-17
1120001036567,株式会社水田水産,ミズタスイサン,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-29
1120001039149,戸田水産株式会社,,大阪府,大阪市浪速区,大阪府大阪市浪速区戎本町２丁目１番２７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001045527,天真林業株式会社,テンシンリンギョウ,大阪府,大阪市西区,大阪府大阪市西区京町堀１丁目１２番１４号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-01
1120001069410,株式会社ビジネスファーム研究所,ビジネスファームケンキュウショ,大阪府,大阪市北区,大阪府大阪市北区堂島３丁目２番６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-12-24
1120001086785,株式会社日中農業開発,,大阪府,大阪市中央区,大阪府大阪市中央区備後町３丁目１番１６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1120001101189,株式会社新光水産,シンコウスイサン,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号大阪市中央卸売市場東部市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-12
1120001101206,株式会社日南水産,ニチナンスイサン,大阪府,大阪市生野区,大阪府大阪市生野区勝山北１丁目２番１２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-06
1120001141004,植田牧場株式会社,,大阪府,大阪市西成区,大阪府大阪市西成区津守２丁目３番１０号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001143198,株式会社田村水産,,大阪府,大阪市生野区,大阪府大阪市生野区巽南４丁目８番２６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001143594,クロス・ファーム株式会社,クロスファーム,大阪府,大阪市東住吉区,大阪府大阪市東住吉区今林１丁目２番６８号大阪市中央卸売市場東部市場内,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-02
1120001149708,三幸水産株式会社,,大阪府,枚方市,大阪府枚方市養父元町１２番２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001156613,富士林業株式会社,フジリンギョウ,大阪府,大阪市浪速区,大阪府大阪市浪速区浪速東１丁目９番２３号２０１,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-01-17
1120001163873,株式会社ベジファーム,ベジファーム,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号大阪市中央卸売市場青果４４号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-04-15
1120001164582,大輝水産株式会社,,大阪府,大阪市西区,大阪府大阪市西区江之子島１丁目７番３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001167817,デリファーム株式会社,デリファーム,大阪府,東大阪市,大阪府東大阪市水走２丁目１４－９,agriculture,agriculture,2015-10-05,false,6,,,https://www.deli-farm.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001168468,友村水産株式会社,,大阪府,大阪市北区,大阪府大阪市北区梅田１丁目１番３－１１１５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001176322,株式会社マツダファーム,マツダファーム,大阪府,大阪市福島区,大阪府大阪市福島区海老江７丁目１４番１６号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001200825,株式会社ジェリコファーム,ジェリコファーム,大阪府,大阪市北区,大阪府大阪市北区末広町１番１４号,agriculture,agriculture,2016-09-23,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-01
1120001206434,株式会社魚心村上水産,,大阪府,大阪市生野区,大阪府大阪市生野区巽北３丁目１７番１０号,agriculture,agriculture,2017-06-20,false,,,,,,,,国税庁 法人番号公表サイト,2026-06-24
1120001209313,上勝水産株式会社,,大阪府,大阪市都島区,大阪府大阪市都島区都島本通３丁目７番２３－４０５号,agriculture,agriculture,2017-11-10,false,,,,,,,,国税庁 法人番号公表サイト,2017-11-15
1120001213042,野村ファーム株式会社,ノムラファーム,大阪府,交野市,大阪府交野市南星台３丁目６番１７号,agriculture,agriculture,2018-04-27,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-09
1120001229419,大巳水産株式会社,ダイミスイサン,大阪府,大阪市西淀川区,大阪府大阪市西淀川区福町２丁目３０番１６号,agriculture,agriculture,2020-06-04,false,,,,,,,,国税庁 法人番号公表サイト,2020-08-26
1120001242917,株式会社誉水産,ホマレスイサン,大阪府,枚方市,大阪府枚方市宗谷２丁目６番４号,agriculture,agriculture,2022-01-11,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-11
1120001250977,株式会社リレーションシップファーム,リレーションシップファーム,大阪府,大阪市北区,大阪府大阪市北区樋之口町１番２０－４３１２号,agriculture,agriculture,2022-12-12,false,,,,,,,,国税庁 法人番号公表サイト,2022-12-12
1120001253567,日本林業株式会社,ニホンリンギョウ,大阪府,大阪市港区,大阪府大阪市港区八幡屋１丁目３番１号第２共栄マンション２０１号,agriculture,agriculture,2023-03-29,false,,,,,,,,国税庁 法人番号公表サイト,2023-03-29
1120001275363,山格農業株式会社,サンカクノウギョウ,大阪府,大阪市中央区,大阪府大阪市中央区南船場１丁目３番１６－１２０１号,agriculture,agriculture,2025-05-14,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-20
1120001275743,株式会社ライフファーム,ライフファーム,大阪府,大阪市生野区,大阪府大阪市生野区舎利寺３丁目６番５号,agriculture,agriculture,2025-05-13,false,,,,,,,,国税庁 法人番号公表サイト,2025-05-13
1120002039478,有限会社アースファーム,,大阪府,大阪市中央区,大阪府大阪市中央区平野町４丁目２番１８号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120002039643,有限会社日本農業研究開発事業団,,大阪府,大阪市西成区,大阪府大阪市西成区鶴見橋１丁目１４番３７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120002047729,有限会社共栄水産,,大阪府,大阪市西淀川区,大阪府大阪市西淀川区大和田６丁目８番５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120002049956,有限会社ウオマサ水産,,大阪府,大阪市浪速区,大阪府大阪市浪速区敷津西２丁目１番３１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120002053826,有限会社国際牧場,コクサイボクジョウ,大阪府,大阪市中央区,大阪府大阪市中央区備後町３丁目６番２号大雅ビル９階,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-21
1120003008424,合同会社日本農園研究所,,大阪府,大阪市淀川区,大阪府大阪市淀川区西宮原１丁目８－３３－２０７,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120003031855,ヤンマーセーブザファームズ滋賀合同会社,ヤンマーセーブザファームズシガ,大阪府,大阪市北区,大阪府大阪市北区茶屋町１番３２号,agriculture,agriculture,2026-02-09,true,,,,,,,,国税庁 法人番号公表サイト,2026-02-09
1120005004405,大阪府農業共済組合連合会,,大阪府,大阪市中央区,大阪府大阪市中央区農人橋２丁目１番３３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-19
1120005004529,大阪市漁業協同組合,オオサカシ,大阪府,大阪市此花区,大阪府大阪市此花区常吉２丁目１０番１２号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-01
1120005007085,大阪市水産物卸協同組合,オオサカシスイサンブツオロシ,大阪府,大阪市福島区,大阪府大阪市福島区野田１丁目１番８６号,agriculture,agriculture|wholesale,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120005007275,大阪市農業協同組合,オオサカシ,大阪府,大阪市平野区,大阪府大阪市平野区加美鞍作２丁目２番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120005007300,大阪府農業協同組合中央会,オオサカフ,大阪府,大阪市中央区,大阪府大阪市中央区高麗橋３丁目３番７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-04-17
1120005007309,大阪府総合畜産農業協同組合連合会,,大阪府,大阪市中央区,大阪府大阪市中央区谷町１丁目３番２７号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-12-19
1120005024535,一般社団法人日中農業商務促進会,ニッチュウノウギョウショウムソクシンカイ,大阪府,大阪市中央区,大阪府大阪市中央区北久宝寺町４丁目３番８号,agriculture,agriculture,2024-09-17,false,,,,,,,,国税庁 法人番号公表サイト,2024-09-17
1120101006924,丸兼水産株式会社,マルカネスイサン,大阪府,堺市堺区,大阪府堺市堺区出島海岸通１丁１番１３号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120101030189,株式会社テクノファーム,テクノファーム,大阪府,松原市,大阪府松原市大堀３丁目１０番１５号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120101046788,みやび水産株式会社,ミヤビスイサン,大阪府,阪南市,大阪府阪南市箱の浦８７番地の９,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-24
1120101049378,株式会社農業生産法人永徳園,ノウギョウセイサンホウジンエイトクエン,大阪府,岸和田市,大阪府岸和田市積川町６２番地,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120101053181,大阪湾水産株式会社,オオサカワンスイサン,大阪府,岸和田市,大阪府岸和田市地蔵浜町１１番１号,agriculture,agriculture,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-11
1120101053314,株式会社農業サポートセンター,ノウギョウサポートセンター,大阪府,大阪市天王寺区,大阪府大阪市天王寺区逢阪１丁目１番１６号,agriculture,agriculture,2015-07-01,false,,,代表取締役　高橋　太一郎,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120101053792,射手矢農園株式会社,イテヤノウエン,大阪府,泉佐野市,大阪府泉佐野市上之郷３３０１番地,agriculture,agriculture,2015-10-27,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120101054114,株式会社ハッピーファーム・愛,,大阪府,岸和田市,大阪府岸和田市阿間河滝町３１１４番地,agriculture,agriculture,2016-01-14,false,,,,,,,,国税庁 法人番号公表サイト,2016-01-20
1120101056003,坂本ファーム株式会社,,大阪府,堺市北区,大阪府堺市北区野遠町５４３番地１,agriculture,agriculture,2017-02-01,false,,,,,,,,国税庁 法人番号公表サイト,2017-02-06
1120101058214,株式会社さくら水産,サクラスイサン,大阪府,泉佐野市,大阪府泉佐野市高松南３丁目３番２０号,agriculture,agriculture,2018-05-16,false,,,,,,,,国税庁 法人番号公表サイト,2025-03-25
1120101059146,ＴＫビジネスファーム株式会社,ティーケービジネスファーム,大阪府,貝塚市,大阪府貝塚市二色南町８番１,agriculture,agriculture,2018-12-11,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-11
1120101062348,株式会社ファーム,ファーム,大阪府,岸和田市,大阪府岸和田市野田町２丁目１３番２８号,agriculture,agriculture,2020-09-17,false,,,,,,,,国税庁 法人番号公表サイト,2020-09-17
1120101062950,株式会社グランドファーム,グランドファーム,大阪府,岸和田市,大阪府岸和田市小松里町２５１２,agriculture,agriculture,2021-01-19,false,,,,,,,,国税庁 法人番号公表サイト,2021-01-19
1120101063676,株式会社古民家ファーム,コミンカファーム,大阪府,泉佐野市,大阪府泉佐野市上之郷２７２３番地,agriculture,agriculture,2021-05-24,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-24
1120101065920,株式会社カームファーム,カームファーム,大阪府,松原市,大阪府松原市松ケ丘３丁目６１０番地の１,agriculture,agriculture,2022-07-12,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-15
1120101067553,株式会社かわぐち農園,カワグチノウエン,大阪府,貝塚市,大阪府貝塚市澤１１４５番地,agriculture,agriculture,2023-05-18,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-18
1120101069054,株式会社大林ファーム,オオバヤシファーム,大阪府,泉南郡熊取町,大阪府泉南郡熊取町七山東７００番地の２,agriculture,agriculture,2024-02-16,false,,,,,,,,国税庁 法人番号公表サイト,2024-02-16
1120101072132,株式会社泉州水産,センシュウスイサン,大阪府,堺市西区,大阪府堺市西区浜寺石津町中４丁１０番１３号,agriculture,agriculture,2025-07-23,true,,,,,,,,国税庁 法人番号公表サイト,2025-07-23
