# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6120001215125,株式会社ニューパートナーズホールディングス,ニューパートナーズホールディングス,大阪府,大阪市北区,大阪府大阪市北区梅田１丁目１３番１号１７Ｆ,consulting,care|pro-services,2018-08-06,false,174,,,https://sweetgarden.net/sweetgarden/higashitotsuka,0120664165,,https://sweetgarden.net/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7120001175525,エールパートナーズ株式会社,エールパートナーズ,大阪府,大阪市中央区,大阪府大阪市中央区難波３丁目６番１１号,consulting,care|pro-services,2015-10-05,false,,,,,06-6654-5414,,,国税庁 法人番号公表サイト,2018-09-04
7120001185532,千寿パートナーズ株式会社,センジュパートナーズ,大阪府,大阪市福島区,大阪府大阪市福島区玉川２丁目８番４号,consulting,care|pro-services,2015-10-05,false,,,,http://senjyu1010.co.jp,06-6464-4165,,https://senjyu1010.co.jp/ask/,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6120001199186,パートナーズ株式会社,パートナーズ,大阪府,大阪市天王寺区,大阪府大阪市天王寺区大道４丁目８番１３号山野ビル１階,consulting,care|pro-services,2016-06-28,false,,,,https://www.partners-osa.com/,0678926788,,https://www.partners-osa.com/contactus,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
3120002049013,有限会社ヤマト・コンサルタンツ,ヤマトコンサルタンツ,大阪府,大阪市住吉区,大阪府大阪市住吉区山之内１丁目１８番１５号,consulting,care|pro-services,2015-10-05,false,,,,,06-6693-3729,,,国税庁 法人番号公表サイト,2021-06-15
1120001120222,株式会社田中ライフコンサルタント,タナカライフコンサルタント,大阪府,大阪市住之江区,大阪府大阪市住之江区粉浜３丁目７番７号,consulting,care|pro-services,2015-10-05,false,,,,,06-6678-5587,,,国税庁 法人番号公表サイト,2022-03-11
6120101046577,ＹＯＵ総研株式会社,ユーソウケン,大阪府,泉北郡忠岡町,大阪府泉北郡忠岡町忠岡北１丁目３番７号,consulting,care|pro-services,2015-10-05,false,,,,,0725-45-1710,,,国税庁 法人番号公表サイト,2019-04-22
6120001205662,株式会社ニューパートナーズ,ニューパートナーズ,大阪府,大阪市北区,大阪府大阪市北区梅田１丁目１３番１号１７Ｆ,consulting,care|pro-services,2017-05-18,false,51,,,https://sweetgarden.net/sweetgarden/higashitotsuka,0120664165,,https://sweetgarden.net/contact,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-05
8120101065914,株式会社ＳＴパートナーズ,エスティパートナーズ,大阪府,高石市,大阪府高石市取石１丁目１２－１１－１０１,consulting,care|pro-services,2022-07-11,false,,,,https://www.st-p-77.com/,072-284-9877,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-05
9120102020371,有限会社和田コンサルタント,ワダコンサルタント,大阪府,河内長野市,大阪府河内長野市西之山町１１番１６号,consulting,care|pro-services,2015-10-05,false,10,,,,0721-54-0033,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4150001002927,ウェルコンサル株式会社,ウェルコンサル,大阪府,大阪市生野区,大阪府大阪市生野区巽中３丁目２０番１２号,consulting,care|pro-services,2015-10-05,false,362,,,www.wellconsul.co.jp,0743-71-7221,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
5120002032842,有限会社桝屋労働衛生コンサルタント事務所,,大阪府,大阪市城東区,大阪府大阪市城東区成育１丁目７番７号,consulting,care|pro-services,2015-10-05,false,,,,,06-6934-0708,,,国税庁 法人番号公表サイト,2016-07-28
7120102020159,有限会社パートナーズ,,大阪府,河内長野市,大阪府河内長野市南ケ丘２７番２号,consulting,care|pro-services,2015-10-05,false,,,,https://partners855.wixsite.com/mysite,0721-63-3050,,,国税庁 法人番号公表サイト,2015-11-20
1010001141816,エーピーアイコンサルタンツ株式会社,エーピーアイコンサルタンツ,大阪府,大阪市淀川区,大阪府大阪市淀川区宮原１丁目１３番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-07
1010003037120,合同会社ＡＸＩＡパートナーズ,アクシアパートナーズ,大阪府,大阪市北区,大阪府大阪市北区梅田１丁目１２番１２号東京建物梅田ビル１２階,consulting,pro-services,2022-03-07,false,,,,,,,,国税庁 法人番号公表サイト,2023-10-12
1010401065862,株式会社地域みらいコンサルティング,チイキミライコンサルティング,大阪府,大阪市中央区,大阪府大阪市中央区北浜３丁目５番２２号オリックス淀屋橋ビル７階,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-03-27
1010401106468,Ｔ’ｓコンサルティング株式会社,ティーズコンサルティング,大阪府,大阪市港区,大阪府大阪市港区弁天１丁目２番１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-12-21
1011101054370,アレックスコンサルティング株式会社,アレックスコンサルティング,大阪府,大阪市中央区,大阪府大阪市中央区今橋２丁目５番８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-26
1011101057654,ハンサパートナーズ株式会社,,大阪府,大阪市中央区,大阪府大阪市中央区南船場１丁目３－１７永都ビル大阪長堀,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1011705001347,税理士法人フォルテシア,フォルテシア,大阪府,大阪市西区,大阪府大阪市西区京町堀１丁目４番９号京町橋八千代ビル５階Ａ号室,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-07-30
1020001155831,エル・コンサルティング株式会社,エルコンサルティング,大阪府,大阪市北区,大阪府大阪市北区豊崎５丁目７－１２梅田ＯＣＳビルＳｏａｒ,consulting,pro-services,2024-02-16,false,,,,,,,,国税庁 法人番号公表サイト,2025-12-02
1120001029249,株式会社楠本会計センター,クスモトカイケイセンター,大阪府,大阪市港区,大阪府大阪市港区市岡元町３丁目１０番１０号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-02-05
1120001044289,ＬＳパートナーズ株式会社,エルエスパートナーズ,大阪府,大阪市住之江区,大阪府大阪市住之江区中加賀屋４丁目４番１８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001048406,株式会社立研コンサルタント,リッケンコンサルタント,大阪府,大阪市中央区,大阪府大阪市中央区北浜３丁目２番２５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-11
