# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
9120002062984,井上物流株式会社,イノウエブツリュウ,大阪府,大阪市東住吉区,大阪府大阪市東住吉区矢田１丁目４番１１号,logistics,care|logistics,2015-10-05,false,,,,,06-6608-0748,,,国税庁 法人番号公表サイト,2019-05-17
3120101007078,富久屋運送株式会社,フクヤウンソウ,大阪府,堺市西区,大阪府堺市西区浜寺石津町東３丁６番３４号,logistics,care|logistics,2015-10-05,false,,,,,072-241-0298,,,国税庁 法人番号公表サイト,2021-06-03
6120003022478,合同会社つむぐプロジェクト,ツムグプロジェクト,大阪府,大阪市東住吉区,大阪府大阪市東住吉区東田辺１丁目４番２１号,logistics,care|logistics,2022-09-16,false,,,,,06-7506-8403,,,国税庁 法人番号公表サイト,2022-09-16
3120001165075,ソレアードテクノロジ株式会社,ソレアードテクノロジ,大阪府,大阪市中央区,大阪府大阪市中央区南船場２丁目１０番１２号,logistics,care|logistics,2015-10-05,false,,,,http://kaigo.soleado-t.co.jp/,079-240-6071,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
6120101005797,阪南倉庫株式会社,ハンナンソウコ,大阪府,堺市堺区,大阪府堺市堺区大町西３丁２番３号,logistics,care|logistics,2015-10-05,false,235,,,http://www.capsohn.co.jp,072-225-4155,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
9140001018283,関西物流株式会社,カンサイブツリュウ,大阪府,大阪市北区,大阪府大阪市北区本庄西１丁目９番１２号朝日プラザ北梅田１Ｆ,logistics,care|logistics,2015-10-05,false,28,,,http://www.aseskitaumeda.co.jp/pc/index.html,06-7183-0866,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1011001134537,株式会社バリューエコロジー,バリューエコロジー,大阪府,大阪市北区,大阪府大阪市北区西天満４丁目３番１１号西天満フクエビル１０階,logistics,logistics,2020-07-07,false,,,,,,,,国税庁 法人番号公表サイト,2023-01-23
1120001001364,大阪旭運送株式会社,オオサカアサヒウンソウ,大阪府,大阪市北区,大阪府大阪市北区天満１丁目５番７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-06-25
1120001001785,株式会社熊田運送,クマダウンソウ,大阪府,大阪市城東区,大阪府大阪市城東区永田２丁目１３番２４号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-04-22
1120001002214,鶴見運輸作業株式会社,,大阪府,大阪市鶴見区,大阪府大阪市鶴見区横堤２丁目１１番１１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001002222,鶴見運送株式会社,ツルミウンソウ,大阪府,大阪市鶴見区,大阪府大阪市鶴見区横堤２丁目１１番１１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-08-31
1120001002379,西壅運送株式会社,,大阪府,大阪市鶴見区,大阪府大阪市鶴見区茨田大宮１丁目１７番１３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001002552,株式会社ホーリープロジェクト,ホーリープロジェクト,大阪府,大阪市中央区,大阪府大阪市中央区上本町西１丁目１番５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-26
1120001002800,大阪今津運輸倉庫株式会社,オオサカイマヅウンユソウコ,大阪府,大阪市鶴見区,大阪府大阪市鶴見区今津中１丁目９番３０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-22
1120001003113,大田運送株式会社,,大阪府,大阪市西成区,大阪府大阪市西成区南津守４丁目１番５－１２０２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-23
1120001004136,花園運送株式会社,,大阪府,大阪市西成区,大阪府大阪市西成区梅南２丁目１番３０号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-01-27
1120001004490,山本運輸株式会社,ヤマモトウンユ,大阪府,大阪市西成区,大阪府大阪市西成区南津守６丁目７番４１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-25
1120001005027,株式会社河堀運送,,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区天王寺町南３丁目８番５号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1120001005811,高田倉庫運送株式会社,タカダソウコウンソウ,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区天王寺町北３丁目９番１１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-10
1120001006553,株式会社明新運輸,メイシンウンユ,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区美章園２丁目２０番１号,logistics,logistics,2015-10-05,false,41,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001006628,山下運送株式会社,ヤマシタウンソウ,大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区天王寺町北３丁目１３番２２号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-12
1120001008566,株式会社プロジェクト・ケイ,,大阪府,大阪市都島区,大阪府大阪市都島区都島本通２丁目１５番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-08-16
1120001009374,尾松運送株式会社,オマツウンソウ,大阪府,大阪市住之江区,大阪府大阪市住之江区平林北２丁目９番５７号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-02-22
1120001011371,米澤運送株式会社,ヨネザワウンソウ,大阪府,大阪市東住吉区,大阪府大阪市東住吉区桑津１丁目６番３号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-24
1120001013657,クボタ物流株式会社,クボタブツリュウ,大阪府,大阪市城東区,大阪府大阪市城東区永田１丁目２番２４号,logistics,logistics,2015-10-05,false,59,,,http://www.kubota-butsuryu.com/,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1120001015216,親和物流株式会社,シンワブツリュウ,大阪府,茨木市,大阪府茨木市南耳原１丁目１番１号,logistics,logistics,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-13
