# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
6120001120886,株式会社フロンティア,フロンティア,大阪府,大阪市淀川区,大阪府大阪市淀川区宮原３丁目５番３６号,other,care,2015-10-05,false,2740,,,http://www.frontier-ph.com/,027－265-5703,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
7120901016893,グリーンライフ株式会社,グリーンライフ,大阪府,吹田市,大阪府吹田市春日３丁目２０番８号,other,care,2015-10-05,false,2596,,,https://www.greenlife-inc.co.jp/,0835-26-5100,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
3120101062412,株式会社ＣＲＯ－ＶＥＲ,クローバー,大阪府,岸和田市,大阪府岸和田市沼町３０番８号エビスビル３０２号,other,care,2020-10-07,false,,,,,072-443-0600,,,国税庁 法人番号公表サイト,2020-10-07
6120001210811,株式会社フォルテ,フォルテ,大阪府,大阪市中央区,大阪府大阪市中央区谷町２丁目２番２２号,other,care,2018-01-19,false,,,,,06-6966-1600,,,国税庁 法人番号公表サイト,2025-10-10
6120002067160,株式会社エメラルドの郷,エメラルドノサト,大阪府,大阪市中央区,大阪府大阪市中央区南船場２丁目６番２８号ユタカビル３階,other,care,2015-10-05,false,,,,,048-423-7034,,,国税庁 法人番号公表サイト,2021-03-17
5122001035710,株式会社ＬＣＧ,エルシージー,大阪府,大阪市中央区,大阪府大阪市中央区本町２丁目５番７号１階,other,care,2022-03-30,false,178,,,,077-536-6018,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
6120101027338,株式会社ハーベスト,ハーベスト,大阪府,大阪市中央区,大阪府大阪市中央区久太郎町２丁目２番７号山口興産堺筋ビル７階,other,care,2015-10-05,false,296,,,,06-6676-7061,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
4120001213485,Ｐａｎｄａ　Ｃａｒｅ株式会社,パンダケア,大阪府,大阪市中央区,大阪府大阪市中央区本町３丁目１番１０号,other,care,2018-05-18,false,110,,,,072-807-3985,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
8120001132888,株式会社クオリス,クオリス,大阪府,大阪市浪速区,大阪府大阪市浪速区難波中１丁目１２番５号,other,care,2005-10-26,false,900,,代表取締役　雨田　武史,http://quolis.co.jp,06-6575-9848,main_visual_01_@2x.webp,https://quolis.co.jp/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
2120901029479,株式会社かんのん,カンノン,大阪府,豊中市,大阪府豊中市新千里南町２丁目７番８－２０１号,other,care,2015-10-05,false,,,,https://aimitucare.amebaownd.com/,06-6831-5799,,,国税庁 法人番号公表サイト|（自社クロール検証）,2026-07-04
1122001004090,株式会社セルヴィス,セルヴィス,大阪府,東大阪市,大阪府東大阪市下小阪５丁目１番２１号,other,care,2015-10-05,false,1400,,,https://e-kaigo.net/,0120-653-782,,https://e-kaigo.net/contact/,国税庁 法人番号公表サイト|gBizINFO（経済産業省）|（自社クロール検証）,2026-07-04
