# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
4150001009641,株式会社創和工業,ソウワコウギョウ,奈良県,桜井市,奈良県桜井市大字上之宮４０２番地,construction,care,2015-10-05,false,,,,,0744-42-2081,,,国税庁 法人番号公表サイト,2024-11-25
3150002008825,海南ボイラー工業有限会社,カイナンボイラーコウギョウ,奈良県,北葛城郡広陵町,奈良県北葛城郡広陵町大字三吉２９２番地,construction,care,2015-10-05,false,,,,,0745-55-1574,,,国税庁 法人番号公表サイト,2023-10-12
6150002007221,有限会社東和技研工業,トウワギケンコウギョウ,奈良県,宇陀市,奈良県宇陀市榛原額井１０６６番地の４,construction,care,2015-10-05,false,,,,https://kaigo.touwa-giken.com/,0745-82-4127,,,国税庁 法人番号公表サイト,2021-10-25
1120001068239,中谷化学工業株式会社,ナカタニカガクコウギョウ,奈良県,奈良市,奈良県奈良市奈保町１６番１２号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-12
1120001085606,株式会社都市建築綜合研究所,トシケンチクソウゴウケンキュウショ,奈良県,香芝市,奈良県香芝市関屋北５丁目４番２７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-05-18
1120001093617,精密工業株式会社,セイミツコウギョウ,奈良県,高市郡高取町,奈良県高市郡高取町大字丹生谷８７番１,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-18
1120001115429,サン電機工業株式会社,サンデンキコウギョウ,奈良県,生駒郡三郷町,奈良県生駒郡三郷町勢野北１丁目８番３３号,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-05-18
1120001127548,株式会社アーバン建築設計,アーバンケンチクセッケイ,奈良県,生駒市,奈良県生駒市光陽台２０４番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-05-11
1120002009464,幸生樹脂工業有限会社,コウセイジュシコウギョウ,奈良県,大和郡山市,奈良県大和郡山市横田町１０２１番地５,construction,manufacturing,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-29
1122001021094,東洋建設株式会社,,奈良県,香芝市,奈良県香芝市関屋北２丁目９番１６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1140001028884,株式会社アトリエ空一級建築士事務所,アトリエクウイッキュウケンチクシジムショ,奈良県,吉野郡吉野町,奈良県吉野郡吉野町大字新子３３３番地の１,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-06-18
1150001000198,和泉設備工業株式会社,イズミセツビコウギョウ,奈良県,奈良市,奈良県奈良市西登美ヶ丘１丁目５番８号,construction,construction,2015-10-05,false,5,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001000396,株式会社大上設備,,奈良県,奈良市,奈良県奈良市五条畑１丁目１９番１２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150001000438,株式会社奥田建築,オクダケンチク,奈良県,奈良市,奈良県奈良市和田町４６番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-10-25
1150001000727,株式会社倉本都市建築ラボラトリー,クラモトトシケンチクラボラトリー,奈良県,奈良市,奈良県奈良市西包永町４３番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-11-19
1150001000776,好生建設株式会社,コウセイケンセツ,奈良県,奈良市,奈良県奈良市佐紀町３２８６番地の３,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-09-18
1150001000891,三都建設株式会社,サントケンセツ,奈良県,奈良市,奈良県奈良市七条１丁目２４番１０－２号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-26
1150001000900,三和建設株式会社,サンワケンセツ,奈良県,奈良市,奈良県奈良市西大寺栄町３番１２－６号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001000909,三律建設株式会社,,奈良県,奈良市,奈良県奈良市法華寺町４８２番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150001001031,島田建設株式会社,シマダケンセツ,奈良県,奈良市,奈良県奈良市中山町１８５４番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-07-17
1150001001097,株式会社鈴木工務店,,奈良県,奈良市,奈良県奈良市三碓１丁目１０番１５号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
1150001001130,生化工業株式会社,セイカコウギョウ,奈良県,奈良市,奈良県奈良市西木辻町１２３番地,construction,,2022-12-13,false,,,,,,,,国税庁 法人番号公表サイト,2023-04-05
1150001001171,大栄建設工業株式会社,ダイエイケンセツコウギョウ,奈良県,奈良市,奈良県奈良市法蓮町９８６番地の１０７,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-30
1150001001238,大和セントラル建設株式会社,,奈良県,奈良市,奈良県奈良市四条大路１丁目３番２７号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150001001576,中村建設株式会社,ナカムラケンセツ,奈良県,奈良市,奈良県奈良市三条大路１丁目１番４８号,construction,construction,2015-10-05,false,39,,,https://www.8-nakamura.co.jp,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001001790,奈良油脂工業株式会社,ナラユシコウギョウ,奈良県,奈良市,奈良県奈良市神殿町６６７番地の１,construction,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-09-04
1150001001824,西田建設株式会社,ニシダケンセツ,奈良県,奈良市,奈良県奈良市青山８丁目１１５番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-07-11
1150001001857,日新建設株式会社,ニッシンケンセツ,奈良県,奈良市,奈良県奈良市藤ノ木台４丁目６番２４号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2024-07-03
1150001002194,株式会社北斗電機設備,,奈良県,奈良市,奈良県奈良市法蓮町６３５番地６,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150001002211,吉崎建設株式会社,,奈良県,奈良市,奈良県奈良市横領町３３４番８ヴェール西大寺Ａ２０３室,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-22
1150001002376,株式会社宮坂工務店,ミヤサカコウムテン,奈良県,奈良市,奈良県奈良市三条栄町１７番１１号,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-07-17
1150001002483,株式会社ヤマサキ建設,ヤマサキケンセツ,奈良県,生駒市,奈良県生駒市俵口町１０１７番地５,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-01-15
1150001002582,株式会社吉田土木,ヨシダドボク,奈良県,奈良市,奈良県奈良市横井７丁目５０６番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001002665,若葉建設株式会社,ワカバケンセツ,奈良県,奈良市,奈良県奈良市法蓮町９７８番地,construction,construction,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-02
