# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
8150001024926,メディカルパートナーズ株式会社,メディカルパートナーズ,奈良県,香芝市,奈良県香芝市五位堂３丁目４５４番地２,consulting,care|pro-services,2021-09-16,false,,,,,0745-71-4567,,,国税庁 法人番号公表サイト,2021-09-16
1120001196139,株式会社グローバルＭ＆Ａコンサルティング,,奈良県,生駒市,奈良県生駒市北田原町２４４３番地６,consulting,pro-services,2016-02-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-04-24
1120002017665,有限会社下川会計事務所,,奈良県,生駒市,奈良県生駒市北田原町２４４３番地６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2017-04-24
1150001000958,株式会社シナジー・コンサルティング,,奈良県,奈良市,奈良県奈良市柏木町３９８番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150001007045,株式会社セイワコンサル,セイワコンサル,奈良県,生駒郡平群町,奈良県生駒郡平群町西宮２丁目６番２１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-10-09
1150001007722,株式会社新日本コンサルティング,シンニホンコンサルティング,奈良県,奈良市,奈良県奈良市中山町１１２９番地の１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-02
1150001008266,伸和コンサルティング株式会社,シンワコンサルティング,奈良県,奈良市,奈良県奈良市神功４丁目１８番地の９,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001008803,株式会社廣岡コンサルタンツ,ヒロオカコンサルタンツ,奈良県,奈良市,奈良県奈良市大宮町２丁目３番５２－３０８号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-03-01
1150001009479,株式会社ノア技術コンサルタント,ノアギジュツコンサルタント,奈良県,桜井市,奈良県桜井市大字川合２７２番地の４,consulting,pro-services,1995-05-02,false,,,代表取締役　笹畑　憲治,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150001012409,株式会社潮技術コンサルタント,ウシオギジュツコンサルタント,奈良県,香芝市,奈良県香芝市瓦口２１１５番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-04-11
1150001014883,株式会社資産コンサルティングファーム,シサンコンサルティングファーム,奈良県,香芝市,奈良県香芝市磯壁５丁目１番２８号,consulting,agriculture|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2020-06-26
1150001015213,株式会社ディアコンサルタンツ,ディアコンサルタンツ,奈良県,北葛城郡王寺町,奈良県北葛城郡王寺町明神４丁目５番１２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-03
1150001019809,株式会社Ｋパートナーズ,ケイパートナーズ,奈良県,生駒市,奈良県生駒市壱分町７２８番地１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-02-05
1150001020188,株式会社Ｓ＆Ｋコンサルタント,,奈良県,奈良市,奈良県奈良市神功５丁目７番地の１４,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150001022829,まほろばコンサルティング株式会社,マホロバコンサルティング,奈良県,大和高田市,奈良県大和高田市幸町３番３－１０１４号,consulting,pro-services,2019-02-06,false,,,,,,,,国税庁 法人番号公表サイト,2021-06-30
1150002000453,有限会社関西コンサルティングセンター,,奈良県,奈良市,奈良県奈良市南京終町４丁目３４６番地の７,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150002001039,大和コンサルタント有限会社,ダイワコンサルタント,奈良県,奈良市,奈良県奈良市登美ヶ丘３丁目１２番２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-08-22
1150002001154,有限会社竹林会計計算センター,タケバヤシカイケイケイサンセンター,奈良県,奈良市,奈良県奈良市法蓮町７２５番地の６,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-08-30
1150002002144,有限会社ケーシーコンサルタント,,奈良県,奈良市,奈良県奈良市白毫寺町８３５番地１ダイワハウジング紀寺ビル３０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150002003274,有限会社ヒント会計,ヒントカイケイ,奈良県,奈良市,奈良県奈良市帝塚山南３丁目２１番１４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-07-05
1150002003613,有限会社学会コンサルティング,,奈良県,奈良市,奈良県奈良市佐保台３丁目９０２番地の５８,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150002006137,有限会社松本会計,,奈良県,生駒郡斑鳩町,奈良県生駒郡斑鳩町阿波２丁目１２番３４号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2016-06-13
1150002007341,有限会社アクト測量設計コンサルタント,,奈良県,橿原市,奈良県橿原市雲梯町１０４番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150002011310,有限会社里田コンピューター会計事務所,サトダコンピューターカイケイジムショ,奈良県,吉野郡吉野町,奈良県吉野郡吉野町大字丹治１８１番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-09-27
1150003001228,株式会社ピーチコンサルティング,ピーチコンサルティング,奈良県,奈良市,奈良県奈良市あやめ池南１丁目７－３７－６０２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-10-08
1150003002440,株式会社ライフパートナーズ,ライフパートナーズ,奈良県,奈良市,奈良県奈良市杉ヶ町３３－３フクダ不動産奈良駅クリスタルビル４０２,consulting,pro-services,2021-07-29,false,8,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
1150003003166,合同会社秦コンサルティング,ハタコンサルティング,奈良県,奈良市,奈良県奈良市佐保台西町６３－１リベグラート平城山７０５号,consulting,pro-services,2024-01-15,false,,,,,,,,国税庁 法人番号公表サイト,2024-01-15
1150003003901,合同会社アローコンサルティング,アローコンサルティング,奈良県,奈良市,奈良県奈良市二条町１丁目１－５３城本ビル西角,consulting,pro-services,2026-04-06,true,,,,,,,,国税庁 法人番号公表サイト,2026-04-06
1150003003918,合同会社大谷コンサルティング,オオタニコンサルティング,奈良県,奈良市,奈良県奈良市学園南３丁目８番１５号,consulting,pro-services,2026-04-21,true,,,,,,,,国税庁 法人番号公表サイト,2026-04-21
1150005002554,奈良経営コンサルタント事業協同組合,,奈良県,大和郡山市,奈良県大和郡山市矢田山町１４番地の３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1700150029916,近畿税理士会奈良支部,キンキゼイリシカイナラシブ,奈良県,奈良市,奈良県奈良市登大路町１４－５奈良納税協会会館２階,consulting,pro-services,2015-10-09,false,,,,,,,,国税庁 法人番号公表サイト,2018-06-04
2120001091421,株式会社ラフィーヌ財務総研,ラフィーヌザイムソウケン,奈良県,奈良市,奈良県奈良市三松ヶ丘１番３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-04-27
2120001137934,株式会社ＨＡコンサルティング,エイチエーコンサルティング,奈良県,奈良市,奈良県奈良市富雄北１丁目１８番Ａ－４０３号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2019-06-28
2130003003844,合同会社オー・エムパートナーズ,オーエムパートナーズ,奈良県,奈良市,奈良県奈良市法華寺町１－５奈良バイパスビル２０３,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2021-12-07
2140003008826,合同会社アイアンドエスコンサルティング,アイアンドエスコンサルティング,奈良県,奈良市,奈良県奈良市高畑町４８４－１１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-01-13
2150001001609,南都リサーチ＆コンサルティング株式会社,ナントリサーチアンドコンサルティング,奈良県,奈良市,奈良県奈良市大宮町４丁目２９７番地の２,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-02
2150001006541,日本コンサル株式会社,,奈良県,生駒市,奈良県生駒市元町１丁目８－１,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2150001007242,株式会社ＬＳＲコンサルティング,エルエスアールコンサルティング,奈良県,奈良市,奈良県奈良市大宮町６丁目１番地の１新大宮駅前ビル４階,consulting,pro-services,2015-10-05,false,3,,,,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2150001008307,株式会社ワイズコンサルティング,ワイズコンサルティング,奈良県,生駒市,奈良県生駒市あすか野南２丁目１４番５号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-14
2150001015030,株式会社オフィスパートナーズ,,奈良県,大和高田市,奈良県大和高田市幸町７番３４号,consulting,beauty|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2150001015716,藤光コンサルタント株式会社,,奈良県,吉野郡十津川村,奈良県吉野郡十津川村大字野尻２４６番地,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2025-01-24
2150001016854,株式会社スマイルパートナーズ,スマイルパートナーズ,奈良県,奈良市,奈良県奈良市学園北１丁目１－１２和幸ビル３階,consulting,pro-services,2015-10-05,false,2,,,http://www.soneda-tax.com,,,,国税庁 法人番号公表サイト|gBizINFO（経済産業省）,2026-07-03
2150001017150,株式会社トラストパートナーズ,,奈良県,奈良市,奈良県奈良市大宮町６丁目１番１１号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2022-03-22
2150001017563,株式会社教育総研,キョウイクソウケン,奈良県,奈良市,奈良県奈良市西大寺小坊町６番５号,consulting,education|pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2018-05-31
2150001018289,株式会社Ｕ・ＳＨＡコンサルタント,ユーエスエッチエーコンサルタント,奈良県,北葛城郡王寺町,奈良県北葛城郡王寺町本町１丁目１１番２２号,consulting,pro-services,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-04-21
2150001023693,大和まちづくりコンサルタンツ株式会社,ヤマトマチヅクリコンサルタンツ,奈良県,橿原市,奈良県橿原市四条町８０３番地の３,consulting,pro-services,2020-04-22,false,,,,,,,,国税庁 法人番号公表サイト,2020-04-22
