# 出典: 国税庁 法人番号公表サイト / gBizINFO（経済産業省） 他　生成日:2026-07-05　無料版(最大100件)
# 本データは公開情報を加工して作成したものであり、国税庁・各提供元によって保証されたものではありません。個人事業主は含みません（法人のみ）。
# 架電・送信等の利用は特定電子メール法・特定商取引法等の遵守が利用者の責任です。
corporateNumber,name,nameKana,prefecture,city,address,industry,tags,foundedDate,isNew,employees,capital,representative,url,phone,email,contactFormUrl,sources,updatedAt
1150001002087,フードマネージメント株式会社,フードマネージメント,奈良県,奈良市,奈良県奈良市学園大和町２丁目２００－３ダイヤハイツ学園前Ａ－２１６,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2026-03-19
1150001022663,株式会社フードラボ千宝,フードラボチホウ,奈良県,桜井市,奈良県桜井市大字桜井１２５９番地１０１,food,,2018-12-03,false,,,,,,,,国税庁 法人番号公表サイト,2021-03-15
1150002001996,有限会社ワカフードサービス,,奈良県,奈良市,奈良県奈良市西大寺高塚町３番１号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150002009718,信英フードサービス有限会社,,奈良県,北葛城郡広陵町,奈良県北葛城郡広陵町馬見北５丁目１４番２４号,food,restaurant,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
1150005009145,認定ＮＰＯ法人フードバンク奈良,フードバンクナラ,奈良県,生駒郡斑鳩町,奈良県生駒郡斑鳩町法隆寺西３丁目１－３１,food,,2020-01-24,false,,,,,,,,国税庁 法人番号公表サイト,2025-08-15
1150005009475,一般社団法人フードバンク大和高田,フードバンクヤマトタカダ,奈良県,大和高田市,奈良県大和高田市北片塩町６番１１号,food,,2023-05-01,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-01
1700150124808,フードバンク大和郡山,フードバンクヤマトコオリヤマ,奈良県,大和郡山市,奈良県大和郡山市魚町４６－１,food,,2024-04-12,false,,,,,,,,国税庁 法人番号公表サイト,2024-05-14
2150001006137,株式会社ヤマ一・フード,ヤマイチフード,奈良県,大和郡山市,奈良県大和郡山市南郡山町５３９番地の１１ＹＫビル,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2023-05-17
2150001011896,株式会社ニューフードパートナー,,奈良県,橿原市,奈良県橿原市十市町１１４０番地の３６,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
2150001012829,伸和フード株式会社,,奈良県,葛城市,奈良県葛城市北花内５１５番地の４,food,,2015-10-05,false,,,,,,,,国税庁 法人番号公表サイト,2015-11-20
